im Namen der Verts/ALE-Fraktion. - Herr Präsident, sehr geehrte Vizepräsidentin!	Mr President, Baroness Ashton, Canada is a good friend and an important partner of the EU.
Kanada ist für die EU ein guter Freund, ein wichtiger Partner, ein wichtiger internationaler Akteur, und Kanada ist eine seit langem reife Demokratie, von der wir durchaus viel lernen können.	It is also an important international player and has long been a mature democracy which we can learn a lot from.
Doch gerade weil es schon lange her ist, dass in diesem Haus überhaupt eine Entschließung zu Kanada beschlossen worden ist, sollten wir uns aus Anlass einer solchen Entschließung dann doch ernsthafter mit den europäisch-kanadischen Beziehungen befassen, als das hier in der vorgelegten Entschließung versucht wird.	However, because it is a long time since we have adopted a resolution on Canada in this House, we should take the opportunity to look more seriously at the relationship between Europe and Canada than this resolution does.
Mir ist das etwas peinlich. Mir ist peinlich, dass von vielen gemeinsamen Herausforderungen die Rede ist, aber die Arktis-Politik unter diesen gemeinsamen Herausforderungen gar nicht genannt wird.	I find it rather embarrassing that the resolution refers to the many common challenges, but does not include the policy on the Arctic among them.
Der Schutz der Arktis mit Zielen und Standards kommt nicht vor.	There is no mention of protecting the Arctic using targets and standards.
Die Arktis steht überhaupt nur in einem Nebensatz, und dass Kanada im März in nicht sehr freundlicher Weise Schweden, Finnland, Island und die indigenen Völker an dem internationalen Treffen zur Arktis nicht hat teilnehmen lassen, wird verschwiegen.	The Arctic is only referred to in passing and the fact that in March, Canada prevented Sweden, Finland, Iceland and the indigenous peoples from taking part in an international meeting on the Arctic in a rather unfriendly way is completely overlooked.
Mir ist peinlich, dass das Problem der Teersande nicht angesprochen wird, dass das Problem des Blauflossenthunfisches und des Robbenjagdverbots nicht angesprochen wird.	I am embarrassed that the problem of the tar sands, the bluefin tuna and the ban on seal culling are not addressed.
Es ist ja nicht so, dass wir Kanada provozieren müssen, aber wenn man unter Freunden ernsthaft diskutiert, ist es schlicht unsinnig und unwürdig, Probleme, die man hat, nicht anzusprechen.	This is not all about provoking Canada. However, if we hold a serious discussion with a friend, it is foolish and shameful not to mention the problems that we have.
Es wird nicht angesprochen, dass Kanada keine besonders positive Rolle in Kopenhagen gespielt hat, und auch das Problem der Visumpolitik insbesondere gegenüber Tschechien und den Roma aus Tschechien sollte man deutlicher hervorheben.	No mention is made of the fact that Canada did not play a particularly positive role in Copenhagen. The problem of the visa policy, specifically with regard to the Czech Republic and its Roma people, should be highlighted more clearly.
Also lassen Sie uns in guter Freundschaft zusammenarbeiten, aber lassen Sie uns die Schwierigkeiten nicht ausblenden, sonst nützt das niemand etwas.	We must work together in friendship, but we must not sweep the problems under the carpet, because that does not help anyone.
Deswegen wird meine Fraktion dafür eintreten, dass wir, wenn wir abstimmen, jedenfalls dafür sorgen, dass das Problem der Teersande und das Problem des Imports von Robbenprodukten auch noch in die Entschließung aufgenommen werden.	Therefore, my group will seek to ensure when we vote that the problem of the tar sands and of the import of seal products is included in the resolution.
