im Namen der PPE-DE-Fraktion. - Herr Präsident, Herr Vizepräsident der Kommission, liebe Kollegen!	Mr President, Mr Vice-President of the Commission, ladies and gentlemen, I will be brief.
Ich werde mich kurz fassen. Zuerst möchte ich besonders Mathieu Grosch für seine Tätigkeit danken.	First, I would like to extend my special thanks to Mr Grosch for all he has done.
Allerdings müssen wir Außenstehenden erst einmal klar machen, was er geleistet hat. Denn für die Bürger sieht es so aus, als ob er nur drei Anträge zum Ausschussverfahren gemacht und sich ansonsten der Rat durchgesetzt hätte.	However, we must first make clear to outsiders what he has achieved, because to the public it looks as though all he has done is to make three applications for the comitology procedure and that otherwise the Council has had its way.
Es war jedoch Mathieu Grosch, der in Zusammenarbeit mit seinen Schattenberichterstattern über Wochen und Monate verhandelt hat, um überhaupt einen richtigen Gemeinsamen Standpunkt des Rates auf die Beine zu stellen, der auch annahmefähig ist.	It was, however, Mr Grosch who, in cooperation with his shadow rapporteurs, spent weeks and months negotiating to get a proper, acceptable Council common position together at all.
Darauf müssen wir ausdrücklich hinweisen, sonst glauben die Bürger, wir würden den Gemeinsamen Standpunkt einfach so anerkennen.	We must draw express attention to that, or else people will think that all we are doing is approving the common position.
Nein, wir danken Herrn Grosch und den Kollegen, dass sie über Wochen verhandelt haben, so dass der Rat einen mit uns abgesprochenen Gemeinsamen Standpunkt vorgelegt hat.	No, we thank Mr Grosch and his colleagues for negotiating for weeks on end to get the Council to present a common position that had been agreed with us.
Zwei weitere kurze Bemerkungen: Ich gehöre zu den Abgeordneten, die gegen die obligatorische Umtauschpflicht und gegen die zeitliche Befristung eines Ausweises waren.	Two further brief remarks: I am one of the Members who were against mandatory exchange and against limited validity for licences.
Doch wir haben uns dann doch darauf verständigt, dass es im Interesse der Verkehrssicherheit und die Fälschungssicherheit der Ausweise für die Bürger hinnehmbar ist, nach 26 Jahren den Führerschein auszutauschen.	We then nevertheless agreed that in the interests of road safety and preventing the forging of licences it is acceptable for citizens to have to exchange their driving licences after 26 years.
Manche von uns werden das vielleicht nicht mehr machen müssen, wenn sie weise sind.	Many of us will perhaps not have to do that, if we are wise.
Insofern sind 26 Jahre wohl ein guter Kompromiss, und wir können das durchaus hinnehmen.	In that regard, 26 years is probably a good compromise and we can readily accept it.
Letzte Bemerkung: Herr Kommissar, Sie haben zu Recht gesagt: Wir hoffen, dass viele Mitgliedstaaten alle diese Maßnahmen schon früher in Kraft setzen.	My final remark, Commissioner, is that you were right to say that we hope many Member States will bring all these measures into force earlier.
Achten Sie bitte darauf, dass die Mitgliedstaaten das, was sie zugesagt haben, nämlich den Datenaustausch hinsichtlich der Führerscheine, auch rasch vollziehen. Denn wir werden den Führerscheintourismus nur dann bekämpfen können, wenn die Mitgliedstaaten entsprechende Daten untereinander austauschen und wissen, dass sie diesem oder jenem Bürger keinen Führerschein ausstellen dürfen, weil für ihn noch eine Sperre besteht.	Please see to it that the Member States act on their promise to put into effect quickly the exchange of data on driving licences, for we will be able to prevent driving licence tourism only if Member States exchange the relevant data and know that they must not issue this or that citizen with a driving licence because he is still banned.
Lassen Sie uns also die Mitgliedstaaten dazu bringen, das Netz der Informationen schnell aufzubauen.	So let us make sure the Member States build the information network quickly.
