Herr Präsident, Herr Howitt hat hier einen wichtigen Bericht zur Flüchtlingslage vorgelegt.	Mr President, Mr Howitt has presented an important report on the refugee situation.
Wir unterstützen diesen Bericht und waren uns darin auch im Ausschuß einig.	It has our support, and we were unanimous in approving it in committee.
Herr Howitt sprach eben davon, es seien 53 Millionen Flüchtlinge unterwegs.	Mr Howitt has just mentioned the figure of 53 million refugees.
Ich denke, es sind noch viel mehr.	I believe that there are many more than that.
Die Zahlen schwanken zwischen 200 und 500 Millionen, je nachdem, wen man zu den Flüchtlingen zählt, ob man z.B. Umweltflüchtlinge einberechnet.	The figure is somewhere between 200 million and 500 million, depending on who is counted as a refugee - whether, for example, environmental refugees are included.
Viele Menschen auf der südlichen Erdhalbkugel werden bei uns gar nicht bedacht.	There are many people in the southern hemisphere whom we completely fail to consider.
Damit komme ich zu einem innenpolitischen Problem.	And that brings me to a problem in the area of internal affairs.
Flüchtlinge aus dem Süden werden bei uns vielfach nicht in die Länder hineingelassen.	Refugees from the South are frequently refused entry to our countries.
Die Terminologie ändert sich: Die Begriffe Asyl oder Schutz gegen eine erzwungene Rückführung werden inzwischen so umschrieben, daß wir die Menschenrechte dieser Menschen hier nicht mehr gelten lassen.	The terminology is shifting: the concepts of asylum and protection from forced repatriation are being circumscribed in such a way that we no longer recognize these people's human rights.
Wenn sich ein Flüchtling durch eine diktatorische Regierung bescheinigen lassen muß, daß er ein Flüchtling ist, dann bekommen wir diese Bescheinigung nicht, d.h., wir sollten hier mehr Liberalität zeigen.	If a refugee has to obtain proof of his refugee status from a dictatorial regime, that proof will not be forthcoming - in other words, we should take a more liberal approach here.
Wiedereingliederung der Flüchtlinge in ihren Ländern ist wichtig.	It is important that refugees should be reintegrated into their countries.
Dazu müssen aber die Voraussetzungen geschaffen werden.	But the conditions necessary for reintegration have to be created.
Herr Howitt hat die Minen angesprochen.	Mr Howitt mentioned mines.
Wir brauchen viel mehr Mittel, um die Minen, die gelegt werden, wirklich räumen zu können, damit sich die Menschen bewegen können.	We need far more resources to effectively clear the mines that have been laid, so that people are able to move about.
Wir brauchen für die freiwilligen Rückkehrer auch Landrechte, die sie vorher hatten.	For voluntary repatriation to work, we also need people to have the land rights which they formerly held.
Das müssen wir unterstützen.	This is something that we must support.
Die Kommission wurde bezüglich der bürokratischen Hemmnisse angesprochen.	The Commission was mentioned in relation to bureaucratic obstacles.
Ich hoffe, daß wir das lösen können, daß wir als Parlament weiter die Kontrollfunktion ausüben und daß die Menschen in den Lagern - 80 % Frauen und Kinder - auf ihre Rechte zählen können und nicht unter sexueller Gewalt oder sonstiger Gewalt leiden müssen.	I hope that we can resolve this problem, that as a Parliament we can continue to exercise a control function, and that the people in the camps - 80 % of them women and children - can count on their rights and not be forced to endure sexual or other forms of coercion.
Hier liegt die Verpflichtung der Kommission.	That is where the Commission's duty lies.
