. Herr Präsident, Herr Ratspräsident, sehr geehrte Abgeordnete!	.
Ich werde aber auf die Frage zur Agrarpolitik nicht eingehen. Mehrere Ausführungen - Herr Poos, Herr Laschet, Herr Salafranca - betrafen den Irak.	Mr President, Mr President-in-Office of the Council, honourable Members, I do not propose to discuss agricultural policy, as much more has been said - by Mr Poos, Mr Laschet, and Mr Salafranca - on the subject of Iraq.
Ich freue mich darüber, dass Konsens darüber besteht, dass die Bedingungen erfüllt werden müssen.	I am glad to see consensus on the need for the conditions to be met.
Die Hilfe, auch die der Europäischen Union, muss unter dem Dach der UNO geleistet werden.	Aid, including that given by the European Union, must be provided under the aegis of the United Nations.
Es soll ein Trust Fund sein, der eben nicht mit dem Fonds gemischt ist, der die Gelder aus den Ölvorkommen bewirtschaftet, sondern er muss separat sein.	The Trust Fund must not be confused with the fund administering the yields from oil deposits, but must be separate from it.
Ich glaube auch, dass wir in anderen Punkten hinsichtlich der Konditionen einen Konsens erzielen können.	I also believe that we can also achieve consensus on other points relating to the conditions.
Der Vorschlag der Kommission in Höhe von 200 Millionen Euro wäre auch ein guter Ausdruck dafür, dass wir uns verpflichtet fühlen, Verantwortung zu übernehmen, dass wir bereit sind, gemeinsam aus dem EU-Haushalt Verantwortung zu übernehmen.	The EUR 200 million proposed by the Commission would also express well our sense of obligation, our awareness of the need for us to take on responsibility, and our willingness to do so together on the basis of the EU Budget.
Es ist aber ganz wichtig, dass man diese Hilfe für den Irak auch zu den gemeinsamen Verpflichtungen in Relation setzt, die wir in anderen Bereichen eingegangen sind.	It is also very important that this aid for Iraq should be seen in relation to the shared commitments that we have made in other areas.
Ich erwähne es noch einmal: Für Afghanistan sind im nächsten Jahr 214 Millionen vorgesehen, und das entspricht voll unseren Verpflichtungen, die wir in Tokio auf der Geberkonferenz eingegangen sind.	Let me reiterate that EUR 214 million have been allocated to Afghanistan for next year, thus discharging in full the obligations into which we entered at the donors' conference in Tokyo.
Ich möchte auch noch einmal die Tatsache betonen, dass wir 250 Millionen als verstärkte Hilfe für die Türkei im nächsten Jahr vorsehen, auch diese 250 Millionen für ein Land mit immerhin 65 Millionen Menschen, das Nachbarland des Irak, auch das muss man natürlich in Relation setzen.	I would also like to again lay stress upon the fact that we are allocating, next year, EUR 250 million as additional aid for Turkey, Iraq's neighbour, with 65 million inhabitants, and that must also, of course, be seen in its context.
Wir werden ja in der nächsten Woche, am 1. Oktober, die Gelegenheit haben, in einer gemeinsamen Sitzung zwischen Haushaltsausschuss und Ausschuss für auswärtige Angelegenheiten dieses zu debattieren. Die Kommission wird für die Nutzung der Marge und auch eines Teils der Flexibilitätsreserve für den Irak noch einen Vorschlag machen, einen Berichtigungshaushaltsplan vorlegen.	Next week - on 1 October - we will have the opportunity to debate this in a joint meeting of the Committee on Budgets and the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, when the Commission will be putting forward a proposal that the margin and also part of the flexibility reserve be used for Iraq, and will be submitting an amending budget.
