Herr Präsident, ich begrüße die Vorlage des Berichts.	Mr President, I welcome the submission of the report.
Er zeigt deutlich auf, welche Maßnahmen die Kommission im Zuge der BSE-Krise spät, aber doch ergriffen hat bzw. welche Maßnahmen zu ergreifen sie versäumt hat.	It shows clearly what actions the Commission has taken during the BSE crisis - taken late, but taken - and what actions it has neglected to take.
Das heißt also, daß viele Forderungen des Parlaments verwirklicht wurden. Manche Forderungen sind offen geblieben.	This means that many of Parliament's demands have been put into effect, and some have remained open.
Berichterstatter Böge sprach von einem Wechsel an die Zukunft.	The rapporteur, Mr Böge, has spoken of a bill of exchange on the future.
Ich stelle aber auch gleich vorweg die Frage, ob die Kommission aus ihrer politischen Verantwortung entlassen werden darf.	But first I put the question whether the Commission can be released from its political responsibility.
Ich möchte einen Vergleich bringen: Das österreichische Strafrecht anerkennt die Schadensgutmachung, indem es bei geringer Schuld des Beschuldigten einen Freispruch ermöglicht.	I would like to suggest a comparison. Austrian criminal law recognizes the concept of making good the damage, so that if the accused is only slightly guilty, he can be acquitted.
Lassen Sie mich nun, um bei meinem Bild zu bleiben, die Schadensgutmachung der Kommission erörtern.	Let me now stay with my image and discuss how the Commission is making good the damage.
Der Bericht läßt deutlich die Bemühungen der Kommission zur Schadensgutmachung erkennen.	The efforts of the Commission to make good the damage can be clearly recognized in the report.
So wird von einer neuen Offenheit gesprochen, die Aufgabenstellung der Generaldirektion Verbraucherpolitik und Gesundheitsschutz wurde erweitert, und Maßnahmen zur Wiederherstellung der Funktionsweise des Marktes wurden ergriffen.	It speaks of a new openness, the responsibilities of the Directorate-General for Consumer Policy and Health Protection were extended, and actions to restore the function of the market were taken.
Die Kommission hat also den Versuch zur Schadensgutmachung unternommen.	The Commission has thus attempted to make good the damage.
Dies alles geschah aber letztlich nur aufgrund des großen Drucks des Parlaments und einer empörten Öffentlichkeit, und es geschah leider viel zu spät!	But in the end this all happened only because of the massive pressure from Parliament and an indignant public, and unfortunately it happened far too late!
Bereits 1990 hat das Europäische Parlament auf die BSE-Problematik aufmerksam gemacht.	The EP drew attention to the BSE problem as early as 1990.
Viel zu lange hat sich die Kommission bei der Umsetzung ihrer Kontrollpflichten von einzelnen Mitgliedstaaten an der Nase herumführen lassen, ohne dagegen etwas zu tun.	For far too long, the Commission let itself be led by the nose by individual Member States in carrying out its duty of control, without doing anything about it.
Ich weiß schon, daß die Kommission selbst nicht direkt für den mangelnden Willen einzelner Mitgliedstaaten zur Vollziehung der Kontrollen verantwortlich ist, jedoch hätte sie ihre Rolle als Hüterin der Verträge längst schon wahrnehmen müssen.	I know that the Commission itself is not directly responsible for the individual Member States' lack of will to carry out the controls, but it should have fulfilled its role as guardian of the treaties long ago.
Darin liegt das politisch schuldhafte Verhalten der Kommission.	There lies the politically guilty behaviour of the Commission.
Ich komme auf mein Bild zurück.	I come back to my image.
Ist ein Freispruch der Kommission durch das Parlament gerechtfertigt?	Is acquittal of the Commission by Parliament justified?
Leider sieht der Artikel 144 des Vertrages nur ein Mißtrauensvotum gegen die gesamte Kommission vor.	Unfortunately, article 144 of the treaty only provides for a vote of no confidence against the entire Commission.
Solange es diese Hemmschwelle gibt, wird es auch in Zukunft schwer sein, politische Verantwortung einzufordern.	As long as this threshold exists, it will continue to be difficult to demand political responsibility in future.
Ich bedaure dies, und die Bürger Europas werden dies nicht verstehen!	I regret this, and the citizens of Europe will not understand it!
