Frau Präsidentin, meine Damen und Herren! Die Ergebnisse des Molitor-Berichts sind enttäuschend.	Madam President, ladies and gentlemen, the results of the Molitor report are disappointing.
Es läßt sich nicht leugnen, daß viele Rechtsvorschriften zu kompliziert und dem juristischen Laien unzugänglich, weil unverständlich sind.	It cannot be denied that many legal provisions are too complicated and inaccessible to the legal layman because they are incomprehensible.
Diese Situation ist äußerst unbefriedigend, und es ist daher notwendig, nach Möglichkeiten zu suchen, diesen Mißstand zu beseitigen.	That situation is extremely unsatisfactory, which is why means must be sought of remedying it.
Wie im Bericht von Frau Mosiek-Urbahn festgestellt wird, ist die Klarheit und Lesbarkeit, und damit die bessere Verständlichkeit der Rechtsnormen, ein wichtiger Faktor für deren Akzeptanz durch die Bürger.	As stated in Mrs Mosiek-Urbahn's report, clarity and readability, which make the legal standards more comprehensible, are an important factor of their public acceptance.
Der Versuch, zu einer Vereinfachung der Normen zu kommen, wird jedoch oft in der politischen Debatte dazu mißbraucht, Errungenschaften wie den Arbeitnehmer-, Konsumenten- und Umweltschutz in Frage zu stellen.	The attempt to simplify the standards is, however, often misused in political debates as a means of putting at risk achievements such as the protection of workers consumers and the environment.
So wird in dem Bericht der Arbeitsgruppe die Behauptung aufgestellt, daß die Rechtsvereinfachung und Wechselbeziehung zur Erhöhung des Wachstums und der Schaffung von Arbeitsplätzen stehe.	The report by the working group asserts that there is a correlation between legislative simplification and increased growth and job creation.
Den Beweis für die Richtigkeit dieser Behauptung bleibt die Arbeitsgruppe freilich schuldig.	It has not, however, favoured us with any proof that this assertion is correct.
Zweifellos ist eine Vereinfachung der Rechtsvorschriften, aber vor allem vieler Verfahren, insbesondere für Klein- und Mittelbetriebe wichtig und erstrebenswert.	No doubt it is particularly important and desirable to simplify legislation, and above all many procedures, for the small and medium-sized undertakings.
Eine Durchforstung der Vorschriften in vielen Bereichen - zum Beispiel Bauordnungen, Betriebsanlagen, Genehmigungen - wäre hilfreich.	It would be a help to go through the provisions in many areas, such as building regulations, operating rules or permits.
Es ist aber eine gefährliche Illusion zu glauben, daß durch Sozialdumping, Beseitigung des Arbeitnehmer- und Gesundheitsschutzes die Wettbewerbssituation verbessert werden kann.	But it would be dangerously deluded to believe that the situation in competition can be improved by social dumping, by dismantling worker and public health protection.
Daher ist dem Bericht des Ausschusses für Recht und Bürgerrechte voll zuzustimmen, wenn darin betont wird, daß die Deregulierungsvorschläge im sozialen Bereich nicht akzeptiert werden können und die Vorschläge im Bereich des Arbeitsrechts, die auf eine Herabsetzung des Niveaus des Arbeitnehmerschutzes auf europäischer Ebene abzielen, nicht hinnehmbar sind.	That is why we fully endorse the fact that the report by the Committee on Legal Affairs and Citizens emphasizes that the deregulation proposals in the social area cannot be accepted and that the labour law proposals designed to reduce the level of European worker protection are not acceptable.
Auch das Ansinnen, daß Binnenmarktregulierungen nur dort getroffen werden sollen, in denen der Binnenmarkt deutliche Vorteile hat, ist zurückzuweisen.	The notion that single market regulations should only be adopted in areas in which the single market has clear advantages is also to be rejected.
Es muß die Frage gestellt werden, Vorteile für wen, wobei für die Unternehmer leicht nachzuweisen ist, daß der Binnenmarkt viele neue Chancen eröffnet und Vorteile gebracht hat.	The question must be asked, advantages for whom, for here it is easy for businessmen to demonstrate that the single market has opened up many new opportunities and brought many advantages.
Abschließend möchte ich daher sagen: Wir verschließen uns keineswegs einer Reform.	To conclude I would therefore say that we are certainly not against reform.
Gerade wir Parlamentarier, die den Interessen unserer Bürgerinnen und Bürger besonders verpflichtet sind, treten für die Vereinfachung der Normen ein.	We Members of Parliament in particular, who have a special obligation towards our citizens, support legislative simplification.
Wir wissen, daß auch wir unseren Anteil daran haben, wenn Gesetze entstehen, die nur von Spezialisten verstanden werden, und daß der Appell für mehr Klarheit und Einfachheit sich auch an uns selbst richten muß.	We know that it is also to do with us if laws come into being that can only be understood by specialists and that the appeal for greater clarity and simplicity must also be addressed to us.
Wir unterstützen ferner den Vorschlag, die Kodifizierung des Gemeinschaftsrechts zu beschleunigen.	We also support the proposal to accelerate the codification of Community legislation.
In dem ausgezeichneten Bericht von Frau Mosiek-Urbahn sind auch Vorschläge enthalten, wie diesen Problemen zu Leibe gerückt werden kann.	Mrs Mosiek-Urbahn's report also contains proposals on how these problems can be tackled.
Wir werden es aber nicht hinnehmen, daß unter dem Deckmantel der Vereinfachung ein Angriff auf den arbeitnehmenden Konsumenten und den Umweltschutz geführt wird.	But we will not accept any attack on the working consumer and the environment under the guise of simplification.
