Frau Präsidentin, Sie haben dem Kollegen Schulz eine Antwort gegeben.	Madam President, you have given Mr Schulz an answer.
Ich bin Ihnen dankbar, dass Sie die Antwort gegeben haben.	I am grateful to you for that.
Wir müssen sie akzeptieren. Wir sind mit der Antwort nicht einverstanden.	We must accept it, but we do not agree with it.
Der Kollege Medina hat das jetzt auch zum Ausdruck gebracht.	Mr Medina has now made this quite clear as well.
Wir werden an dieser Sache dran bleiben.	We will continue to pursue this issue.
Wir werden wirklich genau untersuchen, wieso es so lange gedauert hat.	We will be looking very closely at the reasons why this process has taken so long.
Es sind ja nicht nur die Schritte, die unverständlich sind, es ist der Zeitraum, der völlig unverständlich ist.	It is not only that the stages within the process are incomprehensible; the length of time involved is beyond belief.
Aber ich möchte in dieser Debatte jetzt nicht weiter mit Ihnen darüber diskutieren, Frau Präsidentin, sondern nur zum Kollegen Poettering etwas sagen.	But I would prefer not to continue this discussion with you during this debate, Madam President. Instead, I should like to say a few words to Mr Poettering.
Ich bin sehr verwundert über seine Stellungnahme.	I am quite astonished by his statement.
Ja!	Yes!
Sehr verwundert, weil ich ihn schätze, schätze als einen fairen Partner.	I am quite astonished, because I value him, I value him as a fair partner.
Aber hier bin ich sehr verwundert.	But this time, he has astonished me.
Erstens einmal ist ganz klar, der Kollege Schulz hat für die Fraktion gesprochen.	First of all, it is quite clear that Mr Schulz was speaking on behalf of his group.
Der Kollege Schulz hat für die Fraktion der Sozialdemokratischen Partei Europas gesprochen und Fragen gestellt, und zwar in einer sehr höflichen und sehr moderaten Form.	Mr Schulz spoke and put questions on behalf of the Group of the Party of European Socialists, and did so with a great deal of courtesy and moderation.
Wer den Kollegen Schulz kennt, der weiß, es fällt ihm nicht immer ganz leicht, so moderat und zurückhaltend zu sein, aber er hat das getan, um es im Namen der Fraktion sehr eindeutig und klar zu sagen.	Those of us who know Mr Schulz realise that he does not always find it easy to be so moderate and restrained, but he managed it on this occasion, in order to make the points on behalf of the Group in a clear and lucid way.
(Zwischenrufe)	(Heckling)
Volle Unterstützung für den Kollegen Schulz!	Our full support for Mr Schulz!
Zweitens, Herr Kollege Poettering, Folgendes: Ich habe mich das letzte Mal in Brüssel schon nicht gemeldet.	Secondly, Mr Poettering, let me make the following point. I did not speak last time in Brussels.
Sie haben in Brüssel etwas gesagt, was sehr gefährlich ist.	You, however, said something in Brussels which is extremely dangerous.
Sie haben gesagt, diese Fraktion ist gegen Österreich vorgegangen.	You said that this Group was going against Austria.
Wissen Sie, wer so argumentiert?	Do you know who else uses this argument?
Es gibt nur einen, der so argumentiert, das ist Jörg Haider, der immer sagt "Wer die österreichische Regierung kritisiert, der geht gegen das Land vor."	There is only one person who argues along these lines, and that is Jörg Haider. He always says: "Anyone who criticises the Austrian Government is going against the country."
(Beifall von links)	(Applause from the left)
Ich wehre mich nicht nur als Österreicher, sondern als derzeitiger Fraktionssprecher absolut dagegen, dass jemand, der eine Regierung kritisiert, gegen das Land vorgeht.	I reject categorically - not only as an Austrian, but also as the present group spokesperson - any implication that anyone criticising the government is going against the country.
Unsere Fraktion ist nie gegen das Land, nie gegen Österreich vorgegangen.	Our group has never gone against the country or against Austria.
(Beifall von links)	(Applause from the left)
Drittens, Kollege Poettering, worüber ich mich sehr wundere: Wenn Sie ein gutes Gewissen hätten, müssten Sie doch wirklich mit aller Kraft danach trachten, dass noch vor den Wahlen in Italien eine Entscheidung kommt und dass diese Entscheidung in diesem Parlament nicht hinausgezögert wird.	Thirdly, Mr Poettering, what greatly astonishes me is that, if you had a clear conscience, you really would be pushing hard for a decision to be taken prior to the elections in Italy, without any delay here in Parliament.
Es war nie eine Sache unserer Fraktion oder auch der italienischen Kolleginnen und Kollegen, die dagegen gesprochen haben.	It was never an issue for our Group or, indeed, for our Italian colleagues who spoke out against it.
Frau Kollegin Napoletano hat nicht gesagt, wir sind dagegen, dass darüber diskutiert wird.	Mrs Napoletano did not say that we are against a discussion of this issue.
Sie war nur dagegen, dass so argumentiert wird, wie argumentiert wurde, nämlich parteipolitisch.	She was merely critical of the way in which the discussion was being conducted, namely on a party-political basis.
Unsere italienischen Freunde haben überhaupt kein Interesse, das zu politisieren, sondern wir können nur nicht akzeptieren, dass ein so langer Zeitraum gewählt wird.	Our Italian friends have absolutely no interest in politicising this matter. What we cannot accept is that the timeframe is so long.
Gerade wenn Sie, Kollege Poettering, Interesse daran haben, dass eine Entscheidung getroffen wird, dann müssen Sie Interesse daran haben, dass sie jetzt in diesem Parlament getroffen wird, unbeschadet der italienischen Wahlen, denn sonst besteht der Verdacht, dass Sie wissen, dass es für Berlusconi gefährlich werden könnte und dass Sie das möglichst bis nach den Wahlen aufschieben möchten.	And if you, Mr Poettering, in particular, are genuinely interested in ensuring that a decision is taken, you must also be interested in ensuring that the decision is taken in the European Parliament now, regardless of the Italian elections. Otherwise, there will be suspicions that you know it could be dangerous for Berlusconi, and are doing your utmost to postpone the decision until after the elections.
Diesen Verdacht, Kollege Poettering, könnten Sie nur zerstreuen, wenn Sie für eine rasche Entscheidung in diesem Parlament wären!	And you could only quash these suspicions, Mr Poettering, if you were in favour of a speedy decision by this House!
(Beifall von links)	(Applause from the left)
