Herr Präsident! Ich achte die Bemühungen des Berichterstatters.	Mr President, I salute the rapporteur for his efforts.
Bei der Bewertung der Beziehungen der Union zur Volksrepublik China stehen noch immer die wirtschaftlichen Interessen im Vordergrund.	Whenever the Union's relations with the People's Republic of China are assessed, economic interests are always to the fore.
Das ist gewiss verständlich, verspricht doch ein Markt mit etwa 1,3 Milliarden Menschen schier unerschöpfliche Gewinne für Konzerne und Banken, die darauf agieren.	This is certainly understandable; after all, a market of around 1.3 billion people promises absolutely inexhaustible profits for those companies and banks active in it.
Mit dem Beitritt Chinas zur WTO werden sich die Verwertungsbedingungen für das Kapital noch verbessern.	China's accession to the WTO will further improve the terms for capital recovery.
Verstärken wird sich damit auch die Konkurrenz zwischen pazifischen Wirtschaftsmächten wie Japan und Taiwan sowie den USA und der EU und ihren Mitgliedstaaten.	It will also intensify competition between Pacific economic powerhouses like Japan, Taiwan and the United States on the one hand and the EU and its Member States on the other.
Alle möchten vom großen Kuchen ein möglichst großes Stück abhaben.	Everyone wants as large a slice as possible of this huge cake.
Begleitet wird das von permanenten Vorhaltungen von politischer Seite, China möge die Menschenrechte mehr achten.	This is accompanied by constant reproaches from the political side that China should have more respect for human rights.
Dabei wird übersehen oder unterschätzt, dass China bestrebt ist, die seit Jahren laufenden Wirtschaftsreformen durch föderale demokratische Strukturen, soziale Sicherungssysteme und ökonomische Steuerungsmechanismen zu ergänzen.	These overlook or underestimate the fact that China is trying to complement the economic reforms, which have been underway for years, with federal democratic structures, social security systems and economic regulatory mechanisms.
Mit dem Beitritt zur WTO ist China dabei, diesen Prozess fortzusetzen.	In acceding to the WTO, China is continuing this process.
Niemand sollte sich jedoch der Illusion hingeben, dass gerade die Trennung von Staat und Wirtschaft die ungeheuren sozialen Probleme Chinas lösen wird.	Nevertheless, nobody should be under the illusion that this separation of the State and the economy will solve China's immense social problems.
Der viel gepriesene Markt des globalen Kapitalismus ist - ob es gefällt oder nicht - amoralisch und nicht geeignet, Grundwerte wie soziale Gerechtigkeit und Solidarität zu verwirklichen.	The much lauded market of global capitalism is - whether you like it or not - amoral and not a suitable vehicle for translating basic values such as social justice and solidarity into action.
Es ist und bleibt der Staat, der hier gefordert ist.	It is and remains the state which is called upon here.
Es gibt keine zweite Regierung in der Welt, die die Verantwortung für 1,3 Milliarden Menschen trägt.	There is no other government in the world that bears responsibility for 1.3 billion people.
Mit China einen vielseitigen Dialog anzustreben, ist gut und richtig, aber dabei sollte niemand auf Druck setzen und nur die eigenen Interessen im Auge haben.	Seeking to establish a multilateral dialogue with China is all well and good, but in so doing nobody should put China under pressure or only have their own interests in mind.
Wer auf Druck setzt, sollte Augenmaß halten, das eigene Potenzial dafür real einschätzen und sich dabei über entstehende Wirkungen vorher im Klaren sein.	Anyone who does put pressure on China should keep a sense of proportion, carry out a realistic assessment of their own potential to meet the same demands and have a clear idea in advance of the effects that it might have.
Ein Dialog ist nur sinnvoll und zielführend, wenn im gegenseitigen Interesse ein Konsens gesucht wird.	A dialogue is only meaningful and successful if a consensus is sought in the interests of all parties.
Das gilt auch hinsichtlich der Todesstrafe.	This also applies to the death penalty.
Die Forderungen nach ihrer Abschaffung sind richtig, aber sie sollten nicht weniger konsequent gegenüber den USA erhoben werden.	It is right to call for it to be abolished, but we should be just as consistent in calling for it to be abolished in the USA.
Mehr als zuvor sind die Beziehungen zu China von politisch strategischer Bedeutung.	Relations with China are more than ever before of strategic political significance.
Eine eindimensionale Entwicklung, wie sie sich gegenwärtig vor der Haustür Chinas mit strategischen Absichten der USA vollzieht, ist dafür wenig zuträglich.	Uni-dimensional development, as is currently happening on China's doorstep as a result of the USA's strategic intentions, would not be very beneficial.
Instabilität wäre die Folge.	Instability would be the result.
Die EU ist herausgefordert, sich auch und gerade im Prozess ihrer Erweiterung einseitigen Machtbestrebungen entgegenzustellen und Stabilität durch ausgewogene Beziehungen zu China zu bewahren bzw. wo vonnöten - herzustellen und zu vertiefen.	As the EU enlarges, indeed precisely as it undergoes this process of enlargement, it is called upon to oppose any unilateral attempts to accumulate power, and to maintain and - if necessary - establish and consolidate stability by cultivating a balanced relationship with China.
