Frau Präsidentin! Vielleicht vorab eine Bemerkung, die Sie auf die Zeit nicht anrechnen.	Madam President, may I make an initial remark outside my allotted speaking time.
Wir hatten letztes Mal gesagt, bei diesen Debatten sollte doch die Ratspräsidentschaft anwesend sein.	At our last part-session, we said that the presidency of the Council should attend these debates.
Es wäre schön, wenn es denn so wäre; leider sehe ich niemanden.	It would be good if that were the case, but unfortunately I see nobody from the presidency.
Vielleicht könnten Sie das über das Präsidium für das nächste Mal initiieren.	Perhaps you could arrange that for next time through the Bureau.
In Äthiopien, Eritrea, an der Grenze zwischen den beiden Ländern gab es letztes Jahr im Mai/Juni erhebliche Konflikte.	On the border between Ethiopa and Eritrea, serious conflicts occurred between those two countries in May and June of last year.
Es gab Kämpfe mit Tausenden von Toten, im Juni 1998 ein Moratorium, und jetzt sind diese Kämpfe wieder aufgeflackert.	There were battles in which thousands died; in June 1998 a moratorium was signed, but hostilities have broken out again.
Wir haben hier einen Grenzkonflikt vorliegen, der von der Bevölkerung auf keinen Fall gewollt ist.	We have a frontier conflict here which the population certainly does not want.
Die internationalen Vermittlungsversuche scheinen gescheitert zu sein.	International conciliation efforts appear to have failed.
Dennoch sollten wir nicht aufgeben, uns für den Frieden in diesem Gebiet einzusetzen, weil es mit kriegerischen Mitteln dort keinen Frieden geben wird.	Nevertheless, we should not stop trying to achieve peace in that region, because peace will never be achieved there by military means.
Es ist richtig zu sagen, wir müssen die beiden Länder unter Druck setzen.	It is right to say that we shall have to exert pressure on both countries.
Von daher ist es auch richtig, ihnen anzudrohen, die Unterstützung durch das Lomé-Abkommen und die Entwicklungshilfe seitens der Mitgliedstaaten und der Europäischen Union auszusetzen.	That is why it is also right to threaten them with suspension of support under the Lomé Convention and of development aid from the European Union and its Member States.
Aber vielleicht reicht dieser Druck auch nicht.	But this pressure may not be enough.
Vielleicht ist es auch wichtig und richtig - und das haben wir gesehen, als wir beide Botschafter im Ausschuß für Entwicklung und Zusammenarbeit und im Vorstand der AKP-Versammlung getroffen haben -, daß wir einen Entwicklungsplan auflegen unter der Bedingung, daß von beiden Seiten die Militärgüter zurückgezogen werden, daß sie verhandlungsbereit sind, daß sie für eine demokratische Rechtsentwicklung und Kontrolle von beiden Seiten bereit sind, und wir ihnen für dieses kleine Grenzgebiet einen Entwicklungsplan liefern und im Vorfeld dazu die bisherige Entwicklungshilfe intensivieren.	Perhaps it would also be important and appropriate - and we saw this when we met the two ambassadors in the Committee on Development and Cooperation and in the Executive of the ACP-EU Joint Assembly - for us to draw up a development plan, subject to both sides withdrawing their military hardware, to their showing willingness to negotiate, and to their being prepared to develop democracy and the rule of law and to grant reciprocal inspection rights. We would then deliver a development plan and would step up the current level of development aid as an initial measure.
