Herr Präsident, zur Geschäftsordnung!	Mr President, on a point of order.
Michel Rocard hat völlig Recht: Was hier passiert, ist, dass einige Wenige versuchen, die Gelegenheit zu nutzen, um ihre Interessen, die sie im Ausschuss sowieso nicht haben durchsetzen können, noch einmal vorzubringen.	Michel Rocard is quite right. What is happening here is that a very few people are trying to take the opportunity yet again to put forward their interests, which they did not manage to get through in committee.
Die sorgen dann dafür, dass wir namentliche Abstimmungen durchführen müssen, die eigentlich gar nicht mehr den Charakter einer namentlichen Abstimmung haben.	They then see to it that we have to hold roll-call votes, which in fact are no longer really roll-call votes.
Das ist ein gezielter Versuch einiger Weniger, sich auf Kosten der anderen zu profilieren.	This is a deliberate attempt by a very few people to raise their profile at the expense of others.
Also brauchen wir erstens ein vernünftiges System für die namentlichen Abstimmungen.	So, first of all, we need a sensible system for roll-call votes.
Zweitens: Es kann nicht sein, dass nach der aus meiner Sicht klassischen Fehlentscheidung des Parlaments, den Freitag abzuschaffen, diejenigen jetzt auch noch protestieren, die letztlich selbst gesagt haben, sie wollten den Freitag nicht mehr haben!	Secondly, we cannot accept the fact that after what I regard as a classic mistaken decision by Parliament to abolish Friday sittings, the very same people who once said they no longer wanted Friday sittings are now protesting!
Meine Frage lautet: Gibt es mittlerweile Einsprüche gegen die Entscheidung des Parlaments, den Freitag zu streichen?	My question is: have there meanwhile been objections to Parliament's decision to scrap Friday?
Gibt es bisher juristische Einwände?	Have there been any legal objections?
Wie wird es im nächsten Jahr ausschauen?	What will things look like next year?
Wir kommen womöglich auch in Zukunft in die Situation, die wir bisher schon haben, nämlich Berichte immer wieder auf die Brüssel-Tagung verschieben zu müssen, anstatt sie hier in Straßburg zu behandeln.	In future we might even end up in the same situation as now, where we keep having to postpone reports to the Brussels part-session instead of dealing with them here in Strasbourg.
Gibt es da Informationen für uns?	Can you give us any information on the matter?
