Herr Präsident, Frau amtierende Ratspräsidentin, danke für Ihren Bericht.	Mr President, Madam President-in-Office, thank you for your report.
In der Tat gibt es nur wenige erfreuliche Zeichen.	There are indeed few promising signs.
Die soll man durchaus anerkennen, nämlich die Ratifizierung gerade auch durch die Knesset am gestrigen Tage.	Those that do exist should however be recognised, such as the ratification by the Knesset yesterday.
Allerdings muß man dazu sagen, daß hier Schritte gesetzt wurden, obwohl es Bombenterror gab, was bisher für die israelische Regierung und das Parlament immer ein Anlaß war, keine Schritte in Richtung Frieden zu setzen.	We must admit that steps were taken in this case, despite the bomb attack, whereas in the past the Israeli Government and Parliament always used such events as a reason not to take any steps towards peace.
Auf der anderen Seite werden aber Bedingungen an diesen Beschluß geknüpft, und es gibt die Aktion der Regierung hinsichtlich Jerusalem, vor allem Har Homa.	On the other hand, however, Israel has tied that decision to certain conditions, and then there is the government action regarding Jerusalem, in particular Har Homa.
Ich möchte hier noch klarer und deutlicher, als die Frau Ratspräsidentin es vielleicht sagen kann, erklären: Für uns in Europa, jedenfalls für meine Fraktion, ist es völlig unakzeptabel, daß die israelische Regierung immer wieder versucht, alle Teile Jerusalems in das israelische Staatsgebiet einzubeziehen.	Let me state here even more clearly and plainly than the President-in-Office can perhaps put it: for us in Europe, for my group at least, it is quite unacceptable for the Israeli Government to keep trying to incorporate the whole of Jerusalem into Israeli national territory.
Hier muß es mehr Respekt geben, auch gegenüber der palästinensischen Seite und natürlich auch den international tätigen Religionen.	Israel must show more respect here, towards the Palestinians and of course also towards the religions practised on an international basis there.
Zweitens: Es ist, glaube ich, ganz wichtig - und mir sind zumindest Informationen bekannt, daß das auch die arabische und palästinensische Seite so sieht -, daß die Europäische Union gewissermaßen ein monitoring auch der Durchführung des Abkommens von Wye Plantation vornimmt.	My second point is that I believe it is most important - and I have some information to the effect that the Arabs and Palestinians take the same view - for the European Union also to carry out some form of monitoring of the implementation of the Wye Plantation agreement.
Wir müssen danach trachten, wir müssen genau informiert sein, was passiert.	We must strive towards that, and we need exact information about what is happening.
So wie es bereits ein monitoring hinsichtlich des settlement gibt, so soll es jetzt ein monitoring hinsichtlich des tatsächlichen Rückzugs geben; das ist die Forderung meiner Fraktion.	In the same way as settlement is being monitored, we now need to monitor effective withdrawal; that is what my group is calling for.
Ich unterstütze voll und ganz, was die Frau Ratspräsidentin zu den Investitionen gesagt hat, die wir unterstützen wollen und unterstützen müssen.	I fully endorse what the President-in-Office said about investment, which we wish to support and indeed have to support.
Das Parlament ist dazu auch bereit.	Parliament is also prepared to do so.
Auch wenn es um geringe Summen geht, möchte ich hier den Kommissar ansprechen, damit er das weiterleitet, damit auch die israelischen und palästinensischen NRO, die über die Grenzen hinweg, vor allem im people to people -Kontakt, gute Arbeit leisten, ausreichend und rechtzeitig unterstützt werden.	Even if we are only talking about small sums, I would now call on the Commissioner to carry this forward, so that we can also give adequate and prompt support to the Israeli and Palestinian NGOs which are doing good work, across the borders and in particular through people-to-people initiatives.
Herr Kommissar und die Vertreter der Kommission, schauen Sie sich bitte an, wieviel Zeit bei den verschiedenen Organisationen zwischen einer Zusage und der Finanzierung vergeht.	I would ask the Commissioner and the Commission representatives to please consider how long the various organisations have to wait between the authorising of funds and the actual financing!
Das ist völlig unakzeptabel!	That is quite unacceptable!
Letzter und ganz wichtiger Punkt: Der 4. Mai 1999 kommt, wie der Kalender zeigt, bald.	My final and very important point is this. As we can see from the calendar, it is not long till 4 May 1999.
So sehr meine Fraktion das Recht der palästinensischen Seite voll anerkennt, auch einseitig die Unabhängigkeit zu erklären, wenn es nicht zu entsprechenden Vereinbarungen mit Israel kommt, so sehr sollten wir alle danach trachten, daß es Vereinbarungen gibt, entweder Vereinbarungen über die Unabhängigkeit oder auch Vereinbarungen über einen Aufschub dieses Datums, wenn Israel den Grundsatz anerkennt, daß es einen palästinensischen Staat geben wird.	However much my group fully recognises the right of the Palestinians to unilaterally declare independence if the appropriate agreements cannot be reached with Israel, we should nevertheless strive all the more to ensure that agreements are reached, either agreements on independence or agreements on postponing that deadline, if Israel accepts the principle that there will be a Palestinian state.
Die Europäische Union muß sich in der nächsten Zeit darum bemühen, daß dieses Datum, der 4. Mai 1999, nicht der Beginn einer neuen Krise wird, sondern daß es bis zu diesem Zeitpunkt eine einvernehmliche Erklärung zur Unabhängigkeit gibt, oder falls dies zu einem späteren Zeitpunkt erfolgt, Zwischenvereinbarungen getroffen werden und die israelische Regierung den Grundsatz eines palästinensischen Staates voll anerkennt.	The European Union must endeavour in the immediate future to ensure that this date, 4 May 1999, does not signal the beginning of a new crisis, but that we have a joint declaration on independence by that date or, in the event that the deadline is postponed, that interim agreements are reached and the Israeli Government fully recognises the principle of a Palestinian state.
