Frau Präsidentin! Die besorgten Europäer haben immer mehr Angst.	Madam President, the people of Europe are becoming more and more anxious.
Es gibt zwei Themen, die besonders bewegend sind.	There are two topics that are particular cause for concern.
Das eine ist, dass weiterhin nicht konsequent genug mit der Wirtschafts- und der Eurokrise umgegangen wird.	The first is that we continue to take an inconsistent line in dealing with the economic crisis and the difficulties of the euro.
Weiterhin ist es so, dass der Rat und auch die Kommission den Ereignissen hinterhinken.	It is also a fact that the Council and the Commission are lagging behind events.
Schauen Sie der Wirklichkeit ins Auge: Wir brauchen einen Schuldenschnitt, zumindest in Griechenland, vermutlich auch in Portugal.	We need to be realistic: we need a debt haircut, at least in Greece and probably also in Portugal.
Da wird kein Weg daran vorbeiführen.	There is no escaping this.
Je später Sie diese Frage angehen, umso kostspieliger wird es, nicht nur in finanzieller Hinsicht, sondern auch im gemeinsamen Glauben an das europäische Projekt.	The longer we take to address this issue, the more it will cost, not just in financial terms, but also in terms of the general credibility of the European project.
Was da in Griechenland weiterhin passiert, führt zu einem Aufschaukeln von Emotionen.	Events in Greece will serve to arouse emotions.
Wir waren mit einer Sonderdelegation vor Ort: Die Grundstimmung ist, dass die EU schuld ist an den Problemen in Griechenland - weil nicht ordentlich kommuniziert wird und weil auch die notwendigen Schritte, die heute schon deutlich absehbar sind, nicht eingeleitet werden.	We were part of a special delegation to the country: the underlying attitude is that the EU is responsible for the problems in Greece because of a lack of clear communication and because the necessary steps, which are already obvious, are not being taken.
Das zweite Thema ist die Atomkraft.	The second topic is nuclear power.
Was da vorbereitet wird an sogenannten Stresstests, wird nur dann sinnvoll sein und die Glaubwürdigkeit in das gemeinsame Europa wiederherstellen, wenn diese Stresstests tatsächlich nach strengen Kriterien - nicht nach den weichen Kriterien der IAO - ablaufen, wenn tatsächlich unabhängige Experten hinzugezogen werden, und wenn die Ergebnisse und der ganze Prozess auch wirklich entsprechend öffentlich dargestellt werden und nachvollziehbar sind.	The so-called stress tests being prepared will only make sense and credibility in a cohesive Europe will only be restored if these stress tests are performed according to stringent criteria and not according to the weak criteria of the IAO, if genuinely independent experts are consulted and if the events and the entire process is presented to the public in an appropriate and understandable way.
