Frau Präsidentin! Ich möchte mich zunächst dafür bedanken, dass wir diese Debatte führen.	Madam President, I am grateful for the opportunity to hold this debate.
Kollege Lopez hat gerade darauf hingewiesen, dass er als Jurist sagt, wir seien nicht zuständig.	Mr López Aguilar referred to the fact that in his opinion, as a lawyer, we are not responsible.
Ich spreche hier nicht als Jurist, sondern als Politiker.	I am not speaking as a lawyer, but as a politician.
Millionen Menschen in Europa sind von diesem Urteil der Straßburger Richter betroffen.	Millions of people in Europe are affected by this judgment by the judges in Strasbourg.
Deswegen ist es gut, dass wir das hier diskutieren.	This is why it is a good thing that we are discussing it here.
Das Verhältnis zwischen Kirche und Staat war in Europa immer umstritten und hat zu blutigen Konflikten geführt.	The relationship between church and state in Europe has always been disputed and has led to bloody conflicts.
Es ist gut und richtig, dass die Europäische Union sich dazu durchgerungen hat, Staat und Religion zu trennen.	It is right and proper that the European Union has managed to separate the state from religion.
Das ist gut und richtig.	This is a good thing.
Aber wir haben in Europa unterschiedlichste Modelle.	However, we have a wide range of different models in Europe.
In Frankreich haben wir einen klaren Laizismus, in Großbritannien ist die Situation so, dass das Staatsoberhaupt, die Queen, höchste Repräsentantin der Kirche ist.	France is clearly a non-religious state, while in Great Britain, the Head of State, the Queen, is also the head of the church.
Wir haben unterschiedlichste Modelle, wie sich das Verhältnis zwischen Kirche und Staat entwickelt hat.	We have different models of how the relationship between church and state has developed.
Deswegen halte ich es für gut, dass wir hier die Subsidiarität einfordern, dass jedes Land seinen Weg gehen darf.	For this reason, I believe it is a good thing that we are calling for subsidiarity in this area and that every country can go its own way.
Ich möchte sogar noch einen Schritt weiter gehen.	I would even like to take things a step further.
Ich will nicht über Subsidiarität reden, sondern über die Grundfrage, dass aus meiner Sicht die europäischen Werte Solidarität, Subsidiarität, Freiheit ohne eine Fundierung im Christentum, im jüdisch-christlichen Religionsverständnis undenkbar sind.	I do not want to talk about subsidiarity, but about the basic issue that, from my perspective, the European values of solidarity, subsidiarity and freedom are unthinkable without a foundation in Christianity and in the Judaeo-Christian understanding of religion.
Warum gibt es diese Werte in China, im arabischen Bereich so nicht?	Why do we not find these values in China or in the Middle East?
Weil sie in unserer Kultur und in unseren Religionen fundiert sind.	This is because they are based on our culture and our religions.
Darauf darf man hinweisen, ohne jemand zu zwingen, gleich den gleichen Glauben anzunehmen.	It is possible to mention this without forcing anyone to accept the same faith.
Wir sind stolz auf unsere Religionsfreiheit.	We are proud of our religious freedom.
Es gibt die Religionsfreiheit in dem Sinne, dass ich entscheide, Atheist zu sein.	There is religious freedom in the sense that it is possible for me to decide to be an atheist.
Ja, das ist in Ordnung, das ist legitim, das haben wir erkämpft.	That is acceptable and legitimate and we have fought for this.
Aber es gibt auch das Recht, einen Glauben zu haben.	However, there is also the right to have a faith.
In meiner Heimatregion mit über einer Million Menschen haben über 80 % den katholischen Glauben, sind Katholiken.	In my region, where more than one million people live, over 80% are Catholics.
Genauso wie derjenige, der Atheist ist, einfordert, dass man ihm gegenüber tolerant ist, fordern die Katholiken - über 80 % - ein, dass die Nichtgläubigen tolerant gegenüber ihrem Glauben sind, dass man den Glauben in der Öffentlichkeit leben darf, ihn darstellen darf und dass christliche Symbole in einer solchen Mehrheitsgesellschaft auch von denen akzeptiert werden, die die Minderheit darstellen.	Just as atheists call for others to show them tolerance, so the Catholics who make up more than 80% of the population are calling for non-believers to be tolerant of their faith. They want to be able to show their faith in public, to represent it and to have Christian symbols accepted by the minority in this majority society.
Auch das ist legitim mit der Religionsfreiheit zu begründen.	This is also legitimate in terms of religious freedom.
Wer Toleranz einfordert, der sollte sie auch denen gegenüber praktizieren, die einen christlichen Glauben vertreten. <	Anyone who calls for tolerance must also show tolerance to those who practise a Christian faith.
