Herr Präsident! Die Argumente liegen schon lange auf dem Tisch.	Mr President, the arguments have been on the debating table for a long time.
In Wien ist es in Anwaltskreisen geradezu zu einem Bonmot geworden, ob man schon ein Gutachten zur Frage der Buchpreisbindung erstellt habe.	The issue of whether a report on the issue of fixed book prices has been drawn up yet has almost become a bon mot in legal circles in Vienna.
Viele renommierte Anwaltskanzleien haben sich gutachtlich zu dieser Frage geäußert, und zwar ungefähr zur Hälfte Pro und Kontra, je nach Auftraggeber.	Many renowned legal firms have given their expert opinions on this issue, approximately half of which were in favour of it and half against, depending on the client's point of view.
Das allein läßt wohl Rückschlüsse auf die Komplexität der Materie zu.	This alone probably allows us to draw conclusions as to the complexity of the subject matter.
Wenn man daher davon ausgeht, daß die Argumente auf beiden Seiten etwa gleich gut sind, reduziert sich das Problem auf die Bewertung des Buches entweder als Handelsware oder als Kulturgut.	If we therefore assume that the arguments are more or less equally good on both sides, the problem is reduced to judging the book either as a commercial good or a cultural object.
Ich verstehe mich keineswegs als Anwalt des Buchhandels, sondern als Anwalt des Buches.	I do not consider myself in any way to be a champion of the book trade, but a champion of books.
Ich habe mich im Streit Wettbewerb gegen Kultur auf der Grundlage 128 Absatz 4 eben zugunsten der Kultur entschieden.	In the battle of competition versus culture I have simply decided in favour of culture on the basis of Article 128(4).
Ich möchte mich nämlich gerne weiterhin in der Buchhandlung fachkundig beraten lassen und nicht Bücher wie in einer Fastfood-Kette aus Stapeln kramen.	This is because I would like to continue to be given informed advice in the bookshop and not to pick from stacks of books like a fast-food service.
Ich möchte in den Buchhandlungen weiterhin wertvolle Bände vorfinden und nicht nur Paperback-Bestseller.	I should like to continue to find quality books in the bookshops and not only paperback best-sellers.
Herr Kommissar, Sie konnten mich nicht davon überzeugen, daß die Buchpreisbindung oder deren Aufhebung daran nichts ändern würde.	Commissioner, you did not manage to convince me that fixed book prices or their abolition would not change anything.
Vielleicht habe ich aber auch die falsche Hälfte der Gutachten gelesen.	However, perhaps I read the wrong half of the reports.
Wenn man anerkennt, daß das Zusammenwachsen der Union zu einer wirtschaftlichen Macht die kulturelle Vielfalt und Differenz braucht, kann man sich nur gegen die Aufhebung der Buchpreisbindung aussprechen, die ich für eine kulturelle Bankrotterklärung der Union halten würde.	If we accept that the development of the Union into an integrated economic power requires cultural diversity and cultural differences, we can only oppose the abolition of fixed book prices, which I would consider to be a declaration of the cultural failure of the Union.
