Herr Präsident, meine sehr geehrten Damen und Herren!	the opinion of the Committee on Industry, External Trade, Research and Energy.
Der Ausschuss für Industrie, Außenhandel, Forschung und Energie ist natürlich interessiert an der internationalen Entwicklung und insbesondere an der Mitgestaltungsmöglichkeit bei der WTO.	Mr President, ladies and gentlemen, the Committee on Industry, External Trade, Research and Energy is of course interested in international development and especially the opportunity to play a part in shaping policy within the WTO.
Wir haben hier zwei Probleme: Einerseits sind die Ressourcen unseres Ausschusses nicht in der Lage, die Diskussionen in einem Maße zu verfolgen und zu beeinflussen, wie es eigentlich sinnvoll wäre.	We have two problems here. On the one hand, our Committee's resources do not permit us to monitor and influence the debate to the extent that would be genuinely useful.
Andererseits haben wir viele Abgeordnete aus anderen Ländern - in erster Linie aus Entwicklungsländern -, die nicht die Möglichkeit haben, die Kosten - nicht einmal die Reise- und Aufenthaltskosten - zu tragen, um sich an diesen Diskussionen zu beteiligen und an diesen Entscheidungen teilzuhaben.	On the other, we have many parliamentarians from other countries - primarily from developing countries - who cannot meet the costs, even for travel and accommodation, in order to attend these debates and play a role in this decision-making process.
Erstens: Wir treten dafür ein, dass sich Europa dazu bekennt, in dieser Welt eine führende Rolle zu spielen.	Firstly, we want Europe to commit itself to playing a leading role in global affairs.
Deshalb sind die WTO und die Entscheidungsfähigkeit im WTO-Bereich gerade für unsere kleinen und mittleren Unternehmen besonders wichtig.	The WTO and the capacity to make decisions on matters of WTO policy are extremely important, especially for our small and medium enterprises.
Zweitens: Wir wollen die Normung vorantreiben, weil wir bei der Gesetzgebung nicht so sehr auf Harmonisierung des europäischen Binnenmarktes drängen wollen, sondern in erster Linie auf gegenseitige Anerkennung.	Secondly, we want to press ahead with standardisation, because what we want to push for first and foremost, in terms of legislation, is mutual recognition, rather than harmonisation within the European internal market.
Normung und Standardisierung sind eine wesentliche Grundlage für diesen Bereich.	In this context, standardisation is essential and fundamental.
Drittens die Energie: Wir wollen uns dafür einsetzen, dass die Programme für intelligente Energie, aber auch die Programme ALTENER, SAVE und SYNERGIE intensiv genutzt werden und von der Kommission hier Prioritäten gesetzt werden, insgesamt auf unsere Energieselbstversorgung, die ja von 50 auf 70 % steigen soll.	Thirdly, in the energy field, we want to ensure that the intelligent energy programmes, but also the ALTENER, SAVE and SYNERGIE programmes, are used intensively and that the Commission sets priorities here, especially for our energy self-sufficiency, where the aim, after all, is to achieve an increase from 50% to 70%.
Es ist hier dringend notwendig, intensivere Maßnahmen zu ergreifen, um unsere Energieversorgung zu sichern und zu gewährleisten.	In this context, more intensive measures need to be adopted as a matter of urgency to safeguard and secure our energy supply.
Noch ein Punkt, der exklusiv vom Parlament kommt: Wir möchten gerne, dass Basel II ein eigenes Aktionsprogramm erhält.	Let me make one further point, which originates from Parliament alone: we want Basle II to have its own action programme.
Wir befürchten, dass die Eigenkapitalerfordernisse für unsere KMU bis 2006 nicht erreicht werden können, was zu einer extremen Kündigungs- und Konkurswelle führen wird, und bitten darum, dass die Hausaufgaben vorher gemacht werden.	We are concerned that the equity capital requirements for our SMEs will not be achievable by 2006, and that this will precipitate a massive number of foreclosures and bankruptcies. So let's do our homework here first.
