Herr Präsident, Frau Kommissarin, meine Damen und Herren!	Mr President, Commissioner, ladies and gentlemen.
Ich bin froh, dass wir so viele Berichte gemeinsam diskutieren, weil es die Vernetzung aller angeschnittenen Fragen für die Bildungspolitik und für unser Leben so deutlich zum Ausdruck bringt.	I am glad we are discussing so many reports together because it brings out so clearly how all the questions raised are interrelated as they impinge upon education policy and our lives.
Die unterschiedlichen bildungspolitischen Schubladen sind nicht voneinander zu trennen, wie die Gegenstände nicht nur in unterschiedliche Lehrpläne einzuteilen sind und jeder seinen Bereich am meisten verteidigt.	The various aspects of education policy cannot be separated any more than the subjects can be divided into different curricula with each defending his own the strongest.
Ich glaube, das zeigt diese Debatte sehr gut.	I think this debate shows that very well.
Ich bin heute in einer angenehmen Situation, weil in meinem Land, in Österreich, die Schulvernetzung im Zusammenhang mit e-learning und den neuen Medien europaweit an der Spitze liegt.	I find myself in a pleasant situation today because my country, Austria, leads the field in Europe for schools networking in connection with e-Learning and the new media.
61 % der Schulen - das sind 3 860 Schulen - sind in meinem Land an das Internet angeschlossen, alle weiterführenden Schulen - rund 1 000 an der Zahl.	Sixty-one percent of schools - that is 3 860 schools - in my country are connected to the Internet, including secondary schools, of which there are about 1 000.
1 090 präsentieren sich bereits selbst im Internet.	One thousand and ninety already have their own Internet sites.
Alle Universitäten sind über das akademische Computernetz miteinander verbunden und damit auch im europäischen Hochleistungsforschungsnetz TEN 155.	All universities are interconnected via the academic computer network and in that way also have access to the TEN 155 European high speed research network.
Ich freue mich darüber, aber sage gleich hinzu, damit ist es nicht getan.	I am pleased about that, but at the same time it is not enough.
Es ist eine richtige, wichtige Entwicklung, die wir eingeleitet haben, aber weitere Schritte sind notwendig, und ich bin daher sehr froh, dass die Kommission und die schwedische Präsidentschaft das European School Net, die Initiative e-scola gestartet hat.	It is a correct and important trend that we have started, but more needs to be done and I am therefore very pleased that the Commission and the Swedish Presidency have started the European School Net, the e-scola initiative.
Erst letzte Woche wurde gezeigt, wie Computer und das Internet im Unterricht tatsächlich genutzt werden, um die Unterrichtsqualität zu verbessern und neue Lernmöglichkeiten zu schaffen, dies mit dem Ziel, die zusammengestellten Lehr- und Lernmaterialien sowie Praxisbeispiele zukünftig zu nutzen und weiter verfügbar zu machen.	Only last week we saw how computers and the Internet are actually being used in teaching, to improve the quality of teaching and create new oportunities for learning with the objective of using the compiled teaching and learning materials and practical examples in the future and making them more widely available.
Frau Kommissarin, ich bedanke mich für Ihr Drängen in dieser Angelegenheit.	Commissioner, I thank you for your persistence in this matter.
Wir sind gemeinsam auf dem richtigen Weg.	We are on the right road together.
Das Ziel ist bekannt, aber wir haben noch sehr viele Schritte zu setzen.	The destination is known, but we still have a long way to go.
Hier komme ich zu einigen Punkten der Diskussion.	This brings me to a number of points in the debate.
Erstens, zum Begriff Subsidiarität.	Firstly, the concept of subsidiarity.
Ich bin ein glühender Verfechter des Subsidiaritätsprinzips und komme aus einem Land, das einen sehr ausgeprägten Föderalismus hat.	I am an ardent champion of the subsidiarity principle and I come from a country with a very marked degree of federalism.
Ich fordere allerdings auch alle Mitgliedstaaten auf, das Subsidiaritätsprinzip nicht als Ausrede dafür zu gebrauchen - was oft geschieht -, notwendige Europäisierungsschritte nicht setzen zu müssen.	However, I also call on all Member States not to use the principle of subsidiarity as an excuse - as often happens - for failing to take necessary steps towards Europeanisation.
Subsidiarität in diesem Zusammenhang bedeutet für mich bürgernahe Umsetzung, regional und individuell den notwendigen Ansprüchen gerecht werden, notwendige gemeinsame europäische Aufgaben, um der Weltherausforderung und unsere Verantwortung gegenüber der Jugend gerecht werden zu können.	For me, subsidiarity in this context means being close to the citizen, serving their essential interests regionally and individually, fulfilling necessary common European tasks, so we can face global challenges and fulfill our responsibility towards the younger generation.
Zweitens: Bildung - das zeigt sich auch an diesem Beispiel - ist kein Selbstzweck, sondern Bildung von der Schule bis zum lebenslangen Lernen bis hin zur Betreuung des neuen Lebensabschnittes des Alters ist die Voraussetzung dafür, dass wir unser Ziel, eine wissensbasierte Wirtschaft in der Welt, die Nummer 1, überhaupt verwirklichen können.	Secondly, education, as this example also shows, is not an end in itself, but education from school to lifelong learning to catering for the new stage in life that is old age is the prerequisite for achieving our goal of a knowledge-based economy that is number one in the world.
Bildungspolitik ist daher der Schlüssel zum Erfolg der Wirtschaftspolitik.	Education policy is therefore the key to the success of economic policy.
Bildungspolitik ist die Voraussetzung dafür, dass die Jugend von heute am Arbeitsmarkt von morgen überhaupt bestehen kann und wir im weltweiten Wettbewerb unsere Rolle als Europa erfüllen können.	Education policy is the prerequisite for today' s young people holding their own on tomorrow' s labour market and for our fulfilling our role as Europe in worldwide competition.
Daher möchte ich dem Herrn Korakas sagen, der meint, es beginnen schon Proteste gegen diese Ziele: Wir haben als Politiker alles daran zu setzen, den Menschen zu sagen, diese Entwicklung findet statt, und wir haben uns darauf vorzubereiten.	I should therefore like to say to Mr Korakas, who thinks protests against these objectives are already beginning, that we as politicians must do all we can to tell people that this development is happening and we have to prepare ourselves for it.
Daher drei Punkte zum Schluss: Erstens, das wollte Frau Martens sagen, es geht nicht nur um die Ausstattung mit Computern.	Three points, therefore, to finish. First, as Mrs Martens wanted to say, it is not only about providing computers.
Es geht auch um die ethische Frage: Wie benutzt man das, was über den Computer verfügbar ist?	There is also the ethical question: How are we to use what computers make available to us?
Die ethische Frage des Nutzens daraus ist neben dem Handling eine wichtige bildungspolitische Aufgabe.	The ethical question of their benefit is, like their handling, an important task for educational policy.
Wir müssen auch schauen, dass kein neuer sozialer Sprengstoff entsteht zwischen jenen, die sich auskennen, und jenen, die sich nicht auskennen.	We must also see to it that no new social time bombs are created between those who know how to use them and those who do not.
Das kann der neue Klassenkampf werden, wenn die Bildung nicht sozialgerecht einschreitet.	If education fails to take the correct social action, that may become the new class war.
Ich fordere daher auch eine Patenschaft der Industrie mit Schulen, damit sich jeder diese Notwendigkeit des Computers auch erfüllen kann.	I therefore also call for industry to sponsor schools so that all can have the computers they need.
Nächster Punkt ist das lebenslange Lernen.	The next point is lifelong learning.
Ich bitte, alles daranzusetzen, die Senioren in der Ausbildung nicht zu vergessen, denn nur so können wir die europäischen Ziele erfüllen, dem weltweiten Wettbewerb Stand halten, die Erweiterung zum Erfolg machen und nicht neuen sozialen Sprengstoff entzünden.	Let us do our best to see to it that senior citizens are not forgotten when it comes to training, because only by so doing can we attain the European objectives, keep pace with world competition, make enlargement a success and avoid setting off a new social time bomb.
