Frau Präsidentin! Der Bericht Florenz enthält wirklich viele gute Anregungen.	Madam President, the Florenz report actually contains a lot of good suggestions.
Ein Gutes der Klimadiskussion ist, dass sie als Katalysator für den Übergang ins Zeitalter der erneuerbaren Energien wirkt.	One good thing about the climate debate is that it will act as a catalyst for the transition into the age of renewable energies.
Das ist im Bericht auch mit vielen Chancen für neue Technologien und Wirtschaftsentwicklung sehr gut herausgearbeitet.	This is shown very clearly in the report along with many opportunities for new technologies and economic development.
Schade finde ich aber, dass wir große Teile der Wissenschaft ausgegrenzt haben.	However, I think it is a shame that we have excluded large areas of science.
Studien und Wissenschaftler, die sich dem Thema Klimawandel mit weniger düsteren Szenarien oder vielleicht sogar positiv nähern, wurden im Ausschuss einfach nicht gehört.	Studies and scientists that approach the subject of climate change with less gloomy scenarios or perhaps even positively, have simply been ignored.
Entsprechende Anträge wurden mehrheitlich abgelehnt, basta!	Corresponding applications were rejected by the majority, and that was that.
Wissenschaft ist nur das, was politisch ins Konzept passt.	Science is only what fits into the political concept.
Das geht schief, weil Wissenschaft sich nicht manipulieren lässt.	This will not work, because science does not allow itself to be manipulated.
So bekommt der Bericht am Ende leider eine Schieflage.	Thus, the report will, unfortunately, hit rocky ground in the end.
Wer auf dieser Basis eine CO2-Reduzierung von 80 % und mehr fordert, der stellt Wirtschaft und soziale Errungenschaften grundsätzlich in Frage.	Anyone who, on this basis, demands a reduction in CO2 of 80% or more is jeopardising the economy and social achievement.
Wer gleichzeitig den Ausstieg aus der Kernkraft fordert, verschließt bewusst die Augen vor der Realität.	Anyone who, at the same time, demands the abandonment of nuclear power is consciously closing his eyes to reality.
Wer Rechnungslegungsgrundsätze für alle Bereiche des menschlichen Lebens fordert, steht mit dem freiheitlichen Grundgedanken auf Kriegsfuß.	Anyone who demands accounting standards for all areas of human life is at odds with the fundamental idea of freedom.
Wer neue Gesetze für den Boden und die Landwirtschaft fordert, der missbraucht die Klimadebatte für Maßregelungen, die er oder sie schon immer durchsetzen wollte, die aber mit dem Schutz des Klimas nichts zu tun haben.	Anyone who demands new laws for soil and agriculture is abusing the climate debate for the purposes of implementing sanctions that he or she wanted to implement anyway but which have nothing to do with climate change.
Und wer gar Schutzanzüge gegen Klimaauswirkungen fordert, der will bewusst Ängste schüren.	And anyone who demands protective clothing against the effects of the climate is deliberately stirring up anxiety.
Ich hoffe, dass diese radikalen und zweckfremden Ideologien in dem Bericht keinen Platz finden.	I hope that these radical and misplaced ideologies will not be included in the report.
Dann kann ich dem Bericht auch zustimmen, weil mir der Umweltschutz am Herzen liegt - am besten, wenn er sich mit sozialen Errungenschaften und wirtschaftlicher Wettbewerbsfähigkeit verbinden lässt.	I will then be able to support the report, as protection of the environment is very important to me, particularly when it can be combined with social achievement and economic competitiveness.
