Herr Präsident! Ich danke den Kolleginnen und Kollegen für das Abstimmungsergebnis.	Mr President, I would like to thank my fellow Members for the result of the vote.
Auf dem Ergebnis zum Bericht über den nachhaltigen Einsatz von Pflanzenschutzmitteln lässt sich aufbauen.	This is based on the result of the report on the sustainable use of pesticides.
Wir haben hier die Spitzen herausgestimmt.	We have voted out the top levels here.
Wir haben aber den Schwerpunkt auf Bildung sowie Information der Anwender und auch der Verkäufer gesetzt.	We have, however, focussed on training and information for users and salespeople alike.
Nur der fach- und sachkundige Umgang mit Pflanzenschutzmitteln sichert die Nachhaltigkeit.	Only the expert and skilled handling of pesticides can ensure sustainability.
Dabei müssen natürlich die neueste Technik und das aktuellste Wissen angewandt werden.	The latest technology and the most up-to-date knowledge are being applied here, of course.
Wir fördern und unterstützen den integrierten Pflanzenschutz.	We support Integrated Pest Management.
Die Kommission fordert, bis 2014 den integrierten Pflanzenschutz für die gesamte Landwirtschaft verpflichtend einzuführen.	The Commission is calling for Integrated Pest Management to be made compulsory for agriculture as a whole by 2014.
Dazu brauchen wir allgemeine Standards.	We need general standards for this.
Den integrierten Pflanzenschutz kann man nicht in feste Kriterien pressen, und schon gar nicht europaweit.	We cannot squeeze Integrated Pest Management into fixed criteria, certainly not throughout Europe.
Der integrierte Pflanzenschutz muss immer flexibel weiterentwickelt werden.	Integrated Pest Management must always be developed flexibly.
Er braucht die Triebfeder der guten fachlichen Praxis, er braucht die Dynamik. Die Dynamik muss erhalten bleiben.	It requires the incitements of good technical practice and it needs drive - and that drive needs to be maintained.
Deshalb müssen wir hier noch vor der zweiten Lesung darüber reden.	We must therefore discuss this once again here before second reading.
Wir haben noch Gelegenheit, mit dem Rat und der Kommission auch in diesem Zusammenhang einen guten Schlusspunkt zu finden, so dass wir in der Europäischen Union Pflanzenschutz weiterhin gut möglich machen.	We still have the opportunity, together with the Council and the Commission, to bring this to a good conclusion so that we in the European Union can continue to make pest management actually possible.
