Mitglied der Kommission. - Vielen Dank für Ihr Interesse und Ihre Stellungnahmen.	Thank you very much for your interest and your comments.
Das Thema Mikrofinanzierung ist in der Tat eines, das ja in mehreren Generaldirektionen angesiedelt ist, wobei ein gewisses lead hier inhaltlich beim Kollegen Andor gegeben ist.	The subject of microfinance is, in fact, one covered by a number of directorates general, with Mr Andor taking a certain lead as regards substance.
Aber auch im Bereich der Regionalpolitik beschäftigen wir uns mit der Frage.	However, it is also something that we are concerned with within the area of regional policy.
Was etwa die Frage der Zinssätze anbelangt, ist es so, dass es einige Mitgliedstaaten gibt, die hier sozusagen als Bedingung eine Obergrenze gezogen haben, die sich ungefähr bei 8 bis 9,5 % bewegt.	Where interest rates are concerned, there are some Member States that have set a cap - as a condition, so to speak - which is at around 8 to 9.5 per cent.
Man muss hier allerdings auch in Rechnung stellen, dass natürlich - und das war immer ein Thema, auch in der Vorbereitung dieser ganzen Thematik - die Overhead-Kosten im Vergleich zu den tatsächlichen loans relativ hoch sind und daher auch entsprechende Kosten anfallen, die es zu decken gilt.	What must also be taken into account here, however, is that naturally - and this has always been a matter for discussion, including during the preparations for all this - the overheads are relatively high in relation to the actual loans, and therefore, costs are incurred which need to be covered.
Hier muss ein vernünftiger Mittelweg gefunden werden. Ich denke, das ist gelungen.	A sensible middle way has to be found, and I think we have succeeded in this.
Zur zweiten Frage: Ich kann berichten, dass es gerade mit dem Instrument Jasmine, das dazu dienen soll, die Mikrofinanzierung entsprechend vorzubereiten und hier auch auf eine Einstellung der intermediates vorzubereiten und zu trainieren, gegenwärtig 15 Institutionen in 15 verschiedenen Ländern, 11 sind in Zentral- und Osteuropa und 4 in Westeuropa, vorbereitet werden.	Moving on to the second question, I can tell you that the Jasmine instrument - which is intended to assist with the appropriate preparations for microfinance and to pave the way for intermediaries to be set up and trained - is currently being used to make ready 15 institutions in 15 different countries, 11 of them in Central and Eastern Europe and four in Western Europe.
Ich habe jetzt nicht alle Länder im Kopf, aber es sind im Wesentlichen die meisten neuen Beitrittsländer davon schon erfasst, und wir rechnen damit, dass in den kommenden Jahren 20 weitere intermediates durch das Jasmine-Programm entsprechend vorbereitet werden.	I cannot tell you all the countries off the top of my head, but essentially, they are mostly the new accession countries, and we expect that in the coming years, a further 20 intermediaries will be prepared accordingly by the Jasmine programme.
Zur letzten Frage bitte ich um Verständnis, dass ich aus dem Kopf keine Antworten geben kann.	Regarding the last question, I must ask you to bear with me since I cannot give an off-the-cuff answer.
Wir werden das schriftlich nachreichen, wo im Detail die Gründe für Zugangsbeschränkungen liegen.	We will forward an answer in writing, stating in detail the reasons for restricting access.
Ich würde aber in hohem Ausmaß annehmen, dass es hier oft kommunikative Probleme gibt, dass es auch oftmals Hemmnisse gibt, weil viele der potenziellen Kreditnehmer Personen sind, die bei einer "normalen Bank" keinen Kredit mehr bekommen und daher da oft auch eine gewisse Schwellenangst oder Zurückhaltung gegeben ist, derartige Einrichtungen aufzusuchen.	I would certainly assume, however, that there are often communication problems here and that there are also often obstacles because many of the potential borrowers are people who can no longer obtain loans from a 'conventional' bank and there is therefore often also a certain amount of anxiety or reticence when it comes to approaching such facilities.
Wenn das der Fall ist und sich erhärtet und bestätigt, dann ist es aber auch notwendig, in diesem Bereich entsprechend aufklärerisch tätig zu werden.	If this is the case and it becomes ingrained and established, however, then it will be necessary to carry out information activities in this area as appropriate.
Betrifft: Zusätzliche Fördermaßnahmen für KMU im Fremdenverkehrsbereich	Subject: Additional support measures for SMEs under tourism policy
Der Fremdenverkehr verspürt wie alle anderen Wirtschaftszweige in zunehmendem Maße die Auswirkungen des weltweiten Wettbewerbs.	Tourism, like any other sector of the economy, is increasingly feeling the effects of world competition.
Damit die Europäische Union in diesem Bereich wettbewerbsfähig bleiben kann, hat sie sich im Vertrag von Lissabon das Ziel der Förderung der Wettbewerbsfähigkeit des Fremdenverkehrs und der Schaffung unternehmensfreundlicher Rahmenbedingungen gesetzt.	In order for the European Union to remain competitive in this sector, the EU has set itself the objective in the Lisbon Treaty of promoting the competitiveness of tourism and creating an environment favourable to business development.
Zu diesem Zweck wurden folgende Ziele festgelegt: Förderung der Innovation im Fremdenverkehr, Verbesserung der allgemeinen Qualität der Fremdenverkehrsdienstleistungen und Perfektionierung der beruflichen Fähigkeiten des Personals im Fremdenverkehr.	For this purpose, the following objectives have been adopted: promoting innovation in tourism, improving the overall quality of tourism services and perfecting the professional skills of personnel.
Die Unternehmen im Fremdenverkehrsbereich, häufig KMU, sind jedoch nicht immer in der Lage, diese Ziele durch eigene, nicht unterstützte Bemühungen zu erreichen.	However, businesses in the tourism sector - many of which are SMEs - are not always able to attain these objectives through their own unaided efforts.
Schuld daran sind mehrere Faktoren, etwa die begrenzten finanziellen Mittel, der Mangel an qualifiziertem Personal und die Unfähigkeit, sich rasch auf veränderte Bedingungen einzustellen. Daraus ergibt sich die Notwendigkeit zusätzlicher Finanzmittel.	This is due to several factors, such as limited financial resources, the lack of qualified workers and inability to respond quickly to change: hence the need for additional funding.
Inwieweit teilt die Kommission die Auffassung, dass es wünschenswert wäre, eine schlüssige Strategie und einen ausführlichen Aktionsplan mit besonderen Fördermaßnahmen für KMU und Finanzvereinbarungen vorzusehen, die dazu beitragen könnten, die Schwierigkeiten, mit denen dieser Sektor zu kämpfen hat, zu überwinden?	Does not the Commission consider that it would be desirable to devise a coherent strategy and a detailed action plan comprising specific support measures for SMEs and financing arrangements which could help to overcome the difficulties encountered by the sector?
