Herr Präsident, der Thomas-Bericht hat eine etwas eigentümliche Entwicklung genommen.	Mr President, the Thomas report has taken a somewhat strange turn.
Es gab, nachdem er im Agrarausschuß vorgelegt wurde, glaube ich, ungefähr 200-220 Änderungsanträge.	After it was presented in the Committee on Agriculture some 200 to 220 amendments were tabled.
Daraufhin hat es einen Kompromiß gegeben, diese Änderungsanträge zusammenzufassen oder zum Teil fallenzulassen.	After that there was a compromise to group these amendments or to withdraw some of them.
Was dann dabei herausgekommen ist, ist nicht sonderlich verbessert.	What emerged from that is not much of an improvement.
Wir empfinden es derart als Stückwerk, daß wir uns entschlossen haben, einige Änderungsanträge einzubringen, um vor allen Dingen, was die wirtschaftliche Nutzung betrifft, hervorzuheben, daß es um eine natürliche und nachhaltige Entwicklung in der Waldwirtschaft gehen muß, und weil wir sicherstellen wollen, daß es keine gemeinsame Marktordnung im Sinne einer gemeinsamen Agrarordnung für Holz gibt.	We think it is so patchy that we decided to table a few amendments, especially on the economic utilization side to stress that the forestry sector must have a natural and sustainable development and to ensure that there would be no common market organisation similar to a common agriculture regulation for wood.
Das hat im Agrarbereich erheblich zu den schlechten Entwicklungen beigetragen.	In agriculture that has contributed considerably to the destructive developments.
Wir möchten stattdessen, daß sich die EU darauf konzentriert und beschränkt, einen Markt zu sichern, der von außen nicht gedumpt wird.	What we want instead is for the EU in a concentrated and limited fashion to secure a market immune to dumping from outside.
Wir brauchen eine Zertifizierung, in der ökologische Kriterien im internationalen Rahmen festgelegt und dann auch von der EU anerkannt werden, damit sich eine Holzwirtschaft in der EU entwickeln kann, bei der Holzwerte auch tatsächlich ökonomisch abgesichert sind.	We need certification in which ecological criteria are agreed on an international basis and then recognised by the EU so that a wood industry can develop in the EU where the value of wood is economically anchored.
Bislang war die Entwicklung im Holzbereich so katastrophal niedrig im Preis, daß eine Aufforstung aus diesen Geldern nicht möglich war und hier wiederholt Zuschüsse zur Aufforstung von der EU gegeben wurden, die aber natürlich in anderen Ländern nicht gegeben werden können.	For a long time the price development in the wood sector was so disastrously low that re-afforestation could not be financed by it and repeated subsidies for re-afforestation were given by the EU which were not of course given in other countries.
Wir können eine katastrophale Preispolitik aus der EU nicht nach außen transportieren, weil, wie schon festgestellt wurde, auch die Wälder, vor allen Dingen die Regenwälder, natürlich in Mitleidenschaft gezogen werden.	We cannot transport a disastrous EU price policy to the outside because as we have already seen forests, and rain forests in particular, would be dragged down in its wake.
Wir brauchen den Wald insgesamt zum Überleben.	We need woods in general to survive.
Und von daher ist die Beschäftigung der EU mit dem Thema in internationalem Maßstab notwendig, ohne nun ein Regelwerk innerhalb der EU in Kraft zu setzen.	And that is why the EU must deal with this subject matter in an international context and not set up a regulation solely for within the EU.
