Herr Präsident!	Mr President.
Liebe Berichterstatter, Herr Lange, Frau Hautala, ich möchte Sie sehr herzlich beglückwünschen zu Ihrem Bericht.	I should like to congratulate Mr Lange and Mrs Hautala on their reports.
Ich bin zwar keineswegs überrascht, daß heute eine große Zahl von Abgeordneten hier das große Lied der Freude verkündet, aber ich möchte da nicht so uneingeschränkt einstimmen, weil ich glaube, daß dieses Verfahren institutionell kein Lichtblick war.	I am not at all surprised to see so many Members jumping for joy today, but I do not wish to mark my agreement in such unqualified terms, because from an institutional point of view, I do not believe that this procedure was such a breakthrough.
David Bowe hat gerade ein Stichwort gegeben, und deswegen muß ich meine Rede vollkommen neu gestalten.	Mr Bowe has just given me a cue, which means that I will have to restructure my whole speech.
Du hast gerade gesagt: Die Ölindustrie hat heute schon bekanntgegeben, daß sie längst die Treibstoffe hat, die wir für das Jahr 2000 bzw. 2005 fordern.	You just said that the oil industry has announced today that it has had the fuels we are demanding for the years 2000 and 2005 for a long time.
Genau das ist der Punkt.	This is the whole point.
Viele vergessen leider immer wieder eines: Wenn die Abgase eines Autos sauber sein sollen, dann muß das Auto mit qualitativ hochwertigem Treibstoff fahren, und genau das ist uns im Vermittlungsausschuß nicht gelungen, denn dieser Vermittlungsausschuß stand unter Zeitdruck.	Unfortunately, people forget all too often that, if a car is to produce clean exhaust emissions, it has to run on high-quality fuel. That is exactly what we did not manage to achieve in the Conciliation Committee, because the committee was under pressure of time.
Am 28. Juni sollte alles gelaufen sein, das hatte etwas mit der Ratspräsidentschaft zu tun, und wir wollten sicher einen Beitrag leisten, um eine Ratspräsidentschaft etwas auszupolstern.	It should all have come under consideration on 28 June; it had something to do with the Council presidency, and of course we were happy to do our bit to bolster a Council presidency.
Das war schade, denn da hätten wir die Bereitschaft zum Streit mit denjenigen in der Kommission, die für Treibstoffe zuständig sind, zeigen sollen.	It was a shame, because it would have allowed us to show those responsible for fuels in the Commission that we were prepared to take them on.
Wir hätten auch den Lobbyisten zeigen sollen, daß das, was sie damals als vollkommen unmöglich angesehen haben - ich habe das damals hier in der Lesung auch dokumentiert -, möglich ist.	We would have been able to show the lobbyists that something which they had thought was completely impossible at the time - I put that on record at the reading here - was actually possible.
Das haben Sie ja unmittelbar nach Ende des Vermittlungsausschusses zugegeben.	You admitted as much as soon as the meeting of the Conciliation Committee was over.
Da haben wir Parlamentarier alle Schwäche gezeigt.	We in Parliament all showed weakness in this regard.
Das darf nicht noch einmal vorkommen.	That should not happen again.
Die Ölindustrie hat Schwierigkeiten, aber nicht wegen der europäischen Normen, sondern wegen der Strukturprobleme und vieler anderer Dinge.	The oil industry is experiencing difficulties, not because of European standards, but because of structural problems and many other factors.
Ich glaube aber, daß wir einen Schritt weitergekommen sind.	I do believe, however, that we have taken a step forward.
Es gibt 200 Millionen Fahrzeuge in Europa, und meine Fraktion ist ausdrücklich für Mobilität im Gegensatz zu den Kollegen bei den Grünen.	There are 200 million motor vehicles in Europe, and my group is firmly in favour of mobility, in contrast to the Green Members.
Diese würden ja am liebsten die Mobilität abschaffen.	They would prefer to abolish mobility.
Das ist die Voraussetzung für diesen Binnenmarkt: Mobilität von Menschen, Gütern, Waren und Dienstleistungen.	That is the prerequisite of this single market: mobility of persons, goods, products and services.
Und weil wir dies wollen, brauchen wir qualitativ hochwertige Treibstoffe, um saubere Motoren und saubere Abgaswerte zu haben.	And because this is what we want, we need highquality fuels, so that we have clean engines and clean exhaust emissions.
Manches ist besser geworden.	There have been some improvements.
Die on-board -Diagnostik hat keineswegs, wie befürchtet, zu einer elektronisch blockierten Motorhaube geführt, an der unsere mittelständischen Unternehmen keine Reparatur mehr vornehmen durften.	On-board diagnostic systems have in no way resulted in car bonnets being locked electronically, as we had feared. This would have prevented medium-sized businesses from carrying out repairs.
Ich freue mich, daß die Testverfahren besser geworden sind.	I am glad that the testing procedures have been improved.
Ich freue mich, daß der Mittelstand in vielen Bereichen Zutritt bekommt.	I am glad that medium-sized businesses will, in many cases, have access to this market.
Alles in allem ist die Schlacht gewonnen, aber in Zukunft müssen wir gegenüber denen, die in diesem europäischen Konzert zusammenarbeiten, noch mehr Streitbereitschaft zeigen, um noch erfolgreicher für unsere Kinder zu sein, denn die brauchen eine gesunde Umwelt.	All in all, the battle is won, but in the future we must show a greater willingness to take on those who are working with us on this European project, so that we can be even more successful for the sake of our children, because they need a healthy environment.
