Herr Präsident!	.
Darf ich – in diesem Fall wirklich von Herzen gemeint – den beiden Berichterstattern gratulieren, nicht nur zu dem jetzt vorliegenden Bericht, sondern zu ihrem anhaltenden Engagement für das Verfassungsthema auch in Zeiten, als das wenig Konjunktur hatte.	Mr President, on this occasion I really am speaking from the heart when I say that both rapporteurs are to be congratulated, not only on the report that is now before us, but also on their sustained commitment to the idea of a constitution, even at times when there was little support for it.
Ich hoffe, dass diese Zeiten jetzt vorbei sind.	I hope that that state of affairs is now a thing of the past.
Ich durfte die Stellungnahme des Rechtsausschusses verfassen. Der Tenor der Stellungnahme passt sehr gut zu dem jetzt vorliegenden Berichtsentwurf des federführenden Ausschusses.	I have had the honour of drafting the Legal Affairs Committee’s opinion, which is very much in line with the content of this draft report from the lead Committee.
Uns war es, speziell aus der Sichtweise des Rechtsausschusses, ein Anliegen, uns nicht frühzeitig von dem vorliegenden Verfassungsentwurf zu verabschieden.	The Legal Affairs Committee’s particular concern has been that we should not prematurely abandon the present draft constitution.
Bei den Themenbereichen, die uns sehr wichtig sind, wie Stellung und Kompetenzen des Europäischen Gerichtshofes, Neuordnung des Legislativverfahrens und des Komitologieverfahrens, Zusammenarbeit im justiziellen Bereich, können wir einfach nicht sehen, dass wir durch einen kompletten Neubeginn wirklich Verbesserungen erreichen können – ganz im Gegenteil!	In the subject areas that really matter to us, such as the composition and powers of the European Court of Justice, the reordering of the lawmaking process and comitology procedure, and judicial cooperation, we simply do not see that a completely new start would enable us to make any real improvements; indeed, it is more likely to have the opposite effect.
Wenn ich heute leider von der österreichischen Ratspräsidentschaft Kritik an der Kompetenz des Europäischen Gerichtshofes hören musste und es jetzt nicht nur von der österreichischen Präsidentschaft Kritik gibt, dann denke ich, dass die Lösungen, die hier im Verfassungsentwurf gefunden worden sind, doch sehr gut sind.	While I do regret having had to listen today to the Austrian Presidency’s critical views of the powers of the European Court of Justice and the fact that such criticism comes now not only from that source, it does lead me to think that the solutions provided in this draft constitution really are very good after all.
Aus rechtlicher Sicht verwahren wir uns natürlich auch gegen eine leichtfertige Teilung des Verfassungsentwurfs.	We have good legal reasons for objecting to any hasty division of the draft Constitution.
Im Teil I haben wir sehr viele Grundsätze. Wir alle wissen, dass diese Grundsätze nur mit den Ausnahmen, die in Teil III enthalten sind, politisch akzeptabel waren.	Part I contains a very large number of fundamental principles, and we all know that it was only the derogations contained in Part III that made them politically acceptable.
Auch aus rechtlicher Sicht müssten wir leider Teil I und Teil III in verbundener Weise sehen, und ohne grundsätzliche Überarbeitung des Teils III werden wir hier keine neue Struktur erreichen können.	We also, albeit with some regret, have good legal reasons for regarding Parts I and III as connected, and no new structure will be possible without fundamental reworking of Part III.
Darf ich abschließend noch meine große Enttäuschung über das Schreiben dieser drei Präsidenten nationaler Parlamente zum Ausdruck bringen.	I will conclude by expressing my grave disappointment with the letter from the three presidents of national parliaments.
Wenn ich mich daran erinnere – und ich sehe ja viele Mitglieder des früheren Konvents hier in diesem Saal –, wie engagiert die nationalen Abgeordneten am Verfassungsentwurf mitgearbeitet haben, welche wichtigen Vorschläge sie gemacht haben, dann kann ich dieses uns vorliegende Schreiben der drei Präsidenten einfach nicht als letzte Antwort in dieser Frage ansehen.	The sight of many former members of the Convention in this Chamber reminds me of the dedication with which members of the national parliaments worked with us on the draft constitution, of the important proposals they had to make, and, in view of that, I simply cannot regard this letter from the three presidents as being the last word on the subject.
