Herr Präsident! Transparenz: Dieses Wort hat bereits eine bemerkenswerte Karriere hinter sich.	Mr President, the word 'transparency' already has a noteworthy career behind it.
Wenn Sie heute in moderne Suchmaschinen hineingehen, finden Sie es in weniger als zehn Minuten 223 000 Mal.	If, today, you go into modern search engines, you find 223 000 examples of its German equivalent in less than ten minutes.
Die Zeit ist vorbei, da man Transparenz mit Transpiration verwechselt hat.	No one would confuse the words 'transparent' and 'perspirant'.
Das eine ist unter den Achseln, das andere ist das, was man unter dem Hemd sieht.	'Transparent' is what your shirt may be, while 'perspiration' is what is sometimes seen under the arms.
Wenn man nach Transparenz und Europäisches Parlament sucht, dann kommen Sie nur auf genau 908 Treffer, und wenn Sie die Leute oben und draußen fragen, was sie mit Transparenz verbinden, ist es das, was wir weiterhin nicht transparent machen wollen.	If you search for 'transparency' and 'European Parliament' you find just 908 examples and, if you ask people out and about what they associate with 'transparency', they say it is what we still do not want to make transparent.
These: Transparenz, die nicht auch die Betroffenen zum transpirieren bringt, ist nichts wert!	Moral: transparency which does not also bring the right people out in a sweat is worthless.
Wenn in diesem Bericht jetzt davon die Rede ist, dass es sich um einen Meilenstein auf dem Weg zu mehr Transparenz in der Europäischen Union handle, würde ich dem widersprechen.	If this report now talks in terms of a milestone's having been reached on the road to more transparency in the European Union, that is something I would contest.
Es ist nicht nichts, aber es ist nicht viel mehr als ein Kieselstein.	It is more than just nothing, but it is not much more than a pebble.
Was wir wirklich brauchen, ist gelebte Transparenz.	What we really need is transparency that is actually experienced.
Eine europäische Transparenzinitiative - ich habe hier schon mehrfach davon gesprochen - befindet sich im Aufbau.	A European transparency initiative - of the kind I have talked about on a number of occasions in Parliament - is in the process of being developed.
Sie geht über die Selbstbeweihräucherungsinstanzen der Europäischen Institutionen hinaus und hat zum Ziel, möglichst alle Dokumente - auch die, für die sich die Leute wirklich interessieren -, der Öffentlichkeit zugänglich zu machen.	It goes beyond the self-congratulation syndrome of the European institutions and is aimed at making, if at all possible, all documents - even those in which people are really interested - publicly accessible.
Wir brauchen auf der Basis der Verordnung 201/204 dringend diese Überprüfung, von der schon die Rede war.	On the basis of Regulation 201/204, we urgently need this examination that has already been talked about.
Ich denke, das Ziel muss sein, wenn es um Glaubwürdigkeit geht und nicht um Heuchelei, dass wir alles tun, um bei uns in den hoffentlich zukünftigen Vereinigten Staaten von Europa den freedom of information act nachzubilden.	If we are concerned to be credible rather than hypocritical, I think our aim must be to do everything we can to copy the freedom of information act in what will hopefully be a future United States of Europe.
Da können wir auch von Schweden noch etwas lernen.	We can also learn more from Sweden in this area.
Alle gemeinsam wissen wir, es gibt keine Demokratie ohne Transparenz!	We all of us know that there is no democracy without transparency.
