im Namen der GUE/NGL-Fraktion. - Herr Präsident!	Mr President, many thanks to Mr Gahler for his report.
Vielen Dank an Herrn Gahler für den Bericht. Es wird deutlich und wurde ja auch hier deutlich, dass es großes Interesse an den natürlichen Ressourcen der Arktis gibt.	It is clear, also from this report, that there is enormous interest in the natural resources of the Arctic region.
Als Folge des Klimawandels kann in der Region Öl und Gas und anderes zunehmend besser gefördert werden.	As a result of climate change, oil and gas and other resources can be extracted increasingly easily.
Die bessere Nutzung von Schifffahrtsrouten wurde ja bereits angesprochen.	The issue of making better use of shipping routes has already been discussed.
Umweltverschmutzung in der Region wird eine logische Konsequenz sein.	The logical consequence of this is that pollution will increase in the region.
Die industrielle Entwicklung, insbesondere durch Öl- und Gasausbeutung, die Ausweitung des kommerziellen Fischfangs, die stärkere Beschiffung - all das wird zwangsläufig zu einer Störung, vielleicht sogar Zerstörung des hochsensiblen Ökosystems führen - mit verheerenden Folgen.	Industrial development - in particular, through the extraction of oil and gas, the expansion of commercial fishing and increased shipping traffic - will all necessarily lead to the disturbance, or perhaps even destruction, of this highly sensitive ecosystem, with devastating consequences.
Leider finden wir in dem Bericht keine wirkungsvollen Strategien gegen diese Gefahren, denn man bleibt doch recht allgemein.	Unfortunately, this report deals in generalities and does not contain any effective strategies for combating these dangers.
Die gestiegene geostrategische Bedeutung der Arktis hat nicht nur die EU anerkannt - und darüber wurde hier nicht gesprochen.	A point that is not mentioned is the fact that the EU is not alone in recognising the increased geostrategic significance of the Arctic.
Die Anrainerstaaten Russland und die NATO-Staaten USA, Kanada, Dänemark und Norwegen haben bereits mit einer Militarisierung der Arktisregion begonnen und wollen ihre Interessen dort schützen.	The bordering states of Russia and NATO members USA, Canada, Denmark and Norway have already begun militarising the Arctic region and intend to protect their interests there.
Der Klimawandel hat zu dieser Situation in der Arktis geführt.	Climate change has led to this situation in the Arctic.
Wir müssen sein katastrophales Fortschreiten verhindern, was nur über eine schnelle Energiewende hin zu erneuerbaren Energien führen kann.	We need to prevent the catastrophic progress of this change, something that can only be achieved through a rapid changeover to renewable energy sources.
Da geht diese Strategie hier doch in eine völlig andere Richtung.	However, this strategy takes a diametrically opposite approach.
Wir, die GUE/NGL, fordern, dass die Arktis nicht zum nächsten geopolitischen Hotspot werden darf.	We, the Confederal Group of the European United Left - Nordic Green Left, demand that the Arctic should not be allowed to become the next geopolitical hotspot.
Wir fordern, wie auch zahlreiche Umweltorganisationen, ein Moratorium für neue Projekte zur Erdölförderung in der Arktis.	In common with numerous environmental organisations, we are calling for a moratorium on new oil extraction projects in the Arctic.
Es sollte zum Abschluss eines Vertrags kommen - ähnlich dem des Antarktis-Vertrags - der den Abbau von Bodenschätzen in der Region untersagt.	A treaty needs to be agreed - similar to the Treaty on the Antarctic - that prohibits the extraction of mineral resources in the region.
Nicht zuletzt rufen wir zu einer sofortigen Demilitarisierung der Region auf, und damit zur Etablierung der Arktis als entmilitarisierte Zone.	Last but not least, we are calling for the immediate demilitarisation of the region and therefore for the establishment of the Arctic as a demilitarised zone.
Da meine Fraktion und ich dem Ergebnis des vorgelegten Initiativberichts nicht zustimmen können, hat die GUE/NGL einen Alternativbericht eingereicht.	Because my group and I are unable to support the results of the own-initiative report presented here, the GUE/NGL has submitted an alternative report.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der "blauen Karte" zu beantworten (Artikel 149 Absatz 8 GO).)	(The speaker agreed to take a blue card question under Rule 149(8))
