Herr Präsident! Herr Ministerpräsident, lassen Sie sich nicht reduzieren auf Ihre Rolle im Balkan!	- Mr President, Prime Minister, do not be reduced to your role in the Balkans.
Bleiben Sie eine europäische Präsidentschaft!	Continue to be a European Presidency!
Dennoch will ich mit dem Kleinen anfangen, und ich hoffe, dass auch mein Land Österreich eine guten Beitrag zu Ihrer Präsidentschaft leistet, indem es die noch offenen Probleme, was die slowenische Minderheit in Österreich betrifft, löst, und dass die slowenische Minderheit jetzt endlich zu ihrem guten Recht kommt.	I shall begin, however, with small matters, and I hope that my country, Austria, will also make an effective contribution to your Presidency by solving the outstanding problems concerning the Slovenian minority in Austria and that the Slovenian minority will now finally come into its own.
Als Berichterstatter für Kroatien hoffe ich, dass Kroatien während Ihrer Präsidentschaft große Fortschritte machen kann.	As rapporteur for Croatia, I do hope that Croatia will be able to make great progress during your Presidency.
Dazu müssen Sie etwas beitragen, und dazu muss Kroatien etwas beitragen.	You must contribute something to this, as must Croatia.
Von Ihnen erwarte ich, dass Sie auch unter Ihrer Präsidentschaft das Abkommen, das Sie mit Premierminister Sanader geschlossen haben, umsetzen und dass es dann zu einer Lösung der strittigen Grenzfragen durch eine Beurteilung durch Dritte kommt.	From you I expect that during your Presidency, you will implement the Treaty that you concluded with Prime Minister Sanader and that a solution will then be found to the disputed borders through appraisal by a third party.
Von Kroatien erwarte ich verstärkte Anstrengungen und, was die ökologische Fischereizone betrifft, erwarte ich das Einhalten des Versprechens, diese Zone nicht auf Kroatien und Italien auszudehnen und anzuwenden.	I expect greater efforts from Croatia and, as regards the ecological fishing zone, I expect the promise to be kept not to extend and apply this zone to Croatia and Italy.
Das größte Problem ist sicherlich das Kosovo-Problem, und ich bin der Meinung, dass Sie den richtigen Weg gehen.	The greatest problem is certainly that of Kosovo and I am of the opinion that you are going down the right path.
Sie gehen mit Bedacht, Sie gehen ruhig vor, aber zielgerichtet.	You are acting with caution, calmly, but purposefully.
Das ist die Lösung, die wir im Kosovo anstreben müssen, denn ein Zusammenleben des Kosovo innerhalb Serbiens - seien wir ehrlich - ist nicht möglich und nicht sinnvoll, weder für den Kosovo noch für Serbien.	This is the solution to which we aspire in Kosovo because, let's be honest, it is not possible and not reasonable - either for Kosovo or for Serbia - for Kosovo to have a shared existence within Serbia.
Das heißt aber nicht, dass wir die Bedenken Serbiens nicht teilen und nicht verstehen können, dass Serbien hier große Probleme hat.	This does not mean, however, that we do not share Serbia's concern and cannot understand why Serbia has great problems here.
Aber eines muss man auch ganz klar an die Adresse Serbiens sagen, insbesondere an Premierminister Koštunica: Wir glauben, dass die Zukunft Serbiens - eines demokratischen Serbiens, eines Serbiens, das auch mit dem ICTY zusammenarbeitet - in Europa liegt!	However, one thing should also be stated very clearly for Serbia's ears, specifically to Prime Minister Koštunica: we believe that the future of Serbia, of a democratic Serbia, a Serbia that also cooperates with the ICTY, lies in Europe!
Wenn Herr Koštunica glaubt, Serbiens Zukunft liegt in Russland, ist das sein Problem, aber ich glaube nicht, dass die Bevölkerung Serbiens dem zustimmt.	If Mr Koštunica believes that Serbia's future lies in Russia, that's his problem, but I do not believe that the population of Serbia would agree with him.
Daher sollte auch unter Ihrer Präsidentschaft ein klares Signal an Serbien ausgehen: Ihr müsst wählen zwischen Russland und der Europäischen Union, was diese Frage betrifft.	A clear signal should therefore be sent to Serbia under your Presidency: you must choose between Russia and the European Union on this issue.
Wir machen ein ehrliches Angebot an die gesamte Region, insbesondere auch an Serbien, den Weg in die Europäische Union in angemessener Zeit weiterzugehen.	We are making a straightforward offer to the entire region, and specifically to Serbia, to continue on the path towards the European Union in a reasonable period of time.
Das ist eine große Aufgabe, die Sie zu erfüllen haben, und ich bin sicher, Sie werden sie gut erfüllen!	This is a massive task to perform and I'm sure you will perform it well!
(Beifall)	(Applause)
