Mitglied der Kommission. - Herr Abgeordneter, ich habe Ihre Frage sehr genau gelesen.	Mr Martin, I did read your question very carefully.
Deswegen habe ich Ihnen auch eine sehr genaue Antwort gegeben auf Basis der Regeln, die wir im Bereich der Regionalpolitik haben.	That is why I also gave you a very specific answer based on the rules that we have in the field of regional policy.
Das Wesen dieser Regeln besteht darin, dass es mit den Mitgliedsländern Vereinbarungen gibt. Diese Vereinbarungen können weder einseitig von der Kommission noch einseitig von den Regionen abgeändert werden.	The essence of these rules consists of there being agreements in the Member States, and these cannot be unilaterally altered by either the Commission or the regions.
Ich persönlich würde mir wünschen und mich freuen, wenn die heute schon verfügbaren Mittel genutzt werden.	Personally, I would want the resources already in place to be used for this, and I would be pleased if that were the case.
Ich gehe hier sozusagen wie eine lebende tibetanische Gebetsmühle von Konferenz zu Konferenz, von Mitgliedsland zu Mitgliedsland und werbe dafür, dass diese Mittel, die heute schon zur Verfügung stehen, genutzt werden.	I find myself going from conference to conference, from Member State to Member State, like a living Tibetan prayer wheel, pleading the case for these resources - which are already in place - to be used.
Da der Ausbau der erneuerbaren Energien ja einer der Schwerpunkte der Europa 2020-Strategie ist, gehe ich davon aus, dass es in der nächsten Periode definitiv ein höheres Budget für diesen Bereich geben wird, auch aus dem Titel der Regionalpolitik.	As the expansion of renewable energies does indeed represent one of the focal points of the Europe 2020 strategy, I assume that, in the forthcoming period, there will definitively be a higher budget for this area, including from the regional policy heading.
Außerdem wird es sicherlich auch im Zusammenwirken mit dem Kollegen Oettinger hier Investitionen im Infrastrukturbereich, was die transeuropäischen Netze im Bereich der Energieversorgung anbelangt, geben.	Moreover, there will certainly be investments in this connection, in collaboration with Mr Oettinger, in the field of infrastructure when it comes to trans-European networks in the field of energy provision.
Wenn heute Regionen zusätzlich zu den schon verfügbaren Mitteln Mittel umwidmen wollen, dann sind wir sicherlich gerade in diesem Bereich sehr offen, diese Möglichkeit zu eröffnen bzw. jedenfalls hier ernsthafte Gespräche zu führen.	If, today, regions are seeking to re-dedicate resources in addition to the resources already available, we are certainly very open, in this area, to the idea of opening up this opportunity or, in any case, to holding serious talks in this regard.
Aber nochmals, wir können als Kommission nicht einseitig diese Vereinbarungen abändern.	Once again, however, we in the Commission cannot unilaterally alter these agreements.
Betrifft: Verwirklichung der Ziele bei den Strukturfondsausgaben	Subject: Fulfilment of the objectives of structural funds payments
Ende Juni 2011 wird die Kommission ihren Vorschlag für den nächsten siebenjährigen Finanzrahmen für die Jahre 2014-2020 vorlegen.	At the end of June 2011, the Commission will present its proposal for the next 7-year budgetary framework (2014-2020).
Im Fall der Regionalpolitik der EU gab es bei den einzelnen Programmen erhebliche Probleme mit der Aufnahmekapazität.	In the case of EU regional policy, there have been substantial problems with absorption capacity under the individual programmes.
Darüber hinaus haben mehrere Programme ihre Zielvorgaben nicht erreicht.	Several programmes have also failed to achieve their objectives.
Wie gedenkt die Kommission in der kommenden Haushaltsperiode die Absorptionskapazität für den jeweiligen Mitgliedstaat als Kriterium für die Zuweisung von Mitteln aus den Strukturfonds einzubeziehen?	How does the Commission intend to include the absorption capacity of each Member State as a criterion for the allocation of structural fund appropriations in the coming budgetary period?
Stimmt die Kommission dem Gedanken zu, dass man die Ausgaben einer erneuten Prüfung unterziehen sollte, wenn eine Region jahrelang Mittel aus den Strukturfonds erhalten hat, ohne dass dies zur Erfüllung der gesetzten Ziele geführt hat?	Does the Commission agree that payments should be reviewed if a region has been receiving structural funding for years without this resulting in it meeting the targets set?
Wird die Kommission einen Verfallsmechanismus prüfen, mit dem eine letzte Frist für die Zuweisung von Mitteln aus den Strukturfonds an eine bestimmte Empfängerregion festgesetzt wird?	Will the Commission consider a 'sunset mechanism' that sets a closing date on the allocation of structural fund appropriations to individual recipient regions?
Teilt die Kommission die Auffassung, dass ein solcher Mechanismus dazu beitragen wird, eine stärker ergebnisorientierte Kohäsionspolitik zu schaffen?	Does the Commission agree that such a mechanism would help create a more results-oriented cohesion policy?
Im Jahresbericht des Rechnungshofs für 2009 wurde die höchste Fehlerquote bei den Ausgaben im Rahmen der Kohäsionspolitik der EU festgestellt.	The Court of Auditors Annual Report for 2009 found the highest error rate to be in payments under the EU's cohesion policy.
Dasselbe gilt auch für die vorangegangenen Jahre.	This was the same finding as in previous years.
Wie gedenkt die Kommission diesem Zustand abzuhelfen?	How does the Commission intend to remedy this situation?
