Herr Präsident! Zu Beginn möchte ich mich ganz herzlich bei der Berichterstatterin bedanken.	Mr President, I would like to begin by thanking the rapporteur.
Es war ja ein langer und auch teilweise mühevoller Weg, aber wir haben jetzt einen Kompromiss gefunden, der das gesamte Haus widerspiegelt, die Meinungen widerspiegelt, und wir sollten in der Abstimmung diese Woche alles daran setzen, dass der Kompromiss als solcher nicht mehr in Frage gestellt wird, sondern dass es nur noch redaktionelle Änderungen gibt.	The road has been long and, in parts, an arduous one, but we have now found a compromise that reflects the whole House, that reflects opinion, and we should do our best to ensure that, in this week's vote, the compromise as such is no longer challenged, but that there are only editorial changes to be made.
Wir alle bejahen, dass es zukünftig zwischen den verschiedenen Handelsformen zu Wettbewerb kommt, Wettbewerb zwischen den Börsen und den Banken.	We all accept that in future there will be competition between the different trading platforms, competition between stock markets and banks.
Auf der anderen Seite dürfen aber hier bestimmte Kriterien nicht außer Acht gelassen werden, z. B. dass im Wettbewerb die gleichen Bedingungen für die Banken herrschen wie für die Börsenplätze.	On the other hand, we cannot disregard specific criteria, for example, that in competition the same conditions apply to banks as do to markets.
Das heißt, wenn ich Börsenplätze als Referenzkurse heranführe, als aussagekräftige Kurse, dann darf dieses nicht dazu führen, dass zukünftig Liquidität abgesogen wird und die Börsen irgendwann gar nicht mehr aussagefähig sind.	What that means is that, if I take markets as sources of prices - of meaningful market prices - then this cannot be allowed to lead to liquidity being damaged in future and markets no longer being meaningful.
Was die Transparenz betrifft, müssen wir dafür sorgen, dass der Börsenplatz, ein Platz, wo die Preise entstehen, für alle transparent ist und jeder nachvollziehen kann, wie sich die Preise hier entwickeln.	As for transparency, we must ensure that the market is transparent for all as a place where prices emerge, and that everyone can understand how prices evolve there.
Angebot und Nachfrage müssen erhalten bleiben.	Supply and demand must be maintained.
Das haben wir hier - auch im Rahmen der vorbörslichen Transparenz - in einem langwierigen Diskussionsverfahren erreicht.	This is what our laborious discussions achieved, and also for pre-trade transparency.
Wir haben einige Punkte an CESR gegeben, und wir werden jetzt aufmerksam zuhören, welche Ratschläge CESR uns geben wird.	We gave some points to the Committee of European Securities Regulators (CESR) and we will listen attentively to what advice the CESR gives us.
Für mich ist entscheidend, dass es hier bei dieser Diskussion keine Sieger und keine Verlierer gibt.	I see it as crucial that there are no winners and no losers in this discussion.
Es hat weder die City of London noch ein anderer Finanzplatz in Europa gewonnen.	Neither the City of London nor any other financial centre in Europe has won.
Wir können auch nicht sagen, dass die Börsen gewonnen hätten oder die großen Investmenthäuser, sondern alle müssen sich zukünftig in diesem Markt zusammenfinden, um dann mit dem besten Angebot um den Kunden zu werben.	Also we cannot say that the markets or the investment houses should have won, but everyone should be in this market together in the future, in order then to attract customers with the best offer.
Aus deutscher Sicht ist für mich noch wichtig, dass wir bei der Vertriebsstruktur allgemein die nationalen Gegebenheiten beachten.	From a German point of view it is also important for me that the market structure should take national factors into account.
Deshalb bitte ich auch, dass die zwei Änderungsanträge, die von der EVP-Fraktion eingereicht wurden, ein breites Echo finden, damit die Kleinhändler in Deutschland geschützt bleiben.	I would, therefore, also ask that you give broad support to the two amendments tabled by the Group of the European People's Party (Christian Democrats) and European Democrats so that small dealers in Germany are still protected.
Besten Dank, Herr Präsident!	Thank you, Mr President.
