Vizepräsident der Kommission.	Vice-President of the Commission.
Das ist ein Thema, das mich besonders beschäftigt.	That is a subject that is of particular concern to me.
Die europäische Volkswirtschaft hat nicht die Dynamik, die sie haben könnte, sie schafft nicht so viele Arbeitsplätze, wie sie schaffen könnte, und das vor allen Dingen deshalb, weil wir nicht genug Unternehmen haben.	The European economy is not as dynamic as it could be, it is not creating as many jobs as it could, and the main reason is that we do not have enough enterprises.
Wir haben deshalb nicht genug Unternehmen, weil wir in Europa nicht genug Menschen haben, die bereit sind, unternehmerische Initiative zu ergreifen und unternehmerisches Risiko zu tragen.	We do not have enough enterprises because we in Europe do not have enough people who are prepared to take entrepreneurial initiatives and to carry entrepreneurial risk.
Deshalb ist die wichtigste Antwort auf Ihre Frage die, dass in unseren Gesellschaften selbst das Verständnis dafür wachsen muss, dass es die Unternehmen sind, die die Arbeitsplätze schaffen, dass es Unternehmer geben muss, die den Mut haben, das zu tun, und dass man unternehmerisches Handeln als sozial verantwortliches, gesellschaftlich nützliches Handeln akzeptieren muss.	The most important answer to your question is therefore that we need a growing understanding in our societies themselves that it is enterprises that create jobs, that there have to be entrepreneurs with the courage to do that, and that entrepreneurial activity has to be accepted as socially responsible, socially useful activity.
Also müssen wir für stärkere gesellschaftliche Akzeptanz von unternehmerischer Initiative sorgen.	We therefore need to work for greater social acceptance of entrepreneurial initiatives.
Dort hat die Kommission in den letzten zwei Jahren eine große Zahl von Initiativen entwickelt.	The Commission has developed a large number of initiatives there in the last two years.
Die Europäische Agenda für unternehmerische Initiative hat im vergangenen Jahr einen Fortschrittsbericht veröffentlicht, und Sie können daraus ersehen, dass wir die Mittel für die gemeinschaftlichen Finanzinstrumente für Unternehmen stark erhöht haben, dass wir den Anstoß gegeben haben, Mini-Companies zu gründen, die von Schülern und Studenten ins Leben gerufen werden, um unternehmerisches Handeln zu lernen, und wir haben die von den Euro-Infozentren verwaltete Datenbank zur Vermittlung von Geschäftspartnern.	Last year, the European Agenda for Entrepreneurship published a progress report, from which you can see that we have greatly increased the resources for the Community financial instruments for enterprises, that we have provided the stimulus for the formation of mini-companies by schoolchildren and students, so that they can learn entrepreneurial activity, and we have the database run by the Euro Information Centres to help find business partners.
Um Wachstum und Arbeitsplätze schaffen zu können, muss Europa für einen allgemeinen gesellschaftlichen Rahmen sorgen, der unternehmerische Initiative begünstigt.	If Europe is to create growth and employment, it must provide a general social framework that encourages entrepreneurial initiative.
Da Denkweisen bereits früh im Leben geprägt werden, kann die Bildung wesentlich dazu beitragen, die unternehmerische Initiative erfolgreich zu fördern.	As mindsets are formed early in life, education can make an important contribution to successfully promoting entrepreneurship.
Auf der Grundlage der in den Mitgliedstaaten geleisteten Arbeit konnte die Kommission im Februar 2006 eine Mitteilung zur Förderung des Unternehmergeistes in Unterricht und Bildung annehmen.	On the basis of the work done in the Member States, the Commission was able to adopt a communication on promoting entrepreneurship in schools and universities in February 2006.
