Herr Präsident, Herr designierter Präsident Prodi, wir Sozialdemokratinnen sind enttäuscht.	Mr President, Mr President-designate Prodi, we Social Democrats are disappointed.
Trotz Ankündigungen ist es Ihnen nicht gelungen, mit dem neuen Team mehr Ausgewogenheit zwischen Männern und Frauen zu erzielen.	In spite of announcements, you have not succeeded in achieving a better balance between men and women in your new team.
Die EU-Kommission bleibt eine Männerdomäne.	The EU Commission remains a male domain.
Der Auftrag aus dem Amsterdamer Vertrag, allen Diskriminierungen entgegenzutreten, bleibt für Frauen wenigstens eine vage Hoffnung.	The mission conferred in the Treaty of Amsterdam, to oppose all forms of discrimination, is still, for women at least, just a vague hope.
Mögen wir die gleiche europäische Sprache sprechen, verstanden haben Sie uns nicht.	We may speak the same European language, but you have not in fact understood us.
Auf die Frage aus dem Ausschuß für die Rechte der Frau und Chancengleichheit nach dem gender mainstreaming hat ein Drittel Ihrer Kandidaten nicht geantwortet.	A third of your candidates did not answer the question from the Committee on Women' s Rights and Equal Opportunities about gender mainstreaming.
Sozialdemokratische Forderung war und bleibt - ich betone das noch mal: bleibt -, in Zukunft eine Kommissarin für Chancengleichheit mit einer Kompetenz für diese zu haben.	The Social Democrats' demand was and remains - again, I stress the word "remains" - to have in future an Equal Opportunities Commissioner with the power to implement equal opportunities.
Wir fordern, daß das Kollegium und Sie als Chef Ehrgeiz für gender mainstreaming entwickeln, einen Ehrgeiz, der zu meßbaren Entwicklungen und Verbesserungen führt.	We demand that the College and yourself as its head become ambitious about gender mainstreaming, with measurable developments and improvements as a result.
Frau Diamantopoulou, zu deren Portfolio neben Beschäftigung und sozialer Dimension auch die Chancengleichheit gehört, hat zwar großes Engagement gezeigt, aber, Herr Prodi, wie will sie handeln, wenn sie bereits von Ihnen im Vorfeld geknebelt wurde und der Kampf gegen Gewalt und die Nichtdiskriminierung in andere Hände gelegt wurden?	Mrs Diamantopoulou, whose portfolio includes equal opportunities alongside employment and the social dimension, has in fact shown a lot of commitment but, Mr Prodi, how will she react when she has been gagged by you in advance and when the struggle against violence, as well as the issue of non-discrimination, has been placed in other hands?
Sie sprechen von einer neuen Balance, einer neuen Partnerschaft, verlieren aber kein einziges Wort an die Frauen Europas, die ja schließlich die Hälfte der Bürger darstellen.	You speak of a new balance, a new partnership, but do not waste a single word on the women of Europe who, at the end of the day, do represent half of our citizens.
Wir wollen, daß Sie dafür sorgen, daß substantielle Verbesserungen beim Einkommen, beim Zugang zu Macht und Geld erzielt werden und daß Sie mit uns streiten gegen die alltägliche Diskriminierung von Frauen und gegen Gewalt.	We want you to take steps to ensure that substantial improvements in income and in access to power and money are achieved, and that you join us in our struggle against violence and against the everyday discrimination faced by women.
Die Idee der großen europäischen Familie ist ohne das Werk der Frauen unvorstellbar!	Without the input from women, the idea of the big European family is meaningless.
