amtierender Ratspräsident.	President-in-Office of the Council.
Bei dem Aktionsplan im Rahmen der europäischen Nachbarschaftspolitik handelt es sich um politische Dokumente, die Ausdruck einer politischen Einigung zwischen der Europäischen Union und den einzelnen Partnerländern über eine Agenda politischer, wirtschaftlicher und sektoraler Reformen sind und die zugleich kurz- und mittelfristige Prioritäten für Maßnahmen enthalten.	European Neighbourhood Policy (ENP) action plans consist of political documents that represent a political consensus between the European Union and the individual partner countries on an agenda of political, economic and sectoral reforms and contain both short- and medium-term priorities for action.
Sie werden vom Assoziations- oder Kooperationsrat zwischen der Europäischen Union und dem jeweiligen Partnerland angenommen.	They are adopted between the EU and the respective partner country by the Association or Cooperation Council.
Was die Partnerländer im Osten betrifft, so sind mit fünf der sechs betreffenden Länder Aktionspläne im Rahmen der europäischen Nachbarschaftspolitik abgeschlossen worden. Als erste wurden am 21. Februar 2005 der Aktionsplan mit der Ukraine und am 22. Februar 2005 der Aktionsplan mit der Republik Moldau angenommen.	ENP action plans have been concluded with five of the six partner countries in the East, the first being that with Ukraine on 21 February 2005 and that with Moldova on 22 February 2005.
Danach folgten Armenien, Aserbaidschan und Georgien, mit denen am 14. November 2006 einzelne Aktionspläne angenommen wurden.	These were followed by individual ENP action plans for Armenia, Azerbaijan and Georgia on 14 November 2006.
Mit Belarus ist kein solcher Aktionsplan angenommen worden, da die EU keine vertraglichen Beziehungen zu diesem Land unterhält.	No such action plan has been adopted with regard to Belarus, as the EU has no contractual relations with that country.
Belarus wird erst dann in den Genuss der umfassenden Vorteile der europäischen Nachbarschaftspolitik kommen, wenn es im Anschluss an freie und faire Wahlen eine demokratische Regierungsform eingeführt hat.	Belarus will not be able to enjoy the extensive benefits of the European Neighbourhood Policy until it introduces a democratic system following free, fair elections.
Mit den Partnerländern im Süden wurden folgende Aktionspläne im Rahmen der europäischen Nachbarschaftspolitik angenommen: Am 11. April 2005 mit Israel, am 4. Mai 2005 mit der Palästinensischen Behörde, am 2. Juni 2005 mit Jordanien, am 22. Juni 2005 mit Marokko, am 4. Juli 2005 mit Tunesien, am 19. Januar 2007 mit Libanon und am 6. März 2007 mit Ägypten.	The following ENP action plans have been adopted with regard to partner countries in the South: that with Israel on 11 April 2005, with the Palestinian Authority on 4 May 2005, with Jordan on 2 June 2005, with Morocco on 22 June 2005, with Tunisia on 4 July 2005, with Lebanon on 19 January 2007 and with Egypt on 6 March 2007.
Einen Aktionsplan mit Algerien gibt es noch nicht, für Libyen und Syrien sind keine Aktionspläne angenommen worden, da die EU keine vertraglichen Beziehungen zu diesen Ländern unterhält.	No action plan has been concluded with Algeria as yet, and no action plans have been adopted for Libya and Syria as the EU has no contractual relations with those countries.
Die Europäische Union wird für die Umsetzung der europäischen Nachbarschaftspolitik im Zeitraum 2007-2013 insgesamt 12 Milliarden Euro an EG-Mitteln zur Verfügung stellen, was einem realen Zuwachs von 32 % entspricht.	The EU will provide a total of EUR 12 billion in Community funds for the implementation of the European Neighbourhood Policy in the 2007-2013 period, representing an increase of 32% in real terms.
Im Anschluss an Beratungen mit den EU-Mitgliedstaaten hat die Kommission gemäß der Verordnung Nr. 1638/2006 vom 24. Oktober 2006 zur Festlegung allgemeiner Bestimmungen zur Schaffung eines europäischen Nachbarschafts- und Partnerschaftsinstruments die Aufteilung dieser Mittel beschlossen und Strategiepapiere und Richtprogramme angenommen, die Länder, Regionen und grenzübergreifende Programme für den Zeitraum 2007-2010 umfassen.	Following discussions with the EU Member States, and pursuant to Regulation No 1638/2006 of 24 October 2006 laying down general provisions establishing a European Neighbourhood and Partnership Instrument, the Commission decided on the financial breakdown and adopted strategy papers and indicative programmes covering countries, regions and cross-border programmes for the 2007-2010 period.
Was die Länderprogramme im Rahmen des Europäischen Nachbarschafts- und Partnerschaftsinstruments ENPI betrifft, so sehen die Mehrjahresbeträge für den Zeitraum 2007-2010 wie folgt aus: Für Algerien 220 Millionen Euro, für Armenien 98,4 Millionen Euro, für Aserbaidschan 92 Millionen Euro, für Belarus 20 Millionen Euro, für Ägypten 558 Millionen Euro, für Georgien 120,4 Millionen Euro, für Israel 8 Millionen Euro, für Jordanien 265 Millionen Euro, für Libanon 187 Millionen Euro, für Libyen 8 Millionen Euro, für die Republik Moldau 209,7 Millionen Euro, für Marokko 654 Millionen Euro, für die Palästinensische Behörde 632 Millionen Euro, für Syrien 130 Millionen Euro, für Tunesien 300 Millionen Euro und schließlich für die Ukraine 494 Millionen Euro.	The multiannual appropriations for the country programmes under the European Neighbourhood and Partnership Instrument, ENPI, for 2007-2010 are as follows: EUR 220 million for Algeria, EUR 98.4 million for Armenia, EUR 92 million for Azerbaijan, EUR 20 million for Belarus, EUR 558 million for Egypt, EUR 120.4 million for Georgia, EUR 8 million for Israel, EUR 265 million for Jordan, EUR 187 million for Lebanon, EUR 8 million for Libya, EUR 209.7 million for Moldova, EUR 654 million for Morocco, EUR 632 million for the Palestinian Authority, EUR 130 million for Syria, EUR 300 million for Tunisia and finally EUR 494 million for Ukraine.
Im Falle von Libyen und der Palästinensischen Behörde ist anzumerken, dass keine Strategiepapiere oder Richtprogramme angenommen worden sind, da eine mittelfristige Programmplanung nicht möglich ist. Bei den genannten Zuweisungen handelt es sich daher nur um Platzzahlen.	It should be remarked that no strategy papers or indicative programmes have been adopted for Libya and the Palestinian Authority, as medium-term programming is not possible in those cases, and therefore the appropriations stated are only position numbers.
