schriftlich. - Ich begrüße die Annahme des Entschließungsantrags zum Stockholmer Programm.	I welcome the adoption of the motion for a resolution on the Stockholm Programme.
Es ist wichtig, dass dieses Parlament als Vertretung der europäischen Bürgerinnen und Bürger eine Marschroute für die Justiz- und Innenpolitik vorschlägt.	It is important for this Parliament, as the representative of the citizens of Europe, to propose a route to be taken by the justice and home affairs policy.
Und wir haben ein gutes Ergebnis erzielt!	We have achieved a good result.
Sicherheit gibt uns zudem der Vertrag von Lissabon: Künftig wird das Europäische Parlament in diesen Politikbereichen nicht mehr nur beratend tätig sein, sondern mitentscheiden.	In addition, the Treaty of Lisbon gives us security. In future, the European Parliament will not only be playing an advisory role in these policy areas, but will also be part of the decision-making process.
Wir haben eine gute Balance zwischen Sicherheitsaspekten und Bürgerrechten gefunden.	We have found a good balance between security and citizens' rights.
Das Sicherheitsbedürfnis unserer Bevölkerung steigt kontinuierlich.	The population needs increasing levels of security.
Immer wieder muss aber die Frage beantwortet werden, ob und gegebenenfalls wie stark Bürgerrechte bzw. bürgerliche Freiheiten zugunsten von Sicherheitsmaßnahmen eingeschränkt werden dürfen.	However, we must repeatedly answer the question about whether and to what extent citizens' rights and freedoms can be restricted by the introduction of security measures.
Ich denke, wir haben einen guten Mittelweg gewählt.	I think we have chosen a good middle way.
Damit dieser Mittelweg aber auch tatsächlich in die Justiz- und Innenpolitik eingeht, fordern wir bei der Umsetzung des Stockholmer Programms mehr Kontrollrechte für uns und für die nationalen Parlamente in der EU ein.	However, to ensure that this middle way really does feed into the justice and home affairs policy, we are calling for more control rights for this Parliament and for the national parliaments in the EU as part of the implementation of the Stockholm Programme.
Leider wurde meine Forderung, den polizeilichen Zugriff auf Eurodac voranzubringen, vom Plenum nicht unterstützt.	Unfortunately, plenary did not support my call for police access to Eurodac.
Es wäre ein weiteres sinnvolles Mittel im Kampf gegen Terrorismus und Verbrechen gewesen.	This would have been another useful tool in the fight against terrorism and crime.
Erfolgreich aber war mein Antrag, der die Kommission auffordert, Vorschläge zur europaweiten Bekämpfung des Asylmissbrauchs vorzulegen: Jeder Asylmissbrauch beschneidet die Möglichkeit, denjenigen, die einen berechtigten Asylanspruch haben, diesen auch zu gewähren.	However, my motion calling on the Commission to present proposals for combating the abuse of the asylum system throughout Europe was successful. Every abuse of the asylum system makes it more difficult to grant asylum to those who have a legitimate claim to it.
