Herr Präsident! Einen Frieden ohne Menschenrechte gibt es nicht.	Mr President, there can be no peace without human rights.
Das haben wir auf unserer Delegationsreise nach Kolumbien im Dezember immer wieder erfahren.	We had numerous first-hand experiences of that when our delegation visited Colombia in December.
Das haben auf grausame Weise die weit über hundert Morde der Paramilitärs gerade erst wieder klargemacht.	The murders - well over a hundred in number - committed by the paramilitaries have been another horrific reminder of the truth of that proposition.
Die Paramilitärs sind keine Verhandlungsparteien in Friedensgesprächen.	The paramilitaries are not parties to peace talks.
Die Paramilitärs sind kriminelle Banden, die sofort aufgelöst werden müssen.	The paramilitaries are criminal gangs that must be dissolved immediately.
Ihre Mitglieder wie ihre Finanziers gehören vor Gericht, und alle ihre Helfer in Staat und Sicherheitskräfte gilt es sofort zu entlassen.	Their members and their paymasters must be brought to justice, and all their helpers in the administration and the armed forces must be summarily dismissed.
Denn erst wenn das Recht auf Leben in Kolumbien garantiert ist, gibt es Hoffnung auf einen wirklichen Frieden.	Not until the right to life is guaranteed in Colombia will there be hope of real peace.
Das bedeutet auf seiten der Kriegsparteien die sofortige Achtung des humanitären Rechts.	This means that the warring factions must immediately start to apply the fundamental principles of humanitarianism.
Das bedeutet auf seiten des Staates Schutz der Opfer, darunter der mehr als 1 Million Vertriebenen, viele von ihnen Schwarze und Indígenas.	It means that the government must act to protect the victims of the conflict, including more than a million refugees, many of whom are blacks and Indios. No more impunity for lawbreakers!
Schluß mit der Straflosigkeit, Reform der Justiz, besonders der Militärgerichtsbarkeit!	Reform the administration of justice, particularly the system of military jurisdiction.
Die Agrarreform ist einzuleiten, und es sind wirtschaftliche und soziale Gerechtigkeit zu schaffen.	Agrarian reform has to be implemented, and economic and social justice must be established.
Hier ist auch die Europäische Union gefragt.	This is a task for the European Union too.
Hier ist Hilfe zu leisten, anstatt sich in Exportwettläufen zu profilieren.	We should be helping here, instead of competing for pole position in the export markets.
Wir müssen gerechte Preise bezahlen und für eine regionale Entwicklung sorgen. Denn: Frieden steht am Ende dieses Prozesses, nicht am Anfang!	We must pay fair prices and promote regional development, because peace is the reward for completing this process, not the prerequisite for launching it.
