. Frau Präsidentin!	.
Im vorliegenden Bericht werden sehr viele sozialpolitische Themen angeschnitten. Es ist zu hoffen, dass diese schönen Grundsätze bei konkreten Initiativen gerade im Wirtschaftsbereich viel stärker als bisher berücksichtigt werden.	Madam President, this report touches on many issues of social policy, and it is to be hoped that the business sector will take these fine principles on board far more than it has previously and will actually put them into practice.
Sonst müsste das satirische Sprichwort „Der Weg zur Hölle ist mit guten Vorsätzen gepflastert“ für die EU wohl folgendermaßen übersetzt werden: „Der Weg zur neokapitalistischen Globalisierung ist mit schönen sozialpolitischen EU-Sprüchen gepflastert“.	If it does not, the mocking proverb according to which ‘the road to hell is paved with good intentions’ would no doubt have to be recast in a version for the EU, which would read: ‘the road to neo-capitalist globalisation is paved with the EU’s fine words on social policy’.
Die Wechselwirkung zwischen Armut, Wirtschaft und Umweltzerstörung wird im Bericht noch viel zu wenig klar aufgezeigt. Ein Beispiel: Der Weltenergieausblick 2005 der Internationalen Energieagentur zeichnet ein erschreckendes Bild: Die CO2-Emissionen werden bis 2030 weltweit um 52 % zunehmen.	The report is still far too vague about the correlation between poverty, business and the destruction of the environment; to take an example, the International Energy Agency’s ‘World Energy Outlook 2005’ paints a frightening picture of worldwide CO2 emissions increasing by 52% between now and 2030.
Zwischen Umweltzerstörung und Armutsreduzierung besteht ein großer Zielkonflikt. Leidtragende sind vorwiegend die Ärmsten.	There is a clear trade-off between the destruction of the environment and the reduction of poverty, and it is above all the poorest who suffer from it.
Es ist Aufgabe der Politik, klare Rahmenbedingungen für die Wirtschaft zu setzen. Multinationale Konzerne müssen viel stärker soziale und ökologische Verantwortung übernehmen, wie zum Beispiel im -Ansatz festgehalten ist.	One of the functions of policy is to set clear boundaries for business; multinational conglomerates must accept much more responsibility for society and the environment, and the Triple Bottom Line approach is one example of how they can do so.
Die Verbraucher können so wie beim Umweltsiegel zu verantwortungsbewussterem Konsum hingeführt werden.	The public can be guided towards more responsible ways of being consumers, and eco-label is one way in which this can be done.
Verbraucher haben das Recht zu erfahren, ob ein Produkt fair, unter Einhaltung der ILO-Normen hergestellt worden ist und nicht unter Ausbeutung.	Consumers have the right to be told whether a product was manufactured fairly and in line with ILO standards or if exploitation was involved.
Noch ein Satz zur WTO: Mich stört der übertriebene Respekt vor der Welthandelsorganisation.	Let me say something else about the WTO. I am perturbed by the excessive respect in which that organisation is held.
Viele Politiker verhalten sich ihr gegenüber wie vor einer Naturgewalt.	Many politicians’ attitudes towards it suggest that they see it as some sort of force of nature.
Die WTO muss demokratischer werden.	The WTO must become more democratic.
Gewählte Organe müssen die Zielsetzung der WTO neu festlegen und ihre Tätigkeit kontrollieren.	Elected institutions must redefine its objectives and monitor its activities.
Auch hier muss die EU viel stärkeren Einfluss nehmen.	This is another area in which the EU must bring much more influence to bear.
