schriftlich. - Gesunde Böden sind die Grundlage von Reichtum und Gesundheit.	in writing. - Healthy soils are the basis of human health and wealth.
Sie müssen geschützt werden.	They must be protected.
Mit dem jetzigen Bodenzustand in der EU können wir nicht überall zufrieden sein.	We cannot be content with the current state of soils in all parts of the EU.
Es geht jedoch zu weit dieses Problem auf europäischer Ebene dirigistisch und bürokratisch regeln zu wollen.	Nevertheless, wanting to regulate this problem paternalistically and bureaucratically at European level is a step too far.
Die Böden, welche die IVU- und FFH-Richtlinien bereits schützten, wandern ja nicht von einem Land ins andere, was allerdings für Wasser als möglicher Faktor der Bodenverschmutzung nicht gilt.	Soil, which is already protected by the directive concerning integrated pollution prevention and control (the IPPC Directive) and the Habitats Directive, does not migrate, as we all know, from one country to another, although the same cannot be said for water, which is a potential factor in soil pollution.
Doch auch in diesem Bereich bestehen bereits die Wasserrahmenrichtlinie und die Grundwasserrichtlinie.	That, however, is already covered by the Water Framework Directive and the Groundwater Directive.
Wenn wir noch eine Bodenschutzrichtlinie hinzufügen, führt dies zu Doppelregelungen und zu einem teueren Bürokratieaufwand, den keiner will.	If we now add a soil protection directive, the result will be duplicated regulation and costly bureaucracy, which nobody wants.
Offene Koordinierung und Erfahrungsaustausch über beste Praxis wäre der bessere Ansatz.	Open coordination and sharing of experience on best practice would be a better approach.
Eine Rahmenrichtlinie zum Bodenschutz macht den zweiten Schritt vor dem ersten.	Adopting a framework directive on soil protection would be putting the cart before the horse.
Es kann nicht sein, dass Länder, die bereits eine diesbezügliche vorbildliche Gesetzgebung haben, ihr ganzes Staatsgebiet, mit viel Geld und Zeit, erneut auf eventuelle Risikogebiete untersuchen müssen.	It is unthinkable that countries which already have exemplary legislation on soil protection should have to invest a great deal of time and money re-examining their entire territory for possible risk areas.
Ich habe versucht bei der Abstimmung Schadensbegrenzung zu betreiben. Das ist mir leider nicht gelungen.	I tried to engage in damage limitation in this vote, but I am afraid I did not succeed.
Deshalb konnte ich nicht für den Bericht stimmen.	I was therefore unable to vote in favour of the report.
Ich will unseren Landwirten noch in die Augen schauen können.	I want to know that I can still look our farmers in the eye.
