schriftlich. - DIE LINKE. unterstützt seit Jahren die Einführung einer Finanztransaktionssteuer.	The Left has supported the introduction of a financial transaction tax for many years.
Diese Idee wurde heute allgemein vom Europäischen Parlament akzeptiert.	This idea was accepted by the European Parliament in general terms today.
In dem vom EP angenommenen Podimata-Initiativbericht wurde keineswegs über ein Ja oder Nein zur Finanztransaktionssteuer abgestimmt.	The Podimata own-initiative report adopted by Parliament does not entail a definitive yes or no to the issue of a financial transaction tax.
Es ist nicht klar, ob und wann ein entsprechender Vorschlag von der Kommission kommen wird.	It is not clear whether we can expect a corresponding proposal from the Commission or, if so, then when?
Wir sind noch weit von einem Gesetzgebungsverfahren entfernt.	We still have a long way to go before a legislative process is put in train.
Gegenwärtig erstellt die Kommission dazu lediglich eine Machbarkeitsstudie.	At present, the Commission is simply preparing a feasibility study.
Eine Rahmenbedingung dieser Durchführungsstudie ist, dass die Wettbewerbsfähigkeit nicht durch die Finanztransaktionssteuer beeinträchtigt werden darf.	One of the framework conditions for this feasibility study is that competitiveness should not be impaired by the financial transaction tax.
Eine weltweite Einführung der Finanztransaktionssteuer ist zurzeit völlig unrealistisch.	It is quite unrealistic to expect a worldwide introduction of a financial transaction tax at present.
Gegenstand des Initiativberichts war nicht nur die Finanztransaktionssteuer, sondern auch das reibungslose Funktionieren der Wettbewerbspolitik in der EU sowie die Einführung einer CO2-Abgabe nach dem Vorbild der Mehrwertsteuer, die auf jedes Produkt im Binnenmarkt aufgeschlagen werden soll.	The own-initiative report did not just deal with the issue of a financial transaction tax, but also with the smooth functioning of competition policy in the EU and the introduction of a carbon tax following the VAT model, to be charged on every product in the internal market.
Diese CO2-Steuer wird von uns abgelehnt.	We cannot accept this carbon tax.
Das ist eine umweltpolitische Forderung der Konservativen, die einen Energiemix aus Atomenergie und erneuerbaren Energien anstreben.	This is an environmental policy demand of the Conservatives, who are seeking an energy mix that combines nuclear energy and renewable energies.
Atomenergie würde durch diese Steuer nicht belastet.	Nuclear energy would remain unscathed by this tax.
Wir fordern die Besteuerung der Energieinputs, auch der atomaren, über eine kombinierte Primärenergie-/CO2-Steuer.	We are calling for the taxing of energy inputs, also covering nuclear energy, through a combined primary energy/carbon tax.
Wir haben dem Bericht wegen der Verknüpfung der guten Idee einer Transaktionssteuer mit Maßnahmen, die die Menschen in Europa noch mehr belasten würden, nicht zugestimmt, sondern uns bei der Schlussabstimmung enthalten.	I abstained from the final vote because I could not vote in favour of a report that links one good idea, a transaction tax, with measures that would place an even greater burden on the people of Europe.
