Herr Präsident! Ich werde dieser Entschließung auch zustimmen.	Mr President, I shall also be voting for this resolution, which I consider to be reasonable.
Ich halte sie für vernünftig. Wenn sie dazu beitragen kann, dass beide Seiten ihren Wortkrieg etwas zurücknehmen, dann hat sie durchaus schon ihren Sinn erfüllt.	If it can help to defuse the battle of words between the two sides somewhat, than it will certainly have served its purpose.
Ich bedaure, dass die tschechische Seite sich hier nicht wehren und ihre Position darlegen kann, denn in einer derart komplizierten Frage wäre es immer gut, wenn beide Seiten gehört würden.	I regret that the Czech Republic is unable to defend itself here and present its case, as it is always good to hear both sides of such a complicated argument.
In gleicher Offenheit möchte ich aber auch sagen, dass ich es nicht gut finde, dass die österreichische Regierung und auch das Parlament hier eine Art Ultimatum stellt.	However, in the same spirit of openness I would also like to say that I do not think it is right for the Austrian Government and Parliament to be delivering a kind of ultimatum here.
Das ist nicht die Art, wie wir bislang in der Europäischen Union damit umgegangen sind.	That is not the way we have handled these things in the European Union up to now.
Dass es ein Problem ist, ist uns klar. Aber wenn wir mit Ultimaten anfangen, kommt morgen eine Landsmannschaft und verlangt, dass die Tschechen erst beitreten können, wenn die Benesch-Dekrete zurückgenommen werden.	It is quite evident that there is a problem, but if we start issuing ultimatums then the next thing will be that a delegation will arrive representing displaced persons and demand that the Czech Republic can only join the Union if the Benesch Decrees are withdrawn.
Dann kommt irgendwann eine andere Gruppe und fordert dieses oder jenes.	And then some other group will come along demanding something else.
Seien Sie vorsichtig mit solchen Ultimaten!	You have to be careful with ultimatums like this.
Es gibt andere Möglichkeiten, solche Probleme zu lösen.	There are other ways of solving such problems.
Ich möchte aber auch der tschechischen Seite empfehlen, die Bedenken, die insbesondere von der Deutschen Gesellschaft für Reaktorsicherheit geäußert worden sind, ernst zu nehmen.	But I would also like to suggest to the Czech Republic that they should pay serious attention to the concerns expressed by the German Association for Nuclear Safety.
Dies möchte ich hier auch sagen.	That was another point I wanted to make.
Mein letzter wichtiger Punkt richtet sich an die Kommission.	My last, but important point, is one for the Commission.
Es wird immer von der Umweltverträglichkeit geredet. Das ist alles in Ordnung.	We hear a lot about environmental impact, and that is fine.
Wir haben aber auch einen EURATOM-Vertrag.	But we also have the Euratom Treaty.
Da gibt es den Artikel 97. Dort ist sinngemäß bestimmt, dass die Kommission über jeden Plan zur Ableitung radioaktiver Stoffe aller Art informiert werden muss.	Article 37 of that Treaty effectively stipulates that the Commission must be kept informed about any plan for the disposal of radioactive waste in any form whatsoever.
Die Kommission hat sich außerdem dazu zu äußern, ob das Wasser, der Boden oder der Luftraum eines anderen Mitgliedstaates verschmutzt werden kann.	The Commission also has to determine whether the implementation of such a plan is liable to result in the radioactive contamination of the water, soil or airspace of another Member State.
Ich weiß zwar, dass die Tschechische Republik noch nicht Mitglied der Europäischen Union ist.	I know that the Czech Republic does not yet belong to the European Union.
Aber mich würde doch interessieren, wie sich die Kommission zu diesem Artikel äußert, und ob sie glaubt, dass sich die Tschechische Republik an diesen Artikel gehalten hat.	Nevertheless, I would be interested to know what the Commission's view is in relation to this article, and whether it considers that the Czech Republic has respected it.
Interessant wäre, wie Gordon Adam auch gefragt hat, wie sie die Umweltverträglichkeitsprüfung einschätzt.	It would be interesting, as Gordon Adam has already asked, to know what its view is on the environmental impact assessment.
