Herr Präsident!	.
Sehr verehrte Damen und Herren Abgeordnete! Die Kommission hat heute Nachmittag um 15.30 Uhr eine Mitteilung im Rahmen ihrer Politik für bessere Rechtsetzung angenommen, die unmittelbar danach dem Europäischen Parlament und dem Rat zugeleitet wurde.	Mr President, ladies and gentlemen, at half past three this afternoon, the Commission adopted a communication on its ‘better lawmaking’ policy, and this communication was immediately forwarded to your House and to the Council.
Die Kommission hat eine umfassende und systematische Überprüfung aller vor dem 1. Januar 2004 von ihr vorgelegten und noch nicht verabschiedeten Gesetzesvorschläge vorgenommen und teilt das Ergebnis heute mit.	The Commission has undertaken a comprehensive and systematic review of all the draft legislation presented by it prior to 1 January 2004 and not yet adopted, and today sees its announcement of the outcome.
Lassen Sie mich nebenbei bemerken: Alles, was darüber möglicherweise vorher in irgendwelchen Zeitungen gestanden hat, ist kein Beschluss der Kommission und in den meisten Fällen auch falsch gewesen.	I would also like to say that all the things that may have appeared in this or that newspaper do not amount to a decision by the Commission, and that most of them are wrong.
Die heutige Mitteilung ist ein erster und vergleichsweise kleiner Schritt zur Verwirklichung des weit größeren anspruchsvolleren Projekts „Bessere Rechtsetzung in Europa“. Wir verfolgen mit diesem Projekt zwei Ziele: Das Vertrauen der Bürgerinnen und Bürger in die europäische Integration zu stärken und dem Eindruck entgegenzutreten, die Europäische Union sei ein regulierungswütiges, bürokratisches Monster.	Today’s communication is a first step, and a relatively small one, towards the completion of the far greater and more demanding project of ‘Better Lawmaking in Europe’, with which we have two ends in view, namely both to build up the public’s confidence in European integration and to counteract the impression that the European Union is a regulation-crazed and bureaucratic monstrosity.
Gleichzeitig wollen wir Wachstumskräfte in der Wirtschaft freisetzen, die durch zu viele oder zu komplizierte Vorschriften gehemmt sind.	At the same time, we want to liberate the forces for growth in the economy that have been tied down by excessive or excessively complex rules and regulations.
Wir dürfen die gefährliche Wirkung einer Wahrnehmung nicht unterschätzen, die Brüssel nur als gigantische und wenig transparente Bürokratie sehen will. Und hier sind alle gefordert – Kommission, Parlament und Rat –, durch konkrete Taten zu beweisen, dass Europa so nicht ist.	We must not underestimate the dangerous effect of the perception of Brussels as no more than an enormous and rather impenetrable bureaucracy, and this is where we all – in the Commission, Parliament and the Council – need to demonstrate by our actions that Europe is not like that.
Bessere Rechtsetzung ist aber auch ein wesentlicher Teil der Wachstums- und Beschäftigungsinitiative.	‘Better Lawmaking’ is also an essential part of the initiative for growth and employment.
Die Brüsseler Kommission hat mehr Wachstum und mehr Beschäftigung zur obersten Priorität ihrer Arbeit erklärt.	In Brussels, the Commission has stated that it, in its work, gives priority to growth and to the creation of more jobs.
Sie hat die Lissabon-Strategie für Wachstum und Beschäftigung in diesem Sinne überarbeitet und die Politikfelder hervorgehoben, die einen entscheidenden Beitrag zur Stärkung des Wachstums und zur Schaffung unserer Arbeitsplätze leisten können.	It has revised the Lisbon Strategy for growth and employment with this in mind and highlighted the area of policy that can make a decisive contribution to the enhancement of growth and to the creation of jobs.
Bessere Rechtsetzung ist eines dieser zentralen Politikfelder.	‘Better Lawmaking’ is one of these core policy areas.
