Herr Präsident!	.
Frau Kommissarin, meine sehr verehrten Damen und Herren! Welch ein Unterschied!	Mr President, Commissioner, ladies and gentlemen, what a difference!
Vor wenigen Minuten haben wir die so genannten „Wahlen“ in einem Land diskutiert, wo wir feststellen mussten – wo auch internationale Beobachter festgestellt haben –, dass sie nicht fair, frei und demokratisch waren.	Just a few minutes ago we were discussing the so-called 'elections' in a country where it is clear – as the international observers concluded – that they were neither free, fair nor democratic.
Dagegen sprechen wir jetzt über ein Land, wo die Demokratisierung sehr große Fortschritte gemacht hat und wo auch die Europäische Union sehr viel dazu beigetragen hat, dass dem so ist.	In contrast, we are now talking about a country where democratisation has made huge progress, and where the European Union has made a major contribution to that fact.
Die Parlamentswahlen in der Ukraine vom 26. März sind im Vergleich mit Belarus am anderen Ende des demokratischen Spektrums anzusiedeln.	The parliamentary elections in Ukraine on 26 March were at the opposite end of the democratic spectrum to those in Belarus.
Sie waren – wenn man von einigen technischen Mängeln und Unzulänglichkeiten absieht – frei und fair und gaben den Wählerinnen und Wählern in der Ukraine die Möglichkeit, nach einem aktiven und offenen fairen Wahlkampf unter Beobachtung durch eine freie Presse ihre Wahl ungehindert und gut informiert zu treffen.	Apart from a few technical problems and shortcomings, they were free and fair, and gave the Ukrainian electorate the opportunity to cast their votes without hindrance, having been well informed by an active, open and fair election campaign observed by a free press.
Die internationalen Beobachter haben das auch festgestellt.	The international observers agreed with this.
Das ist ein großer Erfolg für uns alle, ein Erfolg für Europa, für die Europäische Union, für die OSZE und für den Europarat.	That is a great success for all of us – a success for Europe, for the European Union, for the OSCE and for the Council of Europe.
Wir können mit Freude feststellen, dass diese Wahlen tatsächlich unter Rahmenbedingungen stattgefunden haben, wie wir sie gerne sehen.	We take pleasure in noting that these elections were indeed conducted under the conditions we like to see.
Die Wahlen haben auch gezeigt, dass das ukrainische Volk die Eigenverantwortung für die Demokratie im eigenen Land übernommen hat.	The elections also showed that the people of Ukraine have assumed responsibility for democracy in their own country.
Das ist ein Meilenstein in dem Prozess zur Konsolidierung einer Demokratie, die mit der so genannten Orangenen Revolution begonnen hat.	That is a milestone in the process of consolidating a democracy that started with the 'Orange Revolution'.
Was mir besonders wichtig ist – und daher trifft es sich auch gut, dass die beiden Debatten über Belarus und die Ukraine zeitnah stattfinden –: Die Wahlen setzen einen neuen und begrüßenswerten Standard für Wahlen in der gesamten Region und sind daher auch ein Beispiel für die Region und für andere Länder in der Union.	To me, the especially important thing is – and it is therefore convenient that the debates on Belarus and Ukraine have been held so close together – that the elections set a welcome new standard for elections throughout the region and are therefore an example for the region and for other countries in the Union.
Es hat technische Mängel und Unzulänglichkeiten gegeben, allerdings nicht in dem Maße, dass wir darüber besorgt sein müssten.	There were technical problems and shortcomings, but not to an extent that should cause us concern.
Wir gehen davon aus, dass diese Mängel von den Behörden selbst behoben werden können und sie bei den nächsten Wahlen nicht mehr vorkommen werden.	We expect that the authorities will be able to solve these problems themselves, so that they will not reoccur at the next elections.
Anders als bei Belarus ist nunmehr die Europäische Union in der Lage, die Arbeit zur Vertiefung der Partnerschaft mit der Ukraine weiter fortzusetzen.	Unlike in the case of Belarus, the European Union is now in a position to press on with its efforts to strengthen its partnership with Ukraine.
Diese Partnerschaft stützt sich auf gemeinsame Werte, die in der Qualität der Demokratie und der Reformen in der Ukraine ihren Ausdruck finden.	This partnership is based on shared values that are expressed in the quality of the democracy and the reforms in Ukraine.
Die Wahlen haben in dieser Hinsicht eine wichtige Etappe dargestellt und den Weg für Beratungen über ein neues, erweitertes Abkommen mit der Ukraine, das das Partnerschafts- und Kooperationsabkommen ablösen soll, frei gemacht.	In this respect, the elections represented an important step and opened the way to consultations on a new, broader agreement with Ukraine, superseding the Partnership and Cooperation Agreement.
Wir freuen uns, die neue Regierung der Ukraine dabei zu unterstützen, ihre Reformagenda zügig voranzubringen.	We are happy to support the new government in Ukraine in its efforts to push its reform agenda forward.
Wir werden das unsere dazu beitragen, dass das Programm im Rahmen der Nachbarschaftspolitik, der Aktionsplan, weiterhin umgesetzt und mit Leben erfüllt wird und dass auch dieses Land sowohl im demokratischen Bereich – hier ist das Land schon sehr weit – als auch im wirtschaftlichen, sozialen und politischen Bereich auch weiterhin Fortschritte macht.	We will make our own contribution to ensuring that the programme continues to live and work within the framework of the neighbourhood policy and the action plan, and that Ukraine continues to make progress democratically – in this respect the country has already come a long way – and also economically, socially and politically.
Wir als Europäische Union wollen dabei behilflich sein.	We in the European Union want to help with that.
