Ein typisches Beispiel für englischen Humor.	A typical example of English humour.
(Heiterkeit, Beifall) Übrigens, Sie haben im Deutschen das Wort eingesqueezed benutzt, das ist auch kein richtiges Deutsch.	(Laughter, applause) Incidentally, you used the word "eingesqueezed" in German, and that is not correct German either!
Aber die meisten haben es verstanden, Herr Watson, Sie auch.	But nearly everyone understood what you meant, Mr Watson.
Bericht ohne Aussprache (A5-0322/2000) von Herrn Averoff im Namen des Haushaltsausschusses über den Vorschlag für einen Beschluss des Rates (KOM(2000) 632 - C5-0532/2000 - 2000/0255(CNS)) über die Bereitstellung von Mitteln an Griechenland, um die Zinsbelastung aufgrund von EIB-Darlehen zu verringern, die für den Wiederaufbau der durch das Erdbeben im September 1999 zerstörten Region bestimmt sind	Report without debate (A5-0322/2000) by Mr Averoff, on behalf of the Committee on Budgets, on the proposal for a Council decision on the granting of funds to Greece in order to relieve the interest burden on EIB loans for the reconstruction of the region which was devastated by the earthquake of September 1999 (COM(2000) 632 - C5­0532/2000 - 2000/0255(CNS))
(Das Parlament nimmt den legislativen Entschließungsantrag an.)	(Parliament adopted the legislative resolution)
Bericht (A5-0294/2000) von Frau Eriksson im Namen des Ausschusses für die Rechte der Frau und Chancengleichheit über den Vorschlag für eine Entscheidung des Rates (KOM(2000) 335 - C5-0386/2000 - 2000/0143(CNS)) über das Programm zur Unterstützung der Rahmenstrategie der Gemeinschaft für die Gleichstellung von Frauen und Männern (2001-2005)	Report (A5-0294/2000) by Mrs Eriksson, on behalf of the Committee on Women's Rights and Equal Opportunities, on the proposal for a Council Decision on the Programme relating to the Community framework strategy on gender equality (2001-2005) (COM(2000) 335 - C5-0386/2000 - 2000/0143(CNS))
(Das Parlament nimmt die legislative Entschließung an.)Der Präsident.	(Parliament adopted the legislative resolution)President.
Damit gibt es jetzt endlich die gleichen Rechte für Frauen und Männer!	So we finally have equal rights for women and men!
Wir unterbrechen jetzt die Abstimmungsstunde für die Feierliche Sitzung.	We will now interrupt voting time for the formal sitting.
(Die Sitzung wird um 11.55 Uhr unterbrochen und um 12.25 Uhr wiederaufgenommen.)	(The sitting was suspended at 11.55 a.m. and resumed at 12.25 p.m.)
Bericht (A5-0309/2000) von Frau González Álvarez im Namen des Ausschusses für Umweltfragen, Volksgesundheit und Verbraucherschutz über den Vorschlag für eine Richtlinie des Europäischen Parlaments und des Rates (KOM(2000) 139 - C5-0224/2000 - 2000/0073(COD)) über die allgemeine Produktsicherheit	Report (A5-0309/2000) by Mrs González Álvarez, on behalf of the Committee on the Environment, Public Health and Consumer Policy, on the proposal for a European Parliament and Council directive on general product safety (COM (2000) 139 - C5­0224/2000 - 2000/0073(COD))
(Das Parlament nimmt den legislativen Entschließungsantrag an.)	(Parliament adopted the legislative resolution)
Bericht (A5-0303/2000) von Herrn Seppänen im Namen des Haushaltsausschusses über den Vorschlag für einen Beschluss des Rates (KOM(2000) 479 - C5-0454/2000 - 2000/0197(CNS)) zur Änderung des Beschlusses 2000/24/EG zwecks Einrichtung eines EIB-Sonderaktionsprogramms zur Unterstützung der Konsolidierung und Intensivierung der Zollunion EG-Türkei	Report (A5-0303/2000) by Mr Seppänen, on behalf of the Committee on Budgets, on the proposal for a Council decision amending Decision 2000/24/EC so as to establish an EIB special action programme in support of the consolidation and intensification of the EC-Turkey customs union (COM(2000) 479 - C5­0454/2000 - 2000/0197(CNS))
(Das Parlament nimmt den legislativen Entschließungsantrag an.)	(Parliament adopted the legislative resolution)
Bericht (A5-0324/2000/ von Herrn Lagendijk im Namen des Ausschusses für auswärtige Angelegenheiten, Menschenrechte, gemeinsame Sicherheit und Verteidigungspolitik über den geänderten Vorschlag für eine Verordnung des Rates (KOM(2000) 628 - C5-0526/2000 - 2000/0112(CNS)) über die Europäische Agentur für den Wiederaufbau	Report (A5-0324/2000) by Mr Lagendijk, on behalf of the Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy, on the amended proposal for a Council Regulation concerning the European Agency for Reconstruction (COM(2000) 628 - C5-0526/2000 - 2000/0112(CNS))
Nach der Abstimmung über den Änderungsantrag Nr. 32:	After the vote on Amendment No 32:
