Herr Präsident, Herr Purvis hat seine Sache gut gemacht. Das haben schon mehrere gesagt.	Mr President, Mr Purvis has done a good job as several speakers have already said.
Ich finde, das ist ein guter Bericht.	I think it is a good report.
Man stelle sich mal vor, wir würden verstehen, wie Algen unter Sonneneinstrahlung Wasserstoff erzeugen.	Imagine if we could understand how algae produce oxygen from sunlight.
So etwas gibt es.	Such things exist.
Das könnte man nachmachen.	We could imitate it.
Es würde unsere Energiewirtschaft völlig verändern.	It would transform our energy industry completely.
Das zu verstehen, halte ich zum Beispiel für eine enorme Herausforderung.	To understand that, for example, is an enormous challenge.
Oder schauen Sie sich mal den Stachel eines Seeigels unter dem Mikroskop an.	Or look at a sea urchin' s spine under the microscope.
Sie bekommen eine fantastische Bauanleitung für neue Materialien.	You get a fantastic picture of how new materials might be built.
Das zu verstehen, wie so etwas zustande kommt, kann unsere Industriekultur wesentlich verändern.	To understand how that is made could dramatically change our industrial culture.
Das werden wir nur verstehen, wenn wir Neugierde haben, wenn wir an die neue Technologie, an eine neue Wissenschaft mit Neugierde herangehen und nicht mit Angst.	We will only understand it if we are curious enough to find out, if we approach new technology, new science with curiosity and not with fear.
Das ist die Botschaft von John Purvis, und die möchte ich unterstützen.	That is John Purvis' message and I would like to endorse it.
Im Übrigen, was Entwicklungsländer anbelangt, möchte ich darauf verweisen, dass es ein Entwicklungsland gibt, das einen enormen Sprung in der Biotechnologie zustande gebracht hat.	Moreover, as regards developing countries I would like to point out that there is one developing country that has made enormous strides in biotechnology.
Das ist Kuba.	That is Cuba.
Seit etwa 40 Jahren investiert Kuba in die Biotechnologie in einer Weise, wie das kaum ein anderes Land tut, und hat heute schon einen Umsatz in moderner Biotechnologie von weit über 100 Millionen Dollar.	For 40 years, Cuba has been investing in biotechnology like hardly any other country and today has a turnover in modern biotechnology of well over USD 100 million.
Ich möchte das nur erwähnen, weil hier einige Länder genannt sind.	I only want to mention that because other countries are named here.
Ich glaube, bei aller Kritik, die man ansonsten an Kuba üben kann, das ist eine große Leistung.	Despite all the criticism that can be levelled at Cuba in other respects, I think that is a major achievement.
Wir sind etwa in der Energiewirtschaft den Weg der klassischen Thermodynamik gegangen.	In the energy industry we have tended to go the way of conventional thermodynamics.
Kein Lebewesen funktioniert nach der klassischen Thermodynamik, sonst würden wir gar nicht so alt werden wie wir sind.	No living creature operates according to conventional thermodynamics, otherwise we would not live as long as we do.
Die irreversible Thermodynamik, also kleine Veränderungen, wird uns vielleicht einen völlig neuen Weg weisen in der Energiewirtschaft.	Irreversible thermodynamics, small changes, will perhaps show us a completely new way forward in energy.
Auch das ist etwas, was wir begreifen müssen.	That is also something we need to understand.
Dann wird man vielleicht das, was wir bislang gemacht haben, eines Tages als einen Irrweg bezeichnen.	Then what we have been doing hitherto will perhaps one day be seen as an aberration.
Ich finde, lasst uns hier mit etwas mehr Mut an diese Technologie herangehen, die Risiken sicher bedenken, aber ohne Neugierde, ohne Mut hat es nie einen Fortschritt gegeben, auch nicht in der Biotechnologie.	I think we should be showing a little more courage with this technology, paying attention to the risks of course, but there has never been any progress made without curiosity or courage, and the same applies for biotechnology.
