im Namen der GUE/NGL-Fraktion. - Herr Präsident!	Mr President, I would like to make two comments.
Ich möchte zwei Anmerkungen machen.	The first is addressed to Mr Gauzès.
Die erste Anmerkung geht in Richtung Jean-Paul Gauzès. Ich möchte mich bei ihm ausdrücklich für die gute Arbeit und Zusammenarbeit bedanken.	I would like to thank him specifically for his excellent work and cooperation.
Ich fand aber auch die Zusammenarbeit mit den anderen Schattenberichterstattern ausgesprochen gut und konstruktiv.	However, I also found the cooperation with the other shadow rapporteurs to be exceptionally good and constructive.
Das will ich vorwegschicken, bevor ich zu den kritischen Anmerkungen komme.	I wanted to say that right at the start before I come to my points of criticism.
Ich kann im Prinzip das aufnehmen und unterstreichen, was Sven Giegold schon gesagt hat: Die ersten Kompromisse, die wir im Ausschuss für Wirtschaft und Währung im Mai dieses Jahres vereinbart hatten, hätte ich mittragen können.	I can, in principle, accept and reinforce what Mr Giegold has just said. I could have supported the first compromise that we agreed on in the Committee on Economic and Monetary Affairs in May of this year.
Die habe ich auch in der Entscheidung mitgetragen.	Indeed, I was able to go along with the decision.
Das aber, was jetzt und in weiteren Verhandlungen dabei herausgekommen ist, ist auch aus Sicht meiner Fraktion nicht mehr akzeptabel, nicht mehr mitzutragen.	However, what has now been produced as a result of further negotiations is, also in the opinion of my group, no longer acceptable and we can no longer support it.
Nach meinem Empfinden ist es jedem zugestanden, die Sache aus seiner Sicht darzustellen, aber aus meiner Sicht hat der Rat an dieser Stelle eine unglückliche Rolle gespielt.	As I see it, everyone is entitled to his own opinion on the matter, but in my view, the Council has played an unfortunate role here.
Ich will das hier etwas deutlicher sagen, als das an der einen oder anderen Stelle gesagt worden ist: Nach meinem Empfinden hat der Rat hier eine Chance vertan.	I will express this a bit clearer than one or two others have done. In my view, the Council has missed an opportunity here.
Er ist vor der Finanzmarktlobby in ganz erheblichem Maße eingeknickt und hat sich mit allen Mitteln gegen eine wirksame Regulierung auf europäischer Ebene zur Wehr gesetzt.	It gave in to a considerable extent to the financial market lobby and used everything in its power to prevent an effective regulation at European level.
Ich hatte eines Morgens einen Anruf von einem Lobbyisten, der sagte: Wenn ihr die private equities tatsächlich so regeln wollt, dann macht ihr die Entwicklungshilfe in Afrika kaputt.	One morning, I received a call from a lobbyist, who said that if we really wanted to regulate private equities in this way, we would prevent development aid getting to Africa.
Absurder und abstruser kann man doch an dieser Stelle nicht mehr argumentieren!	A more absurd and obscure argument could not be found in this regard.
Das doch nichts miteinander zu tun!	These things have nothing to do with one another.
Wer so argumentiert, bringt doch damit nur zum Ausdruck, dass er kein Interesse an einer sinnvollen und wirksamen Regulierung hat.	Anyone who comes up with this sort of argument merely demonstrates the fact that he has no interest in meaningful and effective regulation.
Das ist aber nicht Sache des Parlaments.	However, this is not the concern of Parliament.
Auf Parlamentsseite - das will ich noch einmal unterstreichen - haben Jean-Paul und andere Kollegen für eine wirksame Regulierung gestritten.	On behalf of Parliament - and I would like to emphasise this once again - Mr Gauzès and other fellow Members fought for an effective regulation.
Das wurde von Ratsseite unterlaufen.	That was undermined by the Council.
Es ist passives Marketing, das möchte ich auch noch einmal sagen.	I want to say this once again; this is passive marketing.
Es ist ein Punkt, den Sven schon angesprochen hat.	This is a point that Mr Giegold has already mentioned.
Das ist doch ähnlich, als wenn jemandem auf dem Wochenmarkt verboten wird, faule Eier zu verkaufen, wenn er dafür Werbung macht. Macht er aber keine Werbung für die faulen Eier und stellt sich nur hin und verkauft sie, dann ist es offensichtlich legitim.	It is like someone being prohibited from selling rotten eggs at the weekly market if he advertises them, but if he does not advertise the rotten eggs and just stands there and sells them, then it is evidently legitimate.
Etwas anderes ist es doch nicht, was hier mit dem Abschnitt zum Thema passives Marketing geregelt worden ist.	However, it is no different to what has been laid down here in the section relating to passive marketing.
Das ist eine Öffnung.	It provides an opening.
Wir haben - das ist gesagt worden, und das finde ich auch gut - eine europäische Regelung.	We have a European regulation - that has already been said and I think it is a good thing.
Aber wenn sie an dieser Stelle so mit Schlupflöchern, mit offenen Türen unterlaufen werden kann, dann stellt sich doch die Frage, wie weit diese europäische Regelung wirklich greift.	However, when the door is wide open for it to be circumvented through loopholes, then the question arises as to how effective this European regulation really is.
Die private equities waren ursprünglich besser geregelt.	Private equities were originally regulated better.
Sie sind jetzt relativ schwach geregelt worden.	They are now relatively weakly regulated.
Ein ganz wichtiger Punkt - auch da kann ich nur unterstreichen, was Sven Giegold gesagt hat - ist die Frage der Information der Belegschaften.	A very important point - and here, too, I can only reinforce what Mr Giegold said - is the question of the information provided to the workforce.
In dem ursprünglichen Kompromiss stand, dass die Manager verpflichtet sind, die Belegschaften über das zu informieren, was sie mit dem Betrieb vorhaben, in den sie investiert haben.	The original compromise stated that managers were obliged to inform their workforce of what they intended to do with the companies in which they had invested.
Übriggeblieben davon ist die forcierte Aufforderung an die Eigentümer, die Belegschaften, die Betriebsräte zu informieren.	What remains of this is the strained requirement for owners to inform their workforce and the works councils.
Was daraus wird, kann man sich vorstellen. Daraus wird nicht viel werden.	You can imagine what will come of this - not very much.
Der Rat hat hier eine Chance vertan, und ich hoffe, dass wir das vielleicht noch an anderer Stelle nachbessern können.	The Council has missed an opportunity here, and I hope that we will perhaps still be able to improve on it at a later date.
