Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen!	Mr President, Mr Commissioner, ladies and gentlemen.
Nach weit über einem Jahr haben wir heute endlich einmal wieder die Gelegenheit, über die Postdienste zu debattieren, diesmal in der zweiten Lesung über die Richtlinie mit dem unsagbar langen Titel.	Today we have another opportunity, after well over a year, to debate the postal services, and this time during the second reading of the guidelines with the interminable title.
Wenn wir ehrlich sind, ist diese Richtlinie bestimmt nicht der große Sprung nach vorn.	If we are to be honest, this guideline is no great leap forward.
Als einzigen Erfolg kann man nur werten, daß die Richtlinie zeitlich befristet ist und - das sage ich ganz offen - dadurch auch ein gewisser Druck auf die Mitgliedstaaten ausgeübt wird, ihre Postdienste wettbewerbs- und binnenmarkttauglich zu machen.	The only success one can acknowledge is that the guideline is temporary and thus - I say it quite openly - this puts a certain amount of pressure on Member States to make their postal services competitive and fit for the internal market.
Wenn das nicht möglich wäre, wäre die Richtlinie das Papier nicht wert, auf dem sie steht.	If this were not possible, the guideline would not be worth the paper it is printed on.
Die Grundsäulen des Kompromisses, den der für Telekommunikation zuständige Ministerrat im Dezember vergangenen Jahres gefunden hat, wollen wir allerdings auch nicht zur Disposition stellen, weil ich hier natürlich auch die folgenden Probleme sehe: a) Mehrheitsbeschluß, b) im Rat die Dinge durchzusetzen.	We do not wish, however, to quarrel with the main planks of the compromise, agreed by the Telecommunications Council of Ministers last December, because I naturally see the following problems here: a) a majority decision, b) forcing the issue through in Council.
Für eine postalische Grundversorgung auch in ländlichen Gebieten ist ein bestimmter reservierter Bereich notwendig.	A certain reserved sector is essential to ensure that basic postal coverage also applies to rural areas.
Eine Universaldienstverpflichtung - also eine bestimmte Mindestpalette von Postprodukten, die allen Bürgerinnen und Bürgern zu annehmbaren Kosten zur Verfügung stehen müssen - ist ebenso gerechtfertigt.	A universal commitment to service - in other words a certain minimum range of postal products available to all citizens at acceptable prices - is equally justified.
Die EVP-Fraktion will - dazu stehe ich auch - kein Vermittlungsverfahren anstreben, sondern wir müssen endlich dazu kommen, daß sich in den Mitgliedstaaten etwas bewegt.	My group, the Group of the European People's Party will not puss for a compromise procedure, as we must at long last come to the point where things start moving in the member states.
Die entscheidende Frage ist aber: Wie organisieren wir einen gemeinsamen Markt, auf dem die zentrale europäische Frage, nämlich die der Endvergütungen, von einem antiquierten System - nämlich dem Weltpostvertrag - geregelt werden soll.	The crucial issue is how we organize a common market in which the central European question, namely final accounting, has to be regulated by an antiquated system - the World Postal Union.
Auf diese Frage hat mir noch keiner eine befriedigende Antwort geben können.	No one has been able to give me a satisfactory answer to this question.
Es ist doch erstaunlich, lieber Brian Simpson, wie staatstragend Du heute Deinen Beitrag gestaltet hast; von Kampfesmut und Aufbruchstimmung, wie es in der ersten Lesung zu hören war, ist nicht mehr sehr viel übrig geblieben.	It was quite astonishing how diplomatically Brian Simpson presented his report today, with little trace left of the combative and innovative spirit we saw in the first reading.
Vor einem Jahr waren wir uns noch einig, daß wir bei der Frage der Endvergütungen eine europäische Lösung finden müssen.	A year ago we agreed that we had to find a European solution to the problem of final payment.
Jetzt in der zweiten Lesung wird die Gefolgschaft verweigert, nur um den Kompromiß des Rates nicht zu gefährden.	Now, in the second reading, allegiance is withdrawn, just so as not to endanger the Council's compromise.
Respekt, wie schnell Ihr in Großbritannien das Spiel gelernt habt!	My compliments to the British on how quickly they have learned the rules of the game!
Uns geht es als EVP-Fraktion darum, daß wir zu einem gemeinsamen Markt, zu Wettbewerb auch im Postbereich kommen - einem Wettbewerb aber, der nicht einzelnen Ländern einen Vorteil gegenüber anderen verschafft.	We in the Group of the European People's Party feel that we must achieve a common market, with competition even in the postal services, but that this competition should not grant one nation advantages over another.
Ein reservierter Bereich, eine Universaldienstverpflichtung, die durch unzulässiges Remailing konterkariert, ja ausgehöhlt wird, kann unsere Zustimmung nicht finden.	A reserved sector, a universal service obligation, which is attacked, even undermined, by unauthorised redirection can never meet with our approval.
Frau Schmidbauer, Ihre Krokodilstränen rühren mich wirklich, aber wenn Sie all das wollen, z.B. den Sozialschutz, unterstützen Sie meinen Änderungsantrag!	I am really touched by Mrs Schmidbauer's crocodile tears, but if you want social protection and so on, support my amendment!
Dann kommen die Dinge ganz von selbst ins laufen, dann brauchen wir über kleine Postämter usw. in Deutschland gar nicht mehr zu reden.	Then things will proceed automatically, then we shall no longer have any need to discuss small post offices in Germany and the like.
Sie haben es morgen in der Hand, hier etwas für Ihre Genossinnen und Genossen zu tun!	You have it in your power to do something tomorrow for your comrades!
Ich wollte noch einiges sagen, aber die Zeit läuft mir davon.	I had wanted to cover a few more things, but time has run away from me.
Herr Kommissar, die Endvergütungen sind nicht vom Tisch.	Mr Commissioner, The matter of terminal dress has still not been settled.
Auch wenn wir morgen wohl dank der Verweigerung der gegenüberliegenden Seite nicht zu Potte kommen, möchte ich Sie bitten, daß wir hier Fortschritte erreichen.	Even though, thanks to the dissension of the opposing side, we shall not win tomorrow, I must ask you to see that we make progress here.
Mit einem Weltpostvertrag können wir keinen Binnenmarkt machen!	We cannot create an internal market with a World Postal Union!
