Kommission.	Commission.
Herr Präsident, sehr geehrte Damen und Herren Abgeordnete! Im Februar hat die Kommission über die Prioritäten für den europäischen Haushalt des nächsten Jahres debattiert, und die Kommission hatte auch Gelegenheit, die Prioritäten ausführlich mit dem Europäischen Parlament zu erörtern, hier im Plenum, aber vor allem auch im Haushaltsausschuß und in den diversen Triloggesprächen, also zwischen der Kommission, dem Europäischen Parlament und dem Rat, die in der Zwischenzeit stattgefunden haben.	Mr President, ladies and gentlemen, in February, the Commission debated the priorities for the European budget for next year and had the opportunity to discuss these priorities in detail with the European Parliament both here in plenary and, more importantly, in the Committee on Budgets and in the various trialogues between the Commission, the European Parliament and the Council which have taken place since.
Auf der Grundlage dieser Debatte hat die Kommission den Vorentwurf des Haushaltsplans für das Jahr 2001 aufgestellt, und dieser liegt Ihnen nun, beschlossen von der Kommission, vor.	The Commission has used this debate as the basis for its preliminary draft budget for 2001, which it now has pleasure in presenting to you, as adopted by the Commission.
Da es der erste Haushaltsvorentwurf ist, den ich Ihnen vorlegen darf, gestatten Sie mir auch eine Bemerkung zum Vorgehen und zum Zeitpunkt.	As it is the first preliminary draft budget which I have presented, allow me to comment on the procedure and the timing.
Ich halte es für äußerst sinnvoll, daß vorher intensive Prioritätendebatten stattfinden, bevor man in das konkrete Zahlenwerk einsteigt; vor allem halte ich es für sehr hilfreich, daß der Vorentwurf so früh vorgelegt wird, so daß die Auseinandersetzung intensiv geführt werden kann.	I think it makes a great deal of sense to debate priorities intensively first, before getting down to specific numbers. More importantly, I think it is most helpful to present the preliminary draft budget so early, thereby allowing time for intensive discussion.
Zur Struktur des Haushalts: Wie bei jedem nationalen Haushalt ist es auch für den europäischen Haushalt eines Jahres so, daß der größte Teil der Haushaltszahlen festgelegt ist durch Verträge, durch Vorentscheidungen der vergangenen Jahre, durch gesetzliche Grundlagen der vergangenen Jahre.	Now to the budget proper: as with every national budget, most of the figures in the European budget for a given year are determined by contracts, by previous decisions in past years and by legal bases in past years.
Das gilt insbesondere für die Agrarausgaben im Bereich der Marktordnung, den größten Ausgabenposten im Haushalt, auch im Haushalt des Jahres 2001, und für die Strukturfonds, aber auch für mehrjährige Programme, sei es bei der Forschung oder bei der Jugendförderung oder der Außenpolitik.	This is particularly true of agricultural expenditure in the area of the organisation of the markets, the largest item in the budget, including in the Budget 2001, and of the Structural Funds and multiannual programmes, be they in research, youth measures or foreign policy.
Trotz der Festlegung aus den vergangenen Jahren setzt der Haushalt des Jahres 2001 aber auch eindeutig politische Prioritäten, und nach den Diskussionen der vergangenen Monate glaube ich auch sagen zu können, daß es bei diesen Prioritäten, die sich im Haushaltsvorentwurf der Kommission finden, sehr viele Übereinstimmungen mit den Prioritäten des Parlaments gibt.	Despite the fact that figures are determined by previous years, the Budget 2001 also sets clear political priorities and, following discussions over recent months, I think I can say that the priorities in the Commission' s preliminary draft budget tally to a large extent with Parliament' s priorities.
Es ist zum einen die Priorität bei der zweiten Säule der Agrarpolitik; für die Förderung der Entwicklung des ländlichen Raumes wird nach dem Vorentwurf der Kommission die höchste Steigerungsrate ausgewiesen, und ich glaube, das unterstreicht in der Tat, daß diese zweite Säule der Agrarpolitik nach Ansicht der Kommission ein Schwergewicht darstellen muß.	Take, for example, the priority under the second pillar of agricultural policy; the highest rate of increase in the Commission' s preliminary draft budget is for promoting the development of rural areas and I think that this in fact highlights that the Commission considers that we need to focus on the second pillar of agricultural policy.
Zweitens ist es die Priorität in der Wirtschaftspolitik mit der Notwendigkeit, Europa als Wissensgesellschaft auszubauen und zu fördern. Deshalb gibt es im Vorentwurf der Kommission ein sehr kräftiges Plus bei den Forschungsausgaben und eine Neuauflage des Programms zur Förderung der kleinen und mittleren Unternehmen, und es liegt vor allem auch ein Vorschlag vor, der diesen mit der Technologieförderung kombiniert, was ja auch ein Anliegen der Berichterstatterin, Frau Haug, war.	Secondly, economic policy prioritises the need to develop and promote Europe as a knowledge-based society, which is why the Commission' s preliminary draft budget has set a very large plus against research and a new edition of the programme to promote small- and medium-sized enterprises and, more importantly, contains a proposal to combine them with the promotion of technology, which was also a matter of concern to the rapporteur, Mrs Haug.
Der Zugang zu neuen Technologien ist bei kleinen und mittleren Unternehmen nicht sehr ausgeprägt.	Access to new technologies is not very well developed in small- and medium-sized enterprises.
Selbstverständlich ist es bei einer Wirtschaftsstruktur, die man haben möchte und die ganz stark getragen ist von kleinen und mittleren Unternehmen, bei der man auf der anderen Seite auch einen Push haben möchte für Europa, für Europas Entwicklung in der Informations- und Kommunikationstechnologie, sinnvoll und notwendig, diese beiden Aspekte zu kombinieren.	Of course, with the economic structure which we would like to have and which is strongly supported by small- and medium-sized enterprises, and which we want to use to push Europe forward, it is necessary and it makes sense for Europe' s development in information and communications technologies to combine these two aspects.
Im Haushaltsvorentwurf wurde auch ein neuer Schwerpunkt in der Außenpolitik gesetzt.	The preliminary draft budget also contains a new focus on foreign policy.
Wir hatten die Gelegenheit, darüber schon sehr ausführlich zu debattieren, und zwar über die Hilfe auf dem Balkan.	We have already had the opportunity to debate this in great detail, especially assistance in the Balkans.
Ich möchte als weitere Priorität auch die Notwendigkeit nennen, auch für den europäischen Haushalt Haushaltsdisziplin zu praktizieren, und diesem Ziel folgt der Vorentwurf der Kommission.	Another priority which I should like to mention is the need for budgetary rigour in the European budget and the Commission' s preliminary draft budget is in line with this objective.
Deshalb hier einige Zahlen zum Gesamtbudget.	So now a few figures on the overall budget.
Ohne Agrarausgaben sieht der Haushaltsvorentwurf vor, daß eine Steigerung für die Verpflichtungsermächtigungen, also das, was an finanziellen Verpflichtungen eingegangen werden kann, im Vergleich zum Vorjahr um 1% vorliegt.	Without agricultural expenditure, the preliminary draft budget makes provision for an increase in commitment appropriations, i.e. the financial commitments which can be entered into, of 1% in comparison with last year.
Ich glaube, daß diese Zahl sehr deutlich macht, daß der Haushaltsvorentwurf in die gesamte politische Landschaft der Haushaltsdisziplin paßt, und sich für die Zahlungen insgesamt, ohne Agrarausgaben, eine Steigerungsrate von 3% ergibt.	I think that this figure clearly illustrates that the preliminary draft budget is in keeping with the overall policy of budgetary rigour, and that the rate of increase in payments as a whole, without agricultural expenditure, is 3%.
Ich darf darauf hinweisen, daß das durchschnittliche Wachstum, das für die Haushalte der Mitgliedstaaten prognostiziert ist, bei 3,1% liegt.	I should point out that the average growth forecast for the budgets of the Member States is 3.1%.
Ich betone das deshalb, weil dies in der Debatte mit dem Rat sicherlich eine große Rolle spielen wird.	I stress this because it will certainly play an important part during the debate with the Council.
Allerdings haben wir bei den Agrarausgaben auch ein sehr beträchtliches Wachstum im Haushaltsvorentwurf verankert, nämlich ein Wachstum von 7,6% oder, in absoluten Zahlen ausgedrückt, von insgesamt 3,12 Milliarden Euro.	However, we have included a considerable increase in agricultural expenditure in the preliminary draft budget, namely 7.6% or, in absolute terms, a total of EUR 3.12 billion.
Dies ist im wesentlichen die Folge der Beschlüsse, die auf dem Gipfel in Berlin von den Staats- und Regierungschefs im letzten Jahr gefaßt wurden, und diese Finanzielle Vorausschau, die vereinbart wurde, ist Bestandteil der Interinstitutionellen Vereinbarung zwischen Parlament, Rat und Kommission, die im letzten Jahr abgeschlossen wurde.	This is mainly as a result of the resolutions passed by the Heads of State and Government at the Berlin Summit last year and these agreed financial perspectives form part of the interinstitutional agreement concluded last year between the Parliament, the Council and the Commission.
Ich darf darauf hinweisen, daß diese Zahl für die Agrarpolitik schon einschließt, daß der Haushaltsentwurf für den Bereich der Agrarpolitik unterhalb der in Berlin beschlossenen Höchstgrenze bleibt, also den Vorschlag der Kommission beinhaltet, 300 Millionen aus diesem Agrarbudget in den Bereich der Außenpolitik umzuschichten; dennoch ergibt sich für die Agrarpolitik diese hohe Wachstumsrate.	I should point out that this figure for agricultural policy actually makes provision for the draft budget for agricultural policy to remain under the ceiling decided in Berlin because the Commission proposal includes shifting EUR 300 million from the agricultural budget to foreign policy, yet still there is such a high rate of growth for agricultural policy.
Summa summarum heißt dies, daß der Vorentwurf für das gesamte Zahlenwerk insgesamt eine Steigerungsrate von 3,9% bei den Verpflichtungsermächtigungen und 5% bei den Zahlungen vorsieht.	To sum up, the preliminary draft figures as a whole make provision overall for a rate of increase of 3.9% in commitment appropriations and 5% in payments.
Die Wachstumsrate bei den Zahlungen ist höher; das ist eben eine Folge davon, daß wir hohe Bugwellen von Zahlungsverpflichtungen vor uns her schieben und die Kommission zur Zeit der Meinung ist, daß diese nicht weiter anwachsen, sondern eher abgebaut werden sollten und insofern die Wachstumsrate bei den Zahlungen eben höher liegen muß.	The rate of growth of payments is higher because we have a large backlog of payment commitments and the Commission currently takes the view that this should not get any bigger; on the contrary it should be reduced, which is precisely why the rate of growth for payments needs to be higher.
Was heißt das für die Europastaatsquote?	What does this mean for the European state quota?
Damit meine ich, welcher Teil des gesamten Bruttosozialprodukts der Europäischen Gemeinschaft wird durch den Haushalt der Europäischen Union absorbiert?	By that I mean what proportion of the total gross national product of the European Community is absorbed by the European Union budget?
Wie hoch ist also die Europastaatsquote aufgrund von hohem Wachstum des Bruttosozialprodukts, das wir auch im nächsten Jahr für die Länder der Europäischen Gemeinschaft zu erwarten haben?	In other words, how high is the European state quota based on the strong growth in gross national product expected in the countries of the European Community next year?
Hier sind ja sehr positive Wachstumsaussichten vorhanden.	There are very positive growth prospects here.
Ist dieser Anteil des Bruttosozialprodukts am Haushalt von 1,11% im Jahr 2000 auf 1,07% im Jahr 2001 rückläufig?	Is the change in the ratio of gross national product to budget from 1.11% in the year 2000 to 1.07% in the year 2001 a step backwards?
Ich betone dies besonders, um auch deutlich zu machen - wir haben ja auch in den Mitgliedstaaten sehr intensive Debatten über die Staatsquoten, diese liegen ja zwischen 40 und 50% -, daß der europäische Haushalt 1,07% des gemeinsamen Bruttosozialprodukts ausmacht.	I highlight this - we also have extremely intensive debates in the Member States on state quotas, which are between 40 and 50% - in order to illustrate the fact that the European budget accounts for 1.07% of the total gross national product.
Dies zeigt sehr deutlich, daß der Haushalt der Europäischen Union - sage ich mal - sein Geld wert ist.	This clearly illustrates that the budget of the European Union is worth its weight in gold.
Eine neue Aufgabe für die Europäische Union ist mit dem Kosovo-Krieg und den Beschlüssen über den Stabilitätspakt auf dem Balkan entstanden.	The European Union acquired a new remit following the war in Kosovo and the resolutions on the Stability Pact in the Balkans.
Erneut hat der Rat in Lissabon betont, welche Bedeutung diese Aufgabe hat.	The Council stressed the importance of this remit once again in Lisbon.
Dies gilt es nun, finanziell abzusichern, und die Kommission hat deshalb entsprechend der Bedeutung dieser Aufgabe in ihrem Haushaltsvorentwurf einen Vorschlag unterbreitet.	Now we have to provide the funds and so the Commission has presented a proposal in its preliminary draft budget which reflects the importance of this remit.
815 Mio. Euro sind 2001 für die Hilfe für die westlichen Balkanstaaten vorgesehen, nach 540 Mio. in diesem Jahr.	EUR 815 million have been earmarked for aid to the western Balkans in 2001, following on from EUR 540 million this year.
Das ist die Hilfe, die für den Wiederaufbau der Zivilgesellschaft vorgesehen ist; sie umfaßt also nicht die Ausgaben, z.B. der Mitgliedstaaten, für die KFOR-Truppen.	This is the aid which has been earmarked in order to reconstruct the civil society, i.e. it does not, for example, include expenditure by Member States for KFOR troops.
Sind diese Ausgaben von 815 Mio. für die gesamte Region zu hoch angesetzt?	Is expenditure of EUR 815 million for the entire region too high an estimate?
Wir haben auch im Trilog mit dem Rat schon diese Debatte geführt; sind diese Länder absorptionsfähig für diese Zahl?	We have already discussed whether these countries are able to absorb this figure in the trialogue debate with the Council.
Ich glaube eigentlich, daß diese Debatte teilweise einen leicht zynischen Charakter hat, denn selbstverständlich ist der Bedarf sehr hoch; aber es ist natürlich eine politische Entscheidung der Haushaltsbehörde, wieviel sie an Hilfe aus dem europäischen Budget zur Verfügung stellen will.	I think that, to an extent, this debate is somewhat cynical because requirements are, of course, extremely high. But of course the political decision as to how much aid the budgetary authority wishes to provide from the European budget rests with the budgetary authority alone.
Ich darf darauf hinweisen, daß der Vorschlag für das Jahr 2001 für Serbien eine feste Zahl von 40 Mio. vorsieht.	I should point out that the proposal for Serbia for the year 2001 makes provision for a fixed sum of 40 million.
Die Kommission hat den Vorschlag gemacht, daß für den Fall, daß es eine Veränderung der politischen Verhältnisse in Serbien gibt, aus der Flexibilitätsreserve zusätzliche Mittel zur Verfügung gestellt werden.	The Commission has proposed that, if the political situation changes in Serbia, additional funds will be provided from the flexibility reserve.
Ich möchte aber auch noch einmal betonen, daß die Kommission in ihrem Vorschlag zur Änderung der Finanzplanung für den Zeitraum bis 2006 einen sehr hohen Betrag für Serbien vorsieht, und ich denke, daß wir in der Tat an Serbien, an die politische Opposition in Serbien, das Signal geben sollten, daß die Europäische Union bereit ist, mit großer finanzieller Hilfe vor Ort tätig zu sein, wenn es dort endlich demokratische politische Verhältnisse gibt.	But I should like to stress once again that the Commission has made provision for a very large sum for Serbia in its proposed amendment to the financial plan for the period up to 2006, and I think that we should send a signal to Serbia, to the political opposition in Serbia, that the European Union is prepared to come up with large sums of aid if and when political democracy becomes a reality.
Die Kommission hat zum ersten Mal einen Haushalt in Form von activity based budgeting vorgelegt, d.h., daß alle Ausgaben des Haushalts Politikbereichen zugeordnet wurden.	This is the Commission' s first budget in the form of activity-based budgeting; in other words, all budget expenditure has been allocated to political areas.
Jetzt ist also mit einem Blick erkennbar, wieviel für welchen Politikbereich ausgegeben wird.	Now we can see at a glance how much is being spent on which political areas.
Ich glaube, daß ist ein wesentlicher Schritt zu mehr Transparenz und sicherlich auch zu einer stärker politischen Debatte in der Öffentlichkeit, wenn also nicht mehr über Kategorien gesprochen wird; denn wer weiß denn schon außer uns hier im Raum und einer Handvoll Beamter in den Mitgliedstaaten und ein paar eingeweihten Journalisten, was zum Beispiel interne Politiken sind?	I think that it is an important step in the direction of greater transparency and stronger public political debate to stop talking in categories, because apart from us here in this House and a handful of officials in the Member States and a few well-informed journalists, who knows what internal policies are, for example?
Ich glaube, daß ABB, also dieser Vorschlag, diese neue Struktur wirklich die politische Diskussion auch in der Öffentlichkeit erleichtert.	I think that ABB, i.e. this proposal, this new structure, will really make public political debate much easier.
Wofür wird das Geld der Europäischen Union ausgegeben?	What is the European Union spending its money on?
