Herr Präsident! Ich möchte vor allem sagen, daß ich mit meinem Freund Dupuis einer Meinung bin.	Mr President, I should particularly like to say that I fully agree with my friend, Mr Dupuis.
Das Problem ist in Wirklichkeit die Persönlichkeit von Herrn Milosevic, so wie im Irak das Problem Saddam Hussein ist.	The real problem is Mr Milosevic, just as the problem in Iraq is Saddam Hussein.
Um Frieden zu schließen, braucht man zwei, um einen Krieg zu führen, reicht einer.	To make peace, you need two people: to wage war, one is sufficient.
Das sollten wir nicht vergessen.	We should not forget that.
Für uns bedeutet das zwei Dinge: Erstens, wir brauchen Glaubwürdigkeit auf unserer Seite, und wir müssen Glaubwürdigkeit beweisen, wenn wir von Demokratie sprechen.	In our view, that means two things: firstly, we need credibility on our side, and we need to demonstrate our credibility when we talk about democracy.
Demokratie im internationalen Leben ist nun einmal das Selbstbestimmungsrecht der Völker, von dem man sehr gerne spricht, aber wenn man einmal einen Krieg gewonnen hat, dann vergißt man es.	In an international context, democracy is nothing other than peoples' right to self-determination, which is something people love to talk about, but which, once they have won a war, they quickly forget.
Das hat sich immer wieder als ein Fluch für die Menschheit ausgewirkt.	This has time and again proved to be a curse for humanity.
Zweitens darf man sich keinen Illusionen hingeben, und da bin ich mit Herrn Titley einer Meinung: Ohne Militärpräsenz gibt es hier keine Befriedung.	Secondly, we should not labour under any illusions, and here I agree with Mr Titley: without a military presence, there will be no peace here.
Sie ist absolut notwendig.	It is absolutely essential.
Sie darf nicht unendlich ausgedehnt werden, sie muß aber da sein, sie muß fühlbar sein, und sie muß tatsächlich dafür sorgen, daß das, was unterschrieben oder was versprochen wurde, eingehalten wird.	It should not be prolonged indefinitely, but it must be there, it must be perceptible, and it must actually ensure that the commitments or promises signed up to are kept.
Wir wollen ja das serbische Volk gar nicht ausschließen, Serben sind auch Europäer, und sie werden auch einmal ein Recht haben, zu Europa zu gehören, aber das kann nur unter einem wirklich zivilisierten Regime und nicht unter einer totalitären Diktatur, wie es das System von Milosevic ist, der Fall sein.	We certainly do not want to shut out the Serbian people; Serbs are also Europeans and some day they too will have a right to belong to Europe, but that can only be the case under a genuinely civilised regime, and not under a totalitarian dictatorship, which is what Milosevic's system is.
Beifall	Applause
