Frau Abgeordnete, wir müssen uns, glaube ich, gar nicht so heftig streiten.	Mrs Pack, I really think we do not need to quarrel so bitterly.
Ich möchte nochmals betonen, daß für mich im Zusammenhang mit dem Kosovo wie auch mit Bosnien die Frage der Emotionalität keine geschlechtsspezifische oder gar eine diskriminierende Aussage war, weil ich mich da jeweils sehr emotional betroffen fühle.	Let me stress again that in connection with Kosovo, as also with Bosnia, I was not using the term emotional in any gender-specific or even discriminatory fashion, for I too feel very emotionally affected whenever I look at this issue.
Ich denke, wer sich damit beschäftigt, kann gar nicht anders.	I believe nobody who is concerned with it can feel otherwise.
Insofern verstehe ich auch, wenn man zwar aus Emotionalität handelt - im Zusammenhang mit Bosnien war Emotionalität gar nicht der schlechteste Ratgeber, wenn ich dies nochmals betonen darf -, aber man muß dann dennoch die Dinge zu Ende denken.	In that regard I can also understand people taking an emotional approach - and in the case of Bosnia emotion was not the worst counsellor, if I may point that out again - but nevertheless, we must think things through to the end.
Es nützt doch nichts, Frau Abgeordnete, zu sagen, es müsse dort eine internationale Truppe gegen den Willen der souveränen Regierung dieses Staates eingesetzt werden - in Bosnien gab es ja eine souveräne Regierung, die eine klare internationale Rechtsgrundlage für diese internationale Truppe geschaffen hat.	After all there is no point, Mrs Pack, in saying that an international force has to be deployed against the will of the sovereign government of that state, unlike the sovereign government of Bosnia which created a definite international legal basis for these international troops.
Dies ist ein Riesenproblem.	That is an enormous problem.
Eine internationale Truppe, die also zum ersten Mal auf dem Territorium eines von allen EU-Mitgliedstaaten und auch der internationalen Gemeinschaft anerkannten Staates gegen den Willen der dortigen Regierung interveniert, schafft ein großes Problem.	So it would create a great problem for an international force to intervene for the first time on the territory of a state recognised by all EU Member States and by the international community against the will of that state's government.
Zweiter Punkt: Beteiligung Rußlands.	My second point concerns the participation of Russia.
Zum gegenwärtigen Zeitpunkt vertreten die Russen ja die gegenteilige Position.	At this moment in time the Russians in fact take the opposite view.
Eine solche Beteiligung werden Sie jetzt nicht bekommen.	You will not get them to participate now.
Dritter Punkt: Mit welchem Ziel?	Thirdly, what is the aim?
Sezession?	Secession?
Nur, was heißt Sezession?	But what does secession mean?
Was heißt dies, wenn ein Drittel der makedonischen Bevölkerung albanischer Herkunft ist?	What does it mean, when one third of the population of Macedonia is of Albanian origin?
Das sind doch alles nur Fragen, um Ihnen klarzumachen, daß es uns in unserem gemeinsamen Interesse überhaupt nichts bringt, wenn wir hier jetzt einen Scheinschlagabtausch führen.	These are all just questions, in order to make it clear that it will do nothing for our common interests if we seem to be exchanging blows on this issue.
Das sind ja Fragen, die sich alle Verantwortlichen täglich hundertmal stellen.	For these are questions which all the responsible parties ask themselves a hundred times a day.
Gerade meine Fraktion und auch der neue Menschenrechtsbeauftragte der Bundesregierung, der frühere Abgeordnete Popper, haben sich nun wirklich seit Jahren dafür eingesetzt, daß wir uns im Kosovo stärker engagieren und dort mit Lösungen vorankommen.	In fact my group and also the German Government's new human rights representative and former deputy, Mr Popper, really have spent years trying to persuade the EU to become more closely involved in Kosovo and to make progress with seeking solutions there.
Wir haben uns in einer Zeit, in der die UCK noch nicht existierte, dafür eingesetzt, daß Rugova gestärkt wird, und vieles mehr.	At a time when the KLA did not yet exist we were calling for more support to be given to Rugova, among many other things.
Es kam leider nicht so, wie wir es uns gewünscht hätten.	Unfortunately things did not go as we wished.
Heute haben wir eine andere Situation.	Today the situation is different.
Aber wir haben uns bemüht.	But we have tried.
Wir hatten die albanischen Gesprächspartner in Bonn, wir halten engen Kontakt.	We invited the Albanian interlocutors to Bonn and we are remaining in close contact.
Doch es ist auch offensichtlich, daß es auf albanischer Seite natürlich die Überlegung gibt, daß man den Westen für die eigenen strategischen Ziele einsetzen kann, Ziele, die der Westen nicht teilt.	But it is also apparent that the Albanian side is of course thinking it can use the West for its own strategic ends, for goals the West does not endorse.
Das müssen Sie auch wissen.	You must realise that too.
Doch die westliche Staatengemeinschaft setzt sich für ein Autonomiestatut ein, welches wir für dringend notwendig halten.	The Western community of states is in favour of an autonomous status, which we consider urgently necessary.
Ob und inwieweit das eine historische Perspektive hat, ist eine legitime Frage, die freigewählte ParlamentarierInnen aufwerfen.	Whether and to what extent there is any historical prospect of achieving that is a legitimate question, raised by freely elected Members of the European Parliament.
Daß darüber diskutiert wird, daß man diese Probleme auch in der Öffentlichkeit anspricht, halte ich angesichts der Erfahrungen, die wir gemacht haben, für selbstverständlich.	In view of the experiences we have had, I consider it only natural that it should be discussed, that these issues should also be aired publicly.
Nur wenn ich es praktisch zu Ende denke, Frau Abgeordnete - und ich bitte Sie, meine Haltung nicht als unziemliche Kritik an Ihrer Position mißzuverstehen, für die ich viel Verständnis habe - dann führt an einer Stabilisierungsstrategie, so unvollkommen sie gegenwärtig auch sein mag, kein Weg vorbei.	But when I think of the practical end results, Mrs Pack - and I beg you not to misunderstand my words as any unseemly criticism of your position, for which I have great sympathy - I believe there is no option other than a strategy of stabilisation, however imperfect it may be at present.
Und dabei gewinnen das Erreichen und dann die Implementierung einer gemeinsamen, von Kosovaren und der jugoslawischen Seite getragenen politischen Übergangslösung für den Kosovo eine zentrale Bedeutung.	And in that context, the achievement followed by the implementation of an interim political settlement for Kosovo, endorsed by the Kosovar and the Yugoslav side, is of central importance.
Aus meiner Sicht gibt es zu dieser Stabilisierungsstrategie nur schlechtere Alternativen.	In my view there are only worse alternatives to this strategy of stabilisation.
Deswegen habe ich Ihnen hier dargelegt, daß wir mit aller Kraft an einer friedlichen Lösung arbeiten müssen, gemeinsam mit unseren Partnern in der Kontaktgruppe, aber auch in der Europäischen Union und in anderen Institutionen.	That is why I have explained to you that we must do our utmost to bring about a peaceful solution, working together with our partners in the Contact Group, but also in the European Union and in other institutions.
Norwegen, das den OSZE-Vorsitz innehat, ist dabei selbstverständlich genauso gemeint wie alle anderen, die sich darum bemühen.	I am of course thinking just as much of Norway, which holds the presidency of the OSCE, as of all the others who are endeavouring to bring this about.
