Herr Präsident, meine Damen und Herren, Frau Kommissarin!	Mr President, ladies and gentlemen, Madam Commissioner.
Auch wenn die Ansichten hier und dort nicht immer ganz deckungsgleich sind, hat das Europäische Parlament aus seiner Sicht bereits alles zur Notwendigkeit der klaren und umfassenden Kennzeichnung von Lebensmitteln und Zutaten gesagt, bei denen Gentechnik im Spiel ist.	Even if the various opinions expressed do not always totally coincide, the European Parliament seems to consider that it has already said the last word on the need for clear and full labelling of foodstuffs and ingredients affected by genetic engineering.
So betrachtet, wäre die heutige Debatte eigentlich überflüssig und Zeitverschwendung durch Wiederholung.	If that were true, today's debate would be superfluous and a repetitive waste of time.
Aber aus meiner Sicht und aus der Sicht meiner Fraktion ist diese Debatte dringend geboten.	However, my view and that of my group is that this debate is urgently needed.
Wir lassen uns nämlich die Art und Weise nicht gefallen, in der die Kommission das sensible Thema der Kennzeichnung gentechnisch beeinflußter Nahrungsmittel behandelt und wie wenig ernst sie zumindest manchmal Verordnungen des Rates und des Parlaments nimmt.	We are unhappy about the way the Commission is handling the sensitive subject of labelling genetically modified foods and the scant regard it pays - sometimes at least - to Council and Parliament regulations.
Landauf landab beziehen wir als Abgeordnete des Europäischen Parlaments Prügel, die die Kommission verdient hat.	We as Members of the European Parliament are being criticized from all quarters when it is the Commission which is actually at fault.
Die europäische Kommission hat die Bürgerinnen und Bürger mit einem Verwirrspiel um die Kennzeichnung gentechnisch veränderter Lebensmittel enttäuscht.	The European Commission has let our citizens down by causing confusion about the labelling of genetically modified foods.
Es geht nicht an, die zu Recht geforderte Kennzeichnungspflicht in Verordnungen hineinzuschreiben und diese dann nicht wirksam werden zu lassen.	It is not acceptable to stipulate justifiably demanded labelling requirements in a regulation and then not implement the regulation.
Als Verbraucherin hätte ich noch in diesem Frühjahr angenommen, mit der novel food -Verordnung seien wir über den Berg.	As a consumer, I assumed back at the beginning of this year that we had passed a turning point with the novel foods regulation.
Jetzt würden neuartige, insbesondere technisch veränderte Nahrungsmittel klar und umfassend gekennzeichnet.	I assumed that novel, and in particular technically modified, foodstuffs would be clearly and fully labelled.
Pustekuchen!	Not a bit of it!
Die marktrelevanten Produkte mit Genmais und Gensoja galten nicht mehr als neu.	The relevant products containing genetically modified maize and soya are no longer considered new.
Das Nachbessern mit der Verordnung, die am 1. November in Kraft getreten ist, hat nichts geholfen.	The attempt to improve matters by means of the Regulation that came into force on 1 November has not helped.
Da fehlen die Leitlinien zur Handhabung mit dem Ziel eines in der ganzen Europäischen Union gleichhohen Schutzniveaus für die Verbraucher und dem Ziel der Rechtssicherheit für Hersteller und Händler.	It does not include the guidelines on implementation needed to ensure a uniform protection level throughout the European Union and legal certainty for manufacturers and traders.
Aber es kam noch schlimmer.	And it gets worse.
Die Verordnung 81/13 wird erst gar nicht wirksam, sondern durch eine nochmals veränderte Fassung ersetzt werden.	Regulation 81/13 will not even come into force, instead it will be replaced by a further amended version.
Wie kann man so etwas einem Durchschnittsmenschen, den Verbrauchern und Verbraucherinnen erklären, noch vermitteln?	How can you explain all this to the average consumer?
Frau Kommissarin, die Art der Kennzeichnung, die Sie uns dargestellt haben, scheint mir die richtige zu sein.	Madam Commissioner, I believe that the type of labelling that you have described is correct.
Aber Sie haben folgende Frage nicht beantwortet: Warum konnte Sie nicht zum 1. November bereits tatsächlich in Kraft treten, nachdem wir die novel food -Verordnung und die Diskussion zur Kennzeichnung immerhin mehr als fünf Jahre lang geführt haben?	But you have not answered the following questions: why could it not actually come into force on 1 November, given that we had been discussing the novel foods regulation and labelling for over five years?
Es war genügend Zeit, die Vorklärungen, die Vorgespräche zu führen, auch wenn man nicht von vornherein ganz genau wissen konnte, wie es aussehen würde.	There was time enough for preparatory discussions and clarification, even if it was not quite clear at the outset what form it would take.
Aber daß die Kennzeichnung kommen wird und muß, das war von vornherein klar.	But it was always evident that labelling would and must come.
Also, warum ging das nicht?	So why was that not possible?
Warum geht es erst zum 1. Februar oder erst zum März, nachdem schon sehr viele neue Produkte auf dem Markt sein werden?	Why is it not possible until 1 February or even March, when so many new products will already be on the market?
Wird diese Verordnung, wenn sie dann in Kraft tritt, etwa für die zu diesem Zeitpunkt neuen Produkte in Kraft treten?	If this regulation does come into force then, will it apply to products which are new at that time?
Das ist auch noch eine absolut ungeklärte Frage.	This issue has not been resolved at all.
Ich bitte darum, auch den dritten Punkt nicht zu übersehen, bei dem es um die Nachweisproblematik und Analysemethoden geht.	I would ask you not to forget the third point, the problems surrounding methods of detection and analysis.
Es gibt nämlich geeignete Methoden, auch bei Mais- und Sojaprodukten gentechnische Eingriffe nachzuweisen.	Suitable methods do in fact exist for detecting genetic modification of maize and soya products.
Auch eine zögerliche Kommission hat daher kein Recht den Verbrauchern eine umfassende, in allen Ländern einheitliche Kennzeichnung noch länger vorzuenthalten.	So even if it is slow to act, the Commission has no justification for denying consumers any longer a comprehensive labelling system consistent across all Member States.
Aus Verbrauchersicht spricht nichts mehr gegen, sondern alles für eine lückenlose Kennzeichnung unserer Nahrung.	From the consumer's point of view, there is now nothing to stop comprehensive labelling of our food, and it has everything going for it.
Deshalb bleibt meine Fraktion dabei.	That is why my group is being so tenacious about this.
Die Kaufentscheidung muß informierten Verbrauchern überlassen bleiben, die nicht der Gnade einer Bürokratie ausgeliefert sind.	Consumers ought to be making purchasing decisions armed with proper information, not at the mercy of bureaucrats.
