Herr Präsident, Frau Schreyer und Hohes Haus! Gesucht werden 32 Millionen Euro, wer hilft?	. Mr President, Mrs Schreyer, ladies and gentlemen, EUR 32 million are needed.
Herr Mulder ist willig, wer noch?	Who can help? Mr Mulder is willing, who else?
Vielleicht auch die Kommission oder der Rat?	The Commission or the Council perhaps?
Alle Jahre wieder gehen wir durch die Mühlen des Haushaltsverfahrens, leider können nicht alle Wünsche erfüllt werden.	Every year we go through the rigmarole of the budget procedure again and unfortunately not everyone's wishes can be met.
Als Berichterstatterin für den Fischereiausschuss bedauere ich natürlich, dass unsere Wünsche zudem nicht unbedingt die höchste Priorität haben.	As rapporteur for the Committee on Fisheries, I naturally also regret that our wishes do not necessarily have top priority.
Das Haushaltsverfahren 2004 stellt jedoch in zweierlei Hinsicht eine Besonderheit dar.	The 2004 budget procedure is, however, unusual in two respects.
Zunächst ist es der erste Plan, der nach dem System activity based budgeting aufgestellt wurde, eine von mir sehr begrüßte Verbesserung, erlaubt sie uns doch einen klaren Überblick ohne aufwändiges Blättern durch die Haushaltslinien, nicht zuletzt im Bereich Fischerei.	Firstly, it is the first one to be drawn up using activity-based budgeting; this is an improvement that I very much welcome, since it gives us a clear overview without having to spend a lot of time leafing through the budget lines, especially in the area of fisheries.
Zweitens haben wir die ungewöhnliche Situation vor uns, dass der Haushaltsplan vom 1.1.2004 bis zum 30.4.2004 für die gegenwärtigen 15 Mitgliedstaaten gelten wird, ab dem 1.5.2004, dem Datum des Beitritts von zehn neuen Ländern, jedoch schon für 25 Mitgliedstaaten.	Secondly, we are faced with the unusual situation that from 1 January 2004 until 30 April 2004 the budget will apply to the present 15 Member States, but from 1 May 2004, the date of accession of ten new countries, it will apply to 25 Member States.
Wir erweitern und haben die Hausaufgaben noch nicht gemacht.	We are enlarging and have still not done our homework.
Die Situation ist bedrohlich!	The situation is alarming.
Angesichts der dramatischen Lage der Fischbestände hat der Rat, nicht zuletzt auf eindeutige Signale aus dem Parlament, nach langem Gezerre der Reform der Gemeinsamen Fischereipolitik im vergangenen Dezember zugestimmt.	In the light of the catastrophic state of fish stocks, last December the Council agreed, after much dragging of feet, to the reform of the common fisheries policy, not least because of clear promptings from Parliament.
Ein Hauptbestandteil war dabei die Einrichtung eines so genannten Abwrackfonds, der noch 2003 starten sollte.	One of the most important features of this was the creation of a 'scrapping fund', which was to start before the end of this year.
Bisher hat der Rat jedoch kein grünes Licht für die Verwendung des Flexibilitätsinstruments gegeben.	So far, however, the Council has not given the green light for the use of the flexibility instrument.
Das ist nicht nachvollziehbar.	That is hard to understand.
Ich fordere deshalb dringend, diesen Punkt im Konzertierungsverfahren ab 16. Juli zur Sprache zu bringen und überhaupt den Standpunkt des Rates zur Finanzierung der Reform der GFP zu erfahren.	I therefore call urgently for this point to be raised in the conciliation procedure beginning on 16 July, so that we can at least learn what position the Council takes on financing reform of the common fisheries policy.
Ich entlasse keineswegs die Mitgliedstaaten aus ihrer Verantwortung!	I am by no means releasing the Member States from their responsibility.
Aber es kann nicht sein, dass der Rat unter Hinweis auf die mangelnde Bereitschaft aus den Mitgliedstaaten, entsprechende Angaben zu machen, einem Hauptanliegen der Reform nicht entspricht.	But we cannot allow the Council to use the Member States' unwillingness to provide the relevant information as an excuse for blocking one of the main purposes of the reform.
Ich bitte um Unterstützung unserer Anträge!	Please give us your support.
