Herr Präsident! Ich bitte um Entschuldigung, dass ich nochmals das Wort ergreife.	Mr President, I apologise for taking the floor once again.
Das kommt selten in meinem Leben vor, aber wir sind hier nicht auf dem Jahrmarkt.	It is a rare event in my life, but we are not at a fun fair here.
Herr Minister, das Abkommen ist am 13. Januar im Amtsblatt der Europäischen Union veröffentlicht worden.	Mr López Garrido, the agreement was published in the Official Journal of the European Union on 13 January.
Sie sind daran nicht schuld, aber wenn Sie uns jetzt sagen: "Ich muss mich erst mal erkundigen, in welchen Sprachfassungen das Ding vorliegt", dann muss ich jetzt noch einmal feststellen, das hier ist keine Freizeitveranstaltung zur gegenseitigen Erfreuung von Abgeordneten und Ministern.	You are not responsible for that, but if you now say to us 'I need first to find out which language versions are available' then I have to say again that this is not a recreational event for the mutual enjoyment of MEPs and ministers.
Das ist eine Gesetzgebungskammer, in der seriöse Arbeit erforderlich ist!	This is a legislative chamber in which serious work is required!
Und jetzt will ich Ihnen etwas sagen, nicht der spanischen Präsidentschaft, aber dem Rat: Die Art und Weise, wie der Rat mit diesen Themen umgeht, zeigt, dass ihm das Parlament schnurzpiepegal ist.	I would now like to say something to you - not to the Spanish Presidency, but to the Council - and that is that the way in which the Council has dealt with these matters shows that it has no regard for Parliament whatsoever.
Jetzt ist die Zeit gekommen, dem Rat zu sagen: Diese Spielchen sind aus!	The time has now come for us to say to the Council that these little games are finished.
Es gibt ein seriöses Gesetzesverfahren - dazu gehört in Europa natürlich, dass alle Akten, alle Dossiers in allen Sprachfassungen zu Beginn des Verfahrens vorhanden sind, und nicht, dass wir nach einem vermeintlichen Ende mit der Wünschelrute auf die Suche nach den Akten gehen müssen.	There is a serious legislative procedure - in Europe, this, of course, involves all documents and all dossiers being available in all languages at the start of the procedure and does not mean that we have to go in search of the documents with a divining rod after the procedure has supposedly finished.
Das ist kein seriöses Verfahren.	This is not a sound procedure.
Ich verlange jetzt von Ihnen, dass Sie uns sagen, welche Sprachfassungen vorlagen, als das Abkommen am 13. Januar im Amtsblatt veröffentlicht worden ist.	I ask you now to tell us which language versions were available when the agreement was published in the Official Journal on 13 January.
Das will ich jetzt hochoffiziell für unsere Fraktion wissen!	That is something that I am now formally requesting to know on behalf of our group.
