im Namen der Verts/ALE-Fraktion. - Herr Präsident, sehr geehrte Damen und Herren!	Mr President, ladies and gentlemen, what is this all about?
Worum geht es hier? Unter anderem geht es darum, Rechte für Menschen mit Mobilitätsbehinderungen auch bei der Benutzung von Schiffen oder von Bussen festzuschreiben und diese Möglichkeiten endlich über diese Initiative zu verbessern.	Among other things, it is about establishing rights for people with restricted mobility who wish to travel by boat or by bus and about using this initiative to improve their travel opportunities at last.
Dazu sind wir auch verpflichtet.	We have an obligation to do this.
Schließlich haben wir unter großem Pomp auch die Konvention für die Rechte von behinderten Menschen im europäischen Raum gestärkt, und das sollte uns eine Verpflichtung sein.	We have made a great fanfare about finally strengthening the Convention on the Rights of Disabled People within Europe and we should now be under an obligation to implement it.
Zu den beiden Dossiers: In Bezug auf das Dossier über die Buspassagiere bin ich über die Haltung des Rates wirklich traurig und extrem enttäuscht.	On the subject of the two dossiers, I would like to say with regard to the dossier on bus and coach passengers that I am really sad and very disappointed by the Council's attitude.
Denn eines muss klar sein: Das, was hier immer ins Treffen geführt wird, dass das dem Schutz der Klein- und Mittelbetriebe dient, ist nur ein kleiner Aspekt.	It is important to make one thing clear. The fact that what has been proposed here will protect the interests of small and medium-sized companies is just one small aspect of the whole thing.
Es ist generell der Unwillen, dort hinzuschauen, wo es schwierig wird.	What concerns me is the unwillingness to tackle difficult issues.
Deswegen ist es meines Erachtens dringend notwendig, nicht Übergangszeiträume von fünfzehn/zwanzig Jahren zu ermöglichen, sondern den Menschen ein klares Signal zu geben, dass sie Rechte haben, an der Mobilität teilzunehmen.	Therefore, in my opinion, what we urgently need is not transition periods of 15 to 20 years but a clear signal to people that they have the right to use the transport system.
Das zweite Dossier, das mit großer Mehrheit beschlossen werden wird, sind die Rechte auf dem Schiff.	The second dossier, which will be adopted with a large majority, concerns the rights of passengers on ships and boats.
Das hat eine ganz große Lücke, auf die ich hier noch einmal deutlich aufmerksam machen will.	This contains a large loophole, which I would like to highlight once again.
Es wird das Schiff geregelt, nicht jedoch der Hafen.	The regulation covers ships, but not ports.
Das heißt, dass ein Rollstuhlfahrer sich sozusagen von seinem Wagen oder von den Menschen, die ihn hinbringen, zum Schiff beamen muss, wo er dann wieder Rechte hat, denn im Hafen selbst wird nichts geregelt.	This means that a person in a wheelchair will have, as it were, to beam himself on board ship from his car or from the car belonging to the people who have brought him to the port. Once he is on the ship, he will have rights again, but the port itself is not governed by the regulation.
Hier sehe ich ein Problem; das können wir so nicht dulden.	I think that this is a problem that we should not be prepared to tolerate.
Machen wir Nägel mit Köpfen für mobilitätsbehinderte Menschen!	Let us make sure that we do the job properly for people with restricted mobility.
