Herr Präsident, sehr geehrte Berichterstatterin, sehr geehrte Abgeordnete! Wie sicher ist der Euro?	Mr President, Mrs Cederschiöld, ladies and gentlemen, how safe is the euro?
Das ist ja eine Frage, die von der Bevölkerung sehr häufig gestellt wird.	That is, after all, a question the people often ask.
Diese Frage wird natürlich mit Näherrücken des 1.1.2002 um so dringlicher gestellt werden, des Termins, an dem in den Geldbörsen der Euro sein wird.	And that question will of course become increasingly pressing with the approach of 1 January 2002, the date when they will have euros in their pockets.
Die Frage, wie sicher der Euro ist, betrifft eben nicht nur die Stabilität der Währung und den Außenwert0 der Währung, sondern sie betrifft eben auch die Frage des Schutzes des Euro vor Fälschungen.	For the safety of the euro is not just a matter of the stability and external value of the currency but, in fact, also of protecting the euro against counterfeiting.
Auch das bewegt die Bevölkerung, denn dieses Geld wird ja, wie zu Recht gesagt wurde, eben für die Bürgerinnen und Bürger neu sein, sowohl optisch neu sein als auch von der Frage der Handhabung her.	That too is a concern of the people, for, as has rightly been said, this will be a new currency for them, new in terms of how it looks and also how it is used.
Es wird natürlich auch eine neue Tatsache sein für alle Bürgerinnen und Bürger der Mitgliedstaaten, daß ihre Währung in einem so viel größeren Gebiet gültig ist und eben auch als Leitwährung über Europa hinaus.	Of course all the citizens of the EU Member States will also be faced with the novelty of a currency that is valid over such a wider area, and even beyond Europe, as a reserve currency.
Auch daran wird man sich erst gewöhnen müssen.	They will need time to get used to that too.
So ist es klar, daß die Frage gestellt wird, was die EU unternimmt, um den Euro vor Geldfälschung zu sichern.	So it is clearly necessary to ask what the EU is doing to protect the euro against counterfeiting.
Darum geht es ja zu dieser späten Stunde.	And that is what we are discussing at this late hour.
Es ist eigentlich wirklich ein Thema, das bürgernah ist. Insofern ist es bedauerlich, daß es zu so später Stunde stattfindet.	This really is a subject that is close to the citizen, so it is a pity it is being debated at such a late hour.
Aber es muß ja sein.	But that cannot be helped.
Selbstverständlich befaßt sich die Europäische Zentralbank schon sehr lange mit dem Thema.	Of course, the European Central Bank has been looking into the matter for a very long time.
Die Zentralbank ist ja für die technische Fälschungssicherheit zuständig.	After all, it is responsible for technical measures to protect against counterfeiting.
Die Kommission hat - auch darauf wurde schon hingewiesen - im Sommer 1998 eine Mitteilung vorgelegt, in der die verschiedensten Bereiche aufgelistet wurden, in denen Maßnahmen notwendig sind, nämlich im Bereich der Information, im Bereich der Fortbildung - ein wichtiger Punkt -, im Bereich der Zusammenarbeit zwischen den Euro-Staaten und natürlich der Zusammenarbeit darüber hinaus und im Bereich der strafrechtlichen Maßnahmen.	As has also been pointed out, in summer 1998 the Commission submitted a communication listing a very wide variety of areas where measures need to be taken, such as information, further training - an important area, cooperation between the euro-states and of course even beyond them, and measures under criminal law.
Darum geht es bei dem vorliegenden Rahmenbeschluß.	That is what this framework decision is about.
Frau Berichterstatterin, ich möchte mich im Namen der Kommission sehr herzlich bei Ihnen bedanken, und vor allen Dingen möchte ich mich auch beim Parlament dafür bedanken, daß Sie innerhalb dieser kurzen Zeit bereit waren, die Stellungnahme zu erarbeiten.	Mrs Cederschiöld, let me offer you sincere thanks on behalf of the Commission and, above all, let me also thank Parliament for being prepared to give its position in the space of such a short time.
Ich weiß das sehr wohl zu schätzen.	I certainly appreciate that.
In dem Rahmenbeschluß geht es darum, daß die Mitgliedstaaten eine gleiche Definition von Geldfälschungsdelikten anwenden.	The framework decision aims to ensure that the Member States apply the same definition of counterfeiting offences.
Das ist natürlich immer die erste Voraussetzung, die gleichen Definitionen zu haben, um überhaupt zu gleichem Handeln zu kommen, und es geht, wie betont wurde, im wesentlichen darum, daß der Schutz des Euro schon vor seiner physischen Einführung sichergestellt ist.	Of course the first condition for uniform action is always to have uniform definitions and, as was emphasised, what we are basically trying to do is to ensure that the euro is protected even before it is physically introduced.
Natürlich ist die Kommission auch dankbar dafür, daß durch die schnelle Entscheidung des Europäischen Parlaments - und ich hoffe, daß so abgestimmt werden wird - auch der Rahmenbeschluß jetzt möglichst schnell in Kraft treten kann, damit die Umsetzungsschritte eingeleitet werden können.	Naturally, the Commission is also glad that the European Parliament' s prompt decision - and I hope the vote will be in favour - means the framework decision can enter into force very rapidly now, so that we can begin to transpose it.
Die Kommission ist ja aufgefordert und wird zur ersten Hälfte des nächsten Jahres einen Bericht darüber vorlegen, wie es denn mit der Umsetzung in den Mitgliedsstaaten steht, ob tatsächlich auch die Ernsthaftigkeit des Themas sich dann im entsprechenden Handeln niederschlägt.	For the Commission has been asked to report, as it will in the first half of next year, on the progress in transposing it in the Member States, on whether the serious nature of this issue is being matched by serious action.
Es wurde darauf hingewiesen, daß dieser Rahmenbeschluß eben ein Beschluß im Bereich des Strafrechts ist.	It has been pointed out that this framework decision is in fact a decision in the area of criminal law.
Insofern muß man diese Neuerung, diesen Schritt anerkennen, auch wenn Sie, Herr Schulz, darauf hingewiesen haben, daß insgesamt durch die Ergänzung dieses ziemlich alten Abkommens der Schritt nicht allzu mutig ist.	In that respect we must recognise this innovation, this step, even if, as Mr Schulz just pointed out, simply supplementing a rather old convention is not really a particularly bold step.
Zu Ihrer Frage, ob die Kommission der Meinung ist, daß der Rahmenbeschluß auf einer ausreichenden Rechtsgrundlage gemäß dem Vertrag beruht: Die Kommission ist der Meinung, daß hier die richtige Grundlage Anwendung findet.	In reply to the question whether the Commission considers that the framework decision has an adequate legal basis under the Treaty, the Commission believes that the right basis is being applied here.
Der Rahmenbeschluß wird allerdings dann in der Folgezeit durch weitere Rechtsakte ergänzt werden müssen.	The framework decision will, however, have to be supplemented by other legal acts in future.
Die Kommission wird einen Verordnungsvorschlag zur Zusammenarbeit aller zuständigen Behörden und zur Zusammenarbeit mit Europol vorlegen.	The Commission will submit a proposal for a regulation on cooperation between all the responsible authorities and on cooperation with Europol.
Dieser Vorschlag soll eine Pflicht der Zusammenarbeit vorsehen und die Pflicht der nationalen Behörden regeln, Fälle von Geldfälschung an Europol zu melden und beschlagnahmtes Falschgeld der Europäischen Zentralbank zur Identifikation und zur Klassifizierung vorzulegen, um dann eben wirksam Maßnahmen diesbezüglich ergreifen zu können.	That proposal will establish a duty to cooperate, and a duty on the part of the national authorities to notify Europol of cases of counterfeiting and to present any confiscated counterfeit money to the European Central Bank for identification and classification, so that effective measures can then be taken.
Zu der Frage der Koordination der verschiedenen Maßnahmen: Seit Anfang 1998 arbeitet die Kommission und hier jetzt in der Folge OLAF mit den entsprechenden Experten der Mitgliedstaaten, der Europäischen Zentralbank, von Europol zusammen, um effektiv Fälschungen des Euro schon im Vorfeld bekämpfen zu können.	On the question of coordinating the various measures, since early 1998, the Commission, followed now by OLAF, has been working with experts on the subject from the Member States, the European Central Bank and Europol on means of effectively combating counterfeiting of the euro in advance.
Von seiten der Kommission wurde auch vor wenigen Wochen - und Sie, Herr Karas, hatten eben darauf hingewiesen - der Vorschlag für eine Informationskampagne über den Euro vorgelegt mit einer vorgeschlagenen Mittelausstattung von immerhin 32 Millionen Euro.	As Mr Karas just pointed out, a few weeks ago the Commission submitted a proposal for an information campaign on the euro, to which it proposed allocating as much as EUR 32 million.
Das ist ja ein Mittelvolumen, das sehr wirksam eingesetzt werden kann, also ein großes Mittelvolumen; und natürlich wird es bei dieser Informationskampagne auch an ganz wichtiger Stelle um die Sicherheit des Euro vor Fälschung gehen.	That is a volume of funding that can be put to very effective use, a large amount; and of course the information campaign will also focus very strongly on protecting the euro against counterfeiting.
Ich denke, daß diese Debatte auch dazu beiträgt, daß alle Geldfälscher, die glauben, daß zu so später Stunde ihre Stunde gekommen sei, weil die EU nicht mehr wacht, durch diese Debatte kurz vor Mitternacht eines Besseren belehrt werden!	I believe that this debate shortly before midnight will also teach a salutary lesson to all those counterfeiters who believe their hour has come, because they think the EU is no longer awake at this late hour!
