amtierender Ratspräsident.	President-in-Office of the Council.
Frau Präsidentin, sehr geehrter Herr Kommissar, liebe Kolleginnen und Kollegen! Bei diesem Thema, bei dem es um Verfahrensfragen geht, sollten wir zunächst nicht das erfreuliche Ergebnis der Konvergenzberichte der Kommission und der Europäischen Zentralbank zu Zypern und Malta vergessen.	Madam President, Commissioner, ladies and gentlemen, as we begin this debate, which is about procedural issues, we should firstly not forget the pleasing conclusions of the Convergence Reports published by the Commission and the European Central Bank on Cyprus and Malta.
Die Präsidentschaft begrüßt es sehr, dass die Kommission feststellen konnte, dass Zypern und Malta ein hohes Maß an dauerhafter Konvergenz erreicht haben und sie auf dieser Grundlage Vorschläge zur Euro-Einführung in diesen beiden Ländern vorlegen konnte.	The Presidency is delighted that the Commission was able to establish that Cyprus and Malta have reached a high level of durable convergence and that, on this basis, it has been able to table proposals for the euro to be introduced in these two countries.
In der Sitzung des Rates am 5. Juni 2007 haben die Wirtschafts- und Finanzminister die Einschätzung der Kommission einvernehmlich geteilt, dass Zypern und Malta die Voraussetzungen für die Einführung des Euro erfüllen.	At the meeting of the Economic and Financial Council on 5 June 2007, ministers endorsed the Commission's assessment that Cyprus and Malta meet the conditions for the euro to be introduced.
Die Präsidentschaft würde es daher sehr begrüßen, wenn der Erfolg Zyperns und Maltas nicht von Verfahrensfragen überlagert wird und Europäisches Parlament, Kommission und Rat zu einer einvernehmlichen Lösung kommen.	The Presidency would therefore be very glad if Cyprus and Malta's success were not overshadowed by procedural issues and if the European Parliament, the Commission and the Council could reach an amicable solution.
Es liegt in unser aller Interesse, Unsicherheiten und Verzögerungen bezüglich der technischen und rechtlichen Vorbereitungen Zyperns und Maltas auf die Einführung des Euro zu vermeiden.	It is in all of our interests to avoid delaying or creating any uncertainty about the technical and legal preparations that Cyprus and Malta need to make for the introduction of the euro.
Ich danke dem Europäischen Parlament ausdrücklich für seine Bereitschaft zur Zusammenarbeit.	I should particularly like to thank the European Parliament for its willingness to cooperate.
Die Präsidentschaft hat Verständnis für das Anliegen des Europäischen Parlaments und versteht den Wunsch, mehr Zeit für eine Prüfung von Konvergenzberichten und Vorschlägen der Kommission für Ratsentscheidungen über die Einführung des Euro zur Verfügung zu haben.	The Presidency has sympathy for the European Parliament's concerns and understands why it wants to have more time to examine the Convergence Reports and the Commission's proposals for Council decisions on the introduction of the euro.
Allerdings sind der Rat und die Präsidentschaft an die im EG-Vertrag festgelegten Verfahren gebunden.	However, the Council and the Presidency are bound by the procedure laid down in the EC Treaty.
Der Zeitplan ist im Wesentlichen von den Regelungen des Stabilitäts- und Wachstumspaktes einschließlich der Maastricht-Meldeverordnung vorgegeben.	The timetable is essentially determined by the rules laid down in the Stability and Growth Pact, including the Maastricht reporting regulation.
Die Verpflichtung des Rates, das Europäische Parlament zu Vorschlägen für die Einführung des Euro in Mitgliedstaaten zu konsultieren, ist in Artikel 122 Absatz 2 des EG-Vertrags niedergelegt.	The Council's obligation to consult the European Parliament on proposals for the euro to be introduced in Member States is laid down in Article 122(2) of the EC Treaty.
Die Präsidentschaft ist der Ansicht, dass der Rat im Falle Zyperns und Maltas diese Bestimmung des EG-Vertrags respektiert hat.	The Presidency believes that the Council has respected this provision of the EC Treaty in the cases of Cyprus and Malta.
Der Rat hat die beiden Kommissionsvorschläge für Ratsentscheidungen am 21. und 22. Mai 2007 erhalten, jeweils in drei Sprachfassungen.	The Council received both Commission proposals for Council decisions on 21 and 22 May 2007, each in three language versions.
Die übrigen Sprachfassungen wurden dem Rat im Laufe der folgenden beiden Wochen übermittelt.	The remaining language versions were transmitted to the Council in the course of the subsequent two weeks.
Am 25. Mai hat der Rat das Europäische Parlament zu den beiden Vorschlägen der Kommission konsultiert.	On 25 May the Council consulted the European Parliament on the two Commission proposals.
In seinem Konsultationsersuchen hat der Rat darauf hingewiesen, dass es wünschenswert sei, wenn das Europäische Parlament seine Stellungnahmen zu den Vorschlägen der Kommission auf seiner Plenarsitzung vom 18.-21. Juni beschließen könnte.	In its request for consultation, the Council referred to the fact that it would be helpful if the European Parliament could adopt its opinions on the Commission proposals at its plenary session from 18 to 21 June.
Damit könnten diese Stellungnahmen dem Rat in der Zusammensetzung der Staats- und Regierungschefs am 21. Juni 2007 zur Verfügung stehen.	These opinions could then be made available to the Council, meeting at the level of Heads of State or Government, on 21 June 2007.
Obwohl es keine rechtliche Voraussetzung ist, würde es die Präsidentschaft sehr begrüßen, wenn die Aussprache der Staats- und Regierungschefs auch die Position des Europäischen Parlaments berücksichtigen könnte.	Although it is not a legal requirement, the Presidency would be pleased if the discussion of the Heads of State or Government could also take into account the European Parliament's position.
In jedem Fall sind die Stellungnahmen des Europäischen Parlaments eine Voraussetzung dafür, dass der Rat seine beiden Entscheidungen über die Euro-Einführungen annehmen kann.	In any case, the Council cannot adopt its two decisions on the introduction of the euro until the European Parliament's opinions have been provided.
Die Präsidentschaft unterstützt grundsätzlich die von Präsident Barroso in seiner Antwort vom 13. Juni 2007 auf das Schreiben von Präsident Pöttering unterbreiteten Vorschläge.	In principle, the Presidency supports the proposals made by President Barroso in his letter of 13 June 2007 in response to President Pöttering's letter.
Die Präsidentschaft ist der Ansicht - das hat die Präsidentin des Rates, Frau Angela Merkel, in einem Schreiben an den Präsidenten des Europäischen Parlaments vom 19. Juni dargelegt -, dass diese Angelegenheit in erster Linie die Kommission und das Europäische Parlament betrifft.	The Presidency believes - as the Council President, Mrs Angela Merkel, explained in a letter to the President of the European Parliament on 19 June - that this matter primarily concerns the Commission and the European Parliament.
