schriftlich. - Ich halte die Entscheidung, an der Idee eines EIT festzuhalten, für einen Fehler.	in writing. - In my view, the decision to retain the idea of an EIT is a mistake.
Alle vorgebrachten Argumente überzeugen nicht, weil sie von falschen Voraussetzungen ausgehen.	None of the arguments presented is convincing as they start from false premises.
1. Bereits die ursprüngliche Idee von Kommissionspräsident Barroso, mit dem EIT eine europäische Antwort auf das amerikanische MIT zu finden, verfehlte die Realität; der Vorschlag, der heute zur Abstimmung kommt, verschlechtert den ursprünglichen Vorschlag erneut.	1. Even the original idea put forward by Mr Barroso, the President of the Commission, to launch the EIT as a European response to America's MIT ignored reality, and the proposal presented for the vote today further worsens the original concept.
Das MIT ist mit viel Geld und vielfältiger Unterstützung gewachsen - und in Europa betreiben bereits viele "Mini-MITs" weltweite Spitzenforschung.	MIT evolved with a great deal of money and diverse support, and in Europe numerous 'mini-MITs' are already carrying out world-class research.
Europas Dilemma ist die nicht ausreichende finanzielle und moralische Unterstützung von Innovationsgeist und Spitzenforschung.	Europe's dilemma is the inadequate financial and moral support for innovation and top-class research.
2. Die Finanzierung der vorgesehenen 309 Mio. Euro aus dem Reservehaushalt blockiert andere Initiativen des Parlaments wie das strategisch wichtige Galileo-Projekt.	2. The proposed EUR 309 million in funding from a reserve budgetary source blocks other parliamentary initiatives such as the strategically important Galileo project.
Der Finanzierungsvorschlag entspricht lediglich 1/8 des geschätzten Budgets und stellt so keinen Anreiz für seriöse zusätzliche private Initiativen dar.	The funding proposal amounts to just an eighth of the estimated budget and therefore does not offer any incentive for serious additional private initiatives.
BP hat allein in Berkeley/USA 500 Mio. USD in den Bereich Biokraftstoffe investiert.	BP has invested USD 500 million in the biofuels sector in Berkeley in the United States alone.
3) Das EIT hätte mit eigenen großzügigen Finanzierungsquellen und mit Zuwendungen direkt an die bereits vorhandenen europäischen Spitzeneinrichtungen eine Chance.	3) With its own generous sources of funding and grants to the top-class European institutes already in existence, the EIT would have a prospect of success.
So könnte die EU nach dem Vorbild Kanadas z. B. einen Innovationsfond einrichten, der aus den Geldern gespeist wird, die am Ende des Jahres im EU-Haushalt verbleiben.	For example, the EU could follow the Canadian model and set up an innovation fund financed from monies left in the EU budget at the end of the year.
4. Die geplante Netzwerkstruktur ist eine virtuelle supranationale Einrichtung, ohne Bedeutung in der europäischen und internationalen Forschungslandschaft.	4. The planned network infrastructure is a virtual supranational institution without any real significance in the European and international research landscape.
Sie ist ein unglücklicher und bürokratischer Kompromiss.	It is an unhappy and bureaucratic compromise.
Deshalb habe ich dagegen gestimmt.	I have therefore voted against the proposal.
