Herr Präsident!	Mr President.
Vielen Dank, Frau Schroedter.	Thank you, Mrs Schroedter.
Allerdings muß ich sagen, Sie haben darauf hingewiesen, daß wir das gemeinsam ausgearbeitet haben.	Of course I must say that you have pointed out that we have worked it out together.
Sie haben recht.	You are right.
Wir haben darüber diskutiert, allerdings haben wir nicht zu diesem konkreten Zeitpunkt über diesen Entschließungsantrag gesprochen.	We have discussed it, of course we have not at this precise moment spoken about this resolution.
Wir wollen aber jetzt darüber nicht debattieren, das ist auch nicht wichtig.	But we do not want to debate it now, that is not important.
Es ist allerdings wichtig zu erwähnen, daß das Europäische Parlament nicht schweigt.	It is certainly important to mention that the European Parliament is not silent.
Das Europäische Parlament hat sich mehrmals zu Belarus geäußert.	The European Parliament has several times pronounced on Belarus.
Im übrigen sind immer Sie es gewesen, die unter anderem sehr nachdrücklich darauf hingewiesen hat, daß wir etwas unternehmen müssen, und wir sind Ihnen dafür natürlich dankbar.	Moreover it has always been you who, with others, have pointed out very emphatically that we must do something, and we are naturally very grateful to you for this.
Lassen Sie mich kurz auf einige Punkte hinweisen.	Allow me to refer briefly to a few points.
Das Europäische Parlament schweigt nicht, und es tut sich auch etwas in Belarus.	The European Parliament is not silent and something is being done in Belarus.
Nicht angetrieben von der Regierung, das ist wohl war, aber wir stellen doch mit Freude fest, daß wir inzwischen eine Opposition haben, die sich wieder formiert, die wieder den Boden unter den Füßen findet, und die offensichtlich auch die Chance bekommt, mit Hilfe der internationalen Gemeinschaft, mit Hilfe der Europäischen Union auch tatsächlich zu etwas Kräftigem Politischen zu werden.	Not driven by the government, that is true, but we are pleased to note that there is once more an opposition which is re-forming, which is finding its feet and which clearly has the chance, with the aid of the international community, with the aid of the European Union actually to become a political force.
Wir stellen fest, daß es uns gelungen ist, die OSZE-Mission einrichten zu können, daß die Regierung nachgegeben hat, das ist ein Schritt in eine positive Zukunft, und wir wollen und sollten gemeinsam mit der Kommission alles tun, um das Überleben zu sichern, und hoffen, daß wir hier zügig positive Ergebnisse haben.	We confirm that we have succeeded in equipping the OSCE mission, that the government has made concessions and that is a step towards a positive future and we want and ought to do everything together with the Commission to ensure survival and hope that we quickly achieve positive results.
Wir stellen fest, daß wir immerhin doch hoffentlich - die Kommission wird sich vielleicht dazu äußern können - das TACISDemokratieprogramm noch einmal auf die Beine gestellt haben.	We confirm that hopefully - the Commission will perhaps be able to say something about this - we have re-established the TACIS Democracy Programme.
Frau Schroedter hat mit Recht in ihrer Entschließung darauf hingewiesen: Wir müssen es auf den Austausch von jungen Studenten ausdehnen, die auch zu uns kommen können, um Erfahrungen zu sammeln.	Mrs Schroedter has rightly referred in her resolution to the fact that we must extend it to the exchange of young students who can come to us to gain experience.
Das Programm, das wir jetzt haben, ist zu eng, aber wir sind dankbar, daß wir es überhaupt auf die Beine gestellt haben.	The programme which we have now is too narrow but we are grateful that we have been able to set it up.
Es tut sich etwas, und wir müssen alles dafür tun, um Lukaschenko wieder darauf hinzuweisen, daß doch demokratisch stabile und gesunde Verhältnisse geschaffen werden müssen, damit eine Integration von Belarus in den europäischen Kontext endlich gelingen kann.	Something is being done, and we must do everything possible to show Lukaschenko again that democratically stable and healthy circumstances must be created so that the integration of Belarus into the European context can finally succeed.
Das Europäische Parlament hat im übrigen immer gesagt: " Die Tür ist offen, die Tür soll offen bleiben!" , aber natürlich unter der Bedingung der Anerkennung der allgemeinen, universellen Menschenrechte, und ich hoffe, daß wir uns im Europäischen Parlament auch weiterhin positiv dafür aussprechen können.	The European Parliament has moreover always said: "The door is open and it will remain open' , but of course on condition that general, universal human rights are recognizedd, and I hope that we in the European Parliament can continue to speak positively in favour of this.
