Herr Präsident, ich habe vorhin eine Frage gestellt, die mir sehr wichtig ist.	Mr President, I asked a question earlier, which I consider to be very important.
Frau Kommissarin, ich glaube, Sie brauchen uns nicht zu erzählen, was wir alles wissen.	Commissioner, I do not think you need to tell us what we already know.
Wir kennen Ihre Mitteilung.	We are familiar with your communication.
Ich habe sie auch gelesen.	I have even read it.
Nur steht in dieser Mitteilung nichts drin.	The only problem is that it does not tell us anything.
Die Frage - nicht nur von mir, sondern auch von Herrn Pimenta, Herrn Eisma und anderen - war ja konkret: Welchen Vorschlag machen Sie für den Umweltministerrat?	The question - posed not only by myself, but also by Mr Pimenta and Mr Eisma, amongst others - was very specific: what proposal will you be making to the Environment Council?
Welche Überlegungen gibt es im Umweltministerrat, was die Verteilung der flexiblen Mechanismen und der eigenen Maßnahmen betrifft?	What are the views around the table in the Environment Council about the ratio of flexible mechanisms to domestic measures?
Sie hatten in Kyoto die Verteilung 50/50 vorgeschlagen.	In Kyoto you proposed a ratio of 50/50.
Mich würde interessieren, ob es bei dieser Verteilung bleibt?	I would be interested to know whether this figure still stands.
Finden Sie Änderungsanträge, die in diese Richtung gehen, sinnvoll?	Do you think the amendments along these lines are appropriate?
Wie wird da die Position des Umweltministerrates sein?	What will the position of the Environment Council be on this?
Trifft die Information zu, daß hier zwölf Umweltminister bereits gekippt sind und nur noch drei dafür einstehen?	Are we correctly informed that 12 Environment Ministers have already jumped ship on this issue and that only three are still on board?
Bitte beantworten Sie das ganz konkret!	Please give us straight answers to these questions.
Die zweite Frage, die Herr Lange, Herr Eisma und andere gestellt haben, betraf die freiwilligen Vereinbarungen.	The second question, asked by Mr Lange, Mr Eisma and others, was related to the voluntary agreements.
Etikettierung ist gut und nett. Aber was uns hier alle bewegt hat, ist die Frage, ob es hier nicht sinnvoll wäre, auch gesetzliche Vorschläge zu machen, die die Autoindustrie zwingen, nicht nur in 22 Jahren um einen Liter zu reduzieren, sondern die sie zwingen, am Ende von Freiwilligkeitsvereinbarungen tatsächlich hier auch Erfolge vorzuweisen.	Labelling is all well and good, but what we were all concerned about here was the question of whether it might be appropriate, in this case, also to make legislative proposals, which would force the motor vehicle industry not merely to make a one-litre reduction over 22 years, but actually to show what it has achieved when the voluntary agreements expire.
Das sind ganz wesentliche Fragen, und ich bitte wirklich um eine ganz konkrete Antwort!	These are fundamental questions, and I would ask you to give us some clear answers!
