Herr Präsident!	.
Auf der Landkarte des Horns von Afrika entdeckt man mit viel Mühe eine kleine Stabilitätsinsel, das ist Dschibuti. Rundherum ist die Lage prekär.	Mr President, if you look hard enough on the map of the Horn of Africa, you find a little island of stability called Djibouti.
Somalia existiert als Staat praktisch nicht.	All around it, the situation is precarious.
In Eritrea ist innenpolitisch die Lage sehr kritisch, auch dort wird die Opposition unterdrückt. Und in Äthiopien haben wir nach der Wahl eine Situation, die genau so ist wie sie unsere Chefbeobachterin der EU, Ana Maria Gomes, beschrieben hat.	Somalia scarcely exists as a state any more; the domestic situation in Eritrea is highly critical, with the opposition suppressed, and in Ethiopia, the situation after the elections is exactly as the EU’s principal observer, Mrs Gomes, has described it.
Darüber hinaus ist Eritrea dabei, destabilisierend auf Äthiopien einzuwirken. Wir wissen, dass im Ogaden Guerillas kämpfen, die auch von Eritrea unterstützt werden, und der Grenzkonflikt zwischen Eritrea und Äthiopien droht immer noch zu einem offenen Krieg auszuarten.	Not only that, but Ethiopia is subject to the destabilising influence of Eritrea, which we know to be supporting guerrillas fighting in Ogaden, and the border conflict between Eritrea and Ethiopia is still threatening to erupt into open warfare.
Hier haben wir heute den Schwerpunkt auf die innenpolitische Lage in Äthiopien nach den Wahlen gelegt. Deswegen ist die Forderung, die wir stellen müssen, ganz klar: Wir müssen von der Regierung verlangen, dass sie den Einsatz ihrer unverhältnismäßigen Mittel zur Unterdrückung von Opposition und Bevölkerung beendet und alle politischen Gefangenen und Journalisten unverzüglich freilässt.	Today, here in this House, we are focusing on the domestic situation in post-election Ethiopia, and so the demand we have to make is no vague one: we must call upon the government to desist from deploying disproportionate force to suppress the opposition and the general population, and must release all political prisoners and journalists without delay.
Ich hörte gerade, es sind wieder drei verhaftet worden; jetzt haben wir nach dem neuesten Stand 15 verhaftete Journalisten.	I heard recently that three more had been arrested, so the most up-to-date state of affairs is that 15 journalists are in custody.
Auch dem Internationalen Roten Kreuz muss Zugang zu den Lagern gewährt werden, wo sehr viele Leute verhaftet sind.	The International Red Cross must also be given access to the camps in which so very many people are being held.
Der Ministerpräsident hat dort gerade wieder gesagt, er werde nicht nur die politische Führung anklagen, sondern auch die 3 000 weiteren Verhafteten. Es würde dort keinerlei Gnade oder gar eine Weihnachtsamnestie geben.	The country’s prime minister has again said that he will not only put the political leaders on trial, but also the 3 000 other detainees with them, and that there would be no mercy whatever – not even a Christmas amnesty.
Die Absichten der äthiopischen Regierung sind eindeutig auf Konfrontation gerichtet. Also fordern wir von der Europäische Union zu bedenken, ob man nicht vielleicht – wie gegenüber anderen Führungen auch – gezielte Sanktionen gegen die Führungsschicht dort einführen sollte.	As the Ethiopian Government is quite clearly bent upon confrontation, we call on the European Union to give thought to the possibility of imposing – as we already do against other regimes – targeted sanctions against those in power in Ethiopia, which would, I believe, send out a clear signal.
Ich glaube, dies wäre ein deutliches Signal. Wenn diese Leute nicht mehr zum Einkaufen nach Europa fahren dürfen, merken sie vielleicht auch, dass sie von uns nicht mehr die Unterstützung und das Vertrauen haben, dass sie ihre Länder in die richtige Richtung führen.	If these people are no longer permitted to travel to Europe on shopping trips, perhaps it will also dawn on them that they can no longer count on our support, and that we have no confidence that they are leading their country in the right direction.
