Meine sehr verehrten Herren Präsidenten, meine sehr verehrten Damen und Herren Kollegen!	Mr President, ladies and gentlemen, sometimes I do not believe what I hear.
Manchmal glaubt man ja nicht, was man hört. Lieber Martin Schulz, die Initiative zur Regulierung und zu Transparenzregeln bei Hedgefonds und Private Equity stammt aus dem Rechtsausschuss.	Mr Schulz, the initiative on regulation and on transparency rules for hedge funds and private equity comes from the Committee on Legal Affairs.
Im Jahre 2006 sind wir als EVP-ED-Fraktion im Rechtsausschuss in der Frage aktiv geworden und wollten Regeln haben.	In 2006, the members of the Group of the European People's Party (Christian Democrats) and European Democrats on the Committee on Legal Affairs began actively asking for rules to be put in place.
Der legislative Initiativbericht, den wir damals beauftragt haben, ist deshalb nicht zustande gekommen, weil die Vorsitzende des Wirtschaftausschusses, die bekanntlich der Sozialistischen Fraktion angehört, damals einen völlig überflüssigen Kompetenzstreit vom Zaun gebrochen hat mit dem Ergebnis, dass wir Monate, ja Jahre gebraucht haben, bis eine Einigung erzielt war und wir dann endlich die legislativen Initiativberichte zu der Frage im September des letzten Jahres in Gestalt des Berichts Rasmussen und des Berichts Lehne beschließen konnten.	The legislative own-initiative report which we commissioned did not come about because the chairman of the Committee on Economic and Monetary Affairs, who we all know is a member of the Socialist Group in the European Parliament, began a completely unnecessary dispute over authority. The result of this was that we spent months, if not years, in reaching an agreement and were then finally able to adopt the legislative own-initiative reports on this issue in September of last year, in the form of the Rasmussen and Lehne reports.
Derjenige, der sich im Rat gegen die Regulierung in diesem Bereich ausgesprochen hat, war Gordon Brown, der gehört bekanntlich auch nicht der EVP-ED an, sondern gehört zu Eurer Fraktion.	The person who spoke out against regulation in this area in the Council was Gordon Brown. He is obviously not a member of the PPE-DE, but belongs to your group.
Merkel und Rasmussen haben sich bei allen Debatten sowohl im Europäischen Rat in den zurückliegenden Jahren als auch im Rahmen der G8 immer für die Regulierung dieser Bereiche ausgesprochen.	In recent years, Mrs Merkel and Mr Rasmussen have always spoken in favour of regulation in these areas in all the debates, both in the European Council and the G8.
Das Problem ist, dass die Sozialisten - das ist ein Fakt - in dieser Europäischen Union immer ein entscheidendes Hindernis gewesen sind, auch diese nicht regulierten Bereiche zu erfassen.	The problem lies in the fact that the socialists in the European Union have always been a major obstacle to the inclusion of these non-regulated areas.
Die Meinung ist erst vor kurzem geändert worden, und das hat dazu geführt, dass wir da stehen, wo wir heute stehen.	Opinions have recently changed and that has resulted in us being in the position in which we now find ourselves.
Das gehört auch mit zur historischen Wahrheit in diesem Bereich.	This is one of the historical facts in this area.
Ich will nur sagen, es gibt einen großen Unterschied zwischen der Rhetorik, die hier geübt wird, und der Realität der zurückliegenden Monate und Jahre, das ist leider so.	I simply want to say that there is a big difference between the rhetoric which we are hearing now and the reality of recent months and years. Unfortunately, that is the case.
Lassen Sie mich zum Schluss noch zu einer Reihe von Gemeinsamkeiten kommen, die ich auch noch erwähnen möchte.	Finally, I would like to mention a number of areas of common interest.
Die Atmosphäre zwischen den Fraktionen war heute bei der Vorbereitung der Entschließung zum Lissabon-Prozess in der Lenkungsgruppe ausgesprochen gut.	Today, the atmosphere between the parliamentary groups during the preparation for the resolution on the Lisbon process in the steering group was exceptionally good.
Wir haben deshalb in fast allen Bereichen Einigung erzielt und, wie ich glaube, eine gute Entschließung zustande gebracht.	For this reason, we have come to an agreement in almost every area and produced a good resolution.
Man sollte das jetzt nicht zerreden, sondern deutlich machen, dass es hier eine Gemeinsamkeit gibt.	We should not discuss this until we are blue in the face. Instead, we should make it clear that this is an area of common interest.
Auch die Bevölkerung erwartet von uns, dass wir in dieser Krise gemeinsam handeln und uns nicht gegeneinanderstellen.	The citizens of Europe expect us to act jointly in this crisis and not to oppose one another.
(Beifall)	(Applause)
