Herr Präsident! Zunächst möchte ich Karl-Heinz Florenz danken.	Mr President, allow me to begin by thanking Karl-Heinz Florenz.
Er hat immerhin 334 dicht beschriebene Seiten, 70 Seiten über gefährliche Stoffe und 264 Seiten über Altgeräte, durchgearbeitet, bewertet und diskutiert.	The fact is that he has studied, analysed and discussed no fewer than 334 densely printed pages - 70 pages on hazardous substances and 264 pages on end-of-life equipment.
Man sieht, es ist ein sehr komplexes, aber auch ein sehr wichtiges Thema, weil es alle Bürger der Europäischen Union betrifft.	This is clearly a subject of great complexity, but it is also a very important one, because it affects all the people of the European Union.
Uns geht es darum, die Mülltrennung voranzutreiben und die Elektro- und Elektronikgeräte getrennt vom Haushaltsmüll zu entsorgen.	Our concern is to press ahead with waste separation and to ensure that electrical and electronic equipment is disposed of separately from household waste.
Das ist ein ganz wichtiges Anliegen.	This is a very important issue.
Wir wissen, dass wir derzeit ungefähr zwei Milliarden Geräte in der Europäischen Union haben, und dass jedes Jahr ungefähr 210 Millionen Geräte entsorgt werden.	We know that we currently have about two billion such items in Europe and that some 210 million of them are disposed of every year.
Das sind immerhin 6 Millionen Tonnen. Das verursacht Kosten von ungefähr 40 Milliarden Euro.	This, when all is said and done, represents six million tonnes and generates costs of approximately EUR 40 billion.
Bei einer solchen Summe muss man daran denken, wer diese Kosten übernehmen soll, und vor allem, wie sie effizient und optimal nach marktwirtschaftlichen Grundsätzen gesteuert werden können, damit das für den Bürger kostengünstigste und ökologisch beste Konzept gewählt wird.	When such an amount is involved, we are duty-bound to consider who should meet the cost and in particular how that cost can be most efficiently and effectively controlled in accordance with market principles; we must ensure that the chosen strategy is the cheapest one for taxpayers and consumers and the best one for the environment.
Wir wissen, dass der historische Abfall enorme Mengen erreicht.	We know that there is a huge volume of historical waste.
66 % all dieser Geräte sind älter als 10 Jahre, und ca. 50 % stammen aus den Haushalten.	Sixty-six per cent of all these electrical appliances and items of electronic hardware are more than ten years old, while about half of them come from households.
Deshalb sind verbindliche Sammelziele sehr wichtig.	This is why compulsory collection targets are so very important.
Deshalb haben wir uns auch so für die 6 kg eingesetzt.	It is also the reason why we have been so firmly committed to the six-kilogram target.
Wir möchten, dass das Recycling wirklich ordentlich und in einem Maßstab durchgeführt wird, der für die Wirtschaft und den Haushalt letztendlich sinnvoll ist.	We want recycling to be conducted in a truly systematic manner and on a scale which ultimately makes sound economic and budgetary sense.
Wichtig ist mir bei den Stoffverboten, dass wir Stoffe nur durch nachweislich bessere, nachhaltige und vor allem wissenschaftlich geprüfte Alternativen ersetzen.	What is important to me about bans on particular substances is that we must only replace such substances with demonstrably better, sustainable and, most importantly, scientifically tested alternatives.
Hier muss die Kommission tätig werden, nämlich um einerseits Schaden abzuwenden und andererseits ökologisch die optimalere Variante zu wählen.	This is an area in which the Commission must act, on the one hand to prevent damage and on the other hand to choose the best option in ecological terms.
