Herr Präsident! Die Verhandlungen zu ACTA sind nun mehr oder weniger beendet.	Mr President, the ACTA negotiations seem to be more or less concluded.
Der Vertragstext in seiner jüngsten Fassung liest sich bereits wie geltende Gesetzestexte einzelner Mitgliedstaaten.	The wording of the latest version of the agreement already reads like legislative text as it applies in individual Member States.
Folglich wird sich durch ACTA die bestehende Rechtslage in Europa kaum verändern.	Thus, the ACTA agreement will leave the existing legal situation in Europe almost unchanged.
Ziel des Abkommens war es ursprünglich, die Rechtsdurchsetzung zu verstärken.	The original aim of the agreement was to improve enforcement.
Gezielte Lösungen lese ich dafür aber aus dem Vorschlag nicht heraus.	However, I am unable to identify any specific solutions in this regard from the proposal.
Vor der Veröffentlichung wurde bekannt, dass die strittigen Punkte gestrichen worden seien.	Prior to publication, it became known that the disputed points were to be dropped.
Die vorliegende Fassung zeigt mir allerdings keine hinreichende Berücksichtigung der gegensätzlichen Interessen.	However, this version does not seem to take adequate account of the various conflicting interests.
Zum Beispiel steht in Artikel 2 Absatz 2 des Vertragstextes: "Procedures adopted, maintained, or applied to implement this Chapter shall be fair, equitable and provide for the rights of all participants subject to procedures to be appropriately protected".	For example, Article 2(2) of the agreement reads: 'Procedures adopted, maintained, or applied to implement this Chapter shall be fair, equitable and provide for the rights of all participants subject to procedures to be appropriately protected'.
Es findet sich weder im Kapitel über die einstweiligen Maßnahmen ein expliziter Verweis auf die Wahrung des rechtlichen Gehörs, noch ist bei der Vernichtung rechtsschutzverletzender Produkte eine Notwendigkeitsprüfung vorgesehen.	The chapter on temporary measures contains no explicit reference to the right to due legal process, neither is there a provision for verifying the need to destroy counterfeit products.
Last but not least - es heißt, dass letzte Punkte nur noch per E-Mail abschließend behandelt werden.	Last but not least - we hear that the last points of the negotiation are to finalised by e-mail.
Unter diese letzten Punkte fällt aber auch der Anwendungsbereich des Abkommens.	However, these last points include the area of application of the agreement as a whole.
Dieser sollte doch festgelegt werden, bevor man mit der Ausformulierung des Inhalts beginnt.	Surely this should be defined before we start on the formulation of the content.
Vielleicht gäbe es dann auch zweckmäßige Lösungsansätze im Vertrag.	Perhaps this would then also give rise to some practical solutions in the agreement itself.
