Herr Präsident! Auch dem Altkommunisten Markov ist nichts Neues eingefallen!	Mr President, our old Communist friend Mr Markov has not come up with anything new either!
Wir reden ja jetzt hier über den Trentin-Bericht, den wir im Ausschuss einstimmig verabschiedet haben und der Leitlinien für die Wirtschaftspolitik vorgeben soll, für einen Entscheidungsprozess, in dem als nächstes die Kommission gefordert ist.	We are talking now about the Trentin report, which we unanimously adopted in committee, and which relates to the broad economic policy guidelines and to a decision-making process which in the first place concerns the Commission.
In diesem System der Koordinierung und Meinungsbildung will das Parlament relativ früh Einfluss nehmen, ohne dass wir einen Warenhauskatalog anbieten.	Parliament wishes to influence this process of coordination and opinion forming at a relatively early stage, without presenting a wish list the size of a mail-order catalogue.
Es ist aber auch nicht nur eine reine Selbstbeschäftigung, sondern Artikel 4 des EG-Vertrags schreibt diese gemeinsame Wirtschaftspolitik, diese koordinierte Wirtschafts- und Finanzpolitik ausdrücklich vor.	However, this is not just a question of keeping ourselves busy: Article 4 of the EC Treaty specifically provides for this common economic policy, this coordinated economic and finance policy.
Und Herr Markov, dort ist auch das Modell vorgeschrieben: "?.beruht auf dem Grundsatz einer offenen Marktwirtschaft mit freiem Wettbewerb".	And, Mr Markov, that article prescribes the model as follows: "? in accordance with the principle of an open market economy with free competition".
Das ist unser Grundsatz, und deshalb stehen - nicht weil unsere Fraktion das will, sondern weil es im Programm der Kommission steht - die Durchsetzung des Binnenmarktes, die weitere Liberalisierung staatlicher Dienstleistungsbereiche im Vordergrund, die Tatsache, dass wir uns fit machen müssen für den Wettbewerb im Weltmaßstab, die Tatsache, dass wir Hemmnisse in den Mitgliedstaaten abbauen müssen, Reformen anpacken müssen.	That is our principle, and that is why - not because it is what my group wants, but because it is part of the Commission's programme - the completion of the internal market and the further liberalisation of public-sector services are a priority, as is the fact that we need to equip ourselves for competition at world level, and the fact that we need to dismantle obstacles in the Member States and to tackle the process of reform.
Hier stellt sich die Frage, auf die der Kollege Radwan hingewiesen hat: Wo ist die Zuständigkeit der Kommission und wo ist die Zuständigkeit der Mitgliedstaaten?	That brings us to the question that Mr Radwan referred to: where does the Commission's responsibility end and that of the Member States start?
Wo ist Subsidiarität gefordert und wo müssen wir handeln?	Where is subsidiarity appropriate and where do we need to act?
Da kann ich nur sagen: Egal, was die Kommission vorgelegt und das Parlament beschlossen hat, der Rat, also der Zusammenschluss der 15 Regierungen, war in der Vergangenheit eher der Bremser als der Motor dieser notwendigen europäischen Entwicklung, die aufgrund der Einführung des Euro als Bargeld natürlich notwendiger ist denn je.	The only answer I can give is that whatever the Commission may bring forward and whatever Parliament may agree, in the past it has been more the Council, which is an amalgamation of the 15 governments, that has acted as a brake on this motor of European development, which has now of course become even more necessary than ever with the euro coming into circulation.
Deshalb haben diese Debatte und der Beschluss des Parlaments nur einen Sinn, wenn wir die Mitgliedstaten konkret auffordern, ihren eigenen Verpflichtungen nachzukommen und nicht außen vor zu bleiben.	That is why this debate and Parliament's decision only make sense if we specifically call on the Member States to respect their commitments and not to lag behind.
Das heißt, dass in den großen Staaten, in denen der Reformstau besonders hoch ist, nationale Reformen angepackt werden müssen.	That means that in the larger Member States, in which there is an especially big backlog of reforms, national reforms will have to be tackled.
