Herr Präsident, meine Damen und Herren! Der Verkehr in Europa ist zu billig.	Mr President, ladies and gentlemen, transport in Europe is too cheap.
Nur der umweltfreundliche Verkehr ist zu teuer.	Only environmentally friendly transport is too expensive.
All das ist politisch gewollt, und durch diese Richtlinie wird es auch nicht verändert.	All of this is brought about by policy choices, and this directive will not change that.
Wir haben einen unfairen Wettbewerb.	We have unfair competition.
Die Steuerprivilegien, die die Lkw bekommen, werden nicht gekürzt.	The tax privileges that heavy goods vehicles enjoy are not being curtailed.
Jeder Lkw verursacht 60 000 mal soviel Schäden wie ein Pkw, aber er wird natürlich nicht 60 000 mal zur Kasse gebeten.	Every lorry causes 60 000 times as much damage as a car but, of course, it is not charged 60 000 times as much.
Wir haben innerhalb der Europäischen Union seit Jahrzehnten eine verpflichtende Schienenmaut.	We have had a mandatory rail toll within the European Union for decades.
Für jeden Streckenkilometer muss jede Lokomotive - egal ob sie Personen oder Güter befördert - eine Schienenmaut entrichten.	Every locomotive - whether it transports passengers or goods - must pay a rail toll for every kilometre it travels.
Auf der Straße ist die Maut freiwillig.	On the roads, the toll is voluntary.
Sie ist gedeckelt.	It is capped.
Sie gilt meist nur auf Autobahnen und sie gilt erst ab 12 Tonnen.	It mostly applies only on motorways and only to vehicles weighing 12 tonnes or more.
Bei der Schiene ist sie unbegrenzt möglich.	On the railways, there is no limit.
Das ist unfair und das behindert die umweltfreundliche Schiene und entlastet die umweltfeindliche Straße.	That is unfair, and it hinders the environmentally friendly railways while relieving the environmentally unfriendly roads.
Wir wissen, dass eine Veränderung der Mobilität notwendig ist, um das Klima zu schützen.	We know that we need a change in mobility in order to protect the climate.
Wir Grüne wollen das Klima schützen und die Mobilität in Zukunft sichern. Deshalb brauchen wir einen fairen Wettbewerb.	We in the Group of the Greens/European Free Alliance want to protect the climate and secure mobility for the future, and that is why we need fair competition.
Diese Eurovignette ist nur ein klitzekleines Stück vorwärts zu diesem Ziel.	This Eurovignette is only a tiny step forward towards that goal.
