Frau Präsidentin, liebe Kolleginnen und Kollegen!	Madam President, fellow Members.
Es fällt natürlich schwer, angesichts der aktuellen Ereignisse in Belgrad hier ruhig zu sitzen und eine Rede zu halten, die man vorbereitet hatte, als dies noch nicht so war.	It is of course difficult, as events unfold in Belgrade, to sit here calmly and give a speech which was prepared before all this came to pass.
Ich habe die Ereignisse, die heute eingetreten sind, eigentlich für letzten Montag erwartet.	I expected today' s events to take place last Monday.
Wir wissen alle, dass das Volk das Parlament gestürmt hat, dass der mit Armee vollbesetzte Fernsehsender gestürmt ist, dass mitten in Belgrad jetzt Armeefahrzeuge und Polizei zuhauf sind.	We all know that the people have stormed Parliament, that the television station, which has been fully occupied by the army, has been stormed and that army vehicles and the police are now out in force in the middle of Belgrade.
Wir können nur hoffen, dass all die Menschen, die sich hinter der Armee und hinter der Polizei verbergen - es sind ja alles Männer, die im Grunde genommen dafür da sind, dem Volk zu dienen und nicht einem Diktator Milosevic -, dass sie sich eines Besseren besinnen und nicht gegen die friedlichen Demonstranten vorgehen.	We can only hope that all the people hiding behind the army and behind the police - all of whom are essentially there to serve the people, not a dictator such as Milosevic - will think twice before turning against the peaceful demonstrators.
Seit Montag letzter Woche besteht nach dem demokratischen Aufbruch in Serbien die Möglichkeit, dass Serbien bald in die europäische Familie zurückkehrt.	Since democracy raised its head again in Serbia last Monday, the possibility of Serbia soon rejoining the European family is now a real possibility.
Die Wahlergebnisse vom 24. September machen jetzt eine demokratische Wende möglich.	The results of the elections on 24 September have made a democratic change of direction possible.
Ich möchte alle beglückwünschen, die dazu beigetragen haben, die demokratische Opposition, aber vor allen Dingen das Volk und auch den Führer der demokratischen Organisation, Kostunica, und ich glaube, dass wir in ihm einen Mann haben, der sowohl die Serben versteht als auch unser Anliegen, und mit dem wir dann auch über ein konditioniertes Verfahren der Heranführung Serbiens an Europa reden können.	I should like to congratulate everyone who helped to achieve it: the democratic opposition and, most importantly, the people and the leader of the democratic organisation, Mr Kostunica. I think that, in him, we have a man who understands both the Serbs and our concerns and with whom we can discuss a qualified procedure for bringing Serbia closer to Europe.
Seit dem 24. September kann Milosevic nicht mehr beanspruchen, ein gewählter Machthaber zu sein.	Since 24 September, Milosevic can no longer claim to be an elected ruler.
Er ist jetzt für alle und auch für die eigenen Bürgerinnen und Bürger in Serbien deutlich sichtbar ein Diktator, der im eigenen Lande alle brutalen, hässlichen und menschenverachtenden Instrumente der Diktatur einsetzt.	Everyone, including his own citizens in Serbia now clearly see that he is a dictator, who is using all the brutal, ugly and contemptuous instruments of dictatorship in his own country.
Polizeiliche Sondereinheiten, schmutzige Tricks und Betrügereien, quasi-legale Verfahren, mit deren Hilfe er die Tatsache, dass das Volk ihn nicht mehr dulden will, zu vertuschen sucht.	Special police units, dirty tricks and deception, quasi-legal procedures which he is using in a bid to hush up the fact that the people are sick and tired of him.
Jahrelang ist es ihm gelungen, mit seiner Propagandamaschine und mit brutalem Druck auf die Medien die Menschen in seinem Land zu täuschen, aber leider auch viele in der westlichen Welt, ihnen ein falsches Bild der Wirklichkeit vorzuspiegeln.	He has managed for years, with the help of his propaganda machine and by exerting brutal pressure on the media, to deceive the people in his own country and, unfortunately, many in the western world, to whom he has misrepresented the real situation.
Damit ist es jetzt endgültig vorbei.	At last, all that is at an end.
Die Menschen in Serbien haben ihren Willen in demokratischen Wahlen zum Ausdruck gebracht, und sie sehen deutlich, dass Milosevic diesen Willen nicht respektieren, sondern allein seine Macht und sein menschenverachtendes Regime aufrechterhalten will.	The people in Serbia have expressed their will in democratic elections and they are painfully aware of the fact that Milosevic has no intention of respecting this will and is thinking only of hanging on to power and maintaining his contemptuous regime.
Deswegen müssen wir die Serben in ihrem Drang nach Freiheit unterstützen.	Which is why we must support Serbia in its bid for freedom.
