. Herr Präsident, meine sehr geehrten Damen und Herren Abgeordneten!	. – Mr President, ladies and gentlemen, I can be brief.
Ich kann es kurz machen. Erstens möchte ich mich für die konstruktiven Beiträge in dieser Debatte zu den beiden Berichten bedanken.	Firstly, I should like to thank you for your constructive contributions to this debate on the two reports.
Zweitens möchte ich auf einige Anliegen eingehen, die hier geäußert wurden.	Secondly, I should like to address a few of the points that have been raised.
Ich glaube – der Herr Abgeordnete Medina Ortega hat zu Recht darauf hingewiesen –, dass die Hauptvereinfachung europäischer gesetzlicher Initiativen darin besteht, dass künftig 25 verschiedene Rechtsvorschriften zu einer zusammengefasst werden können.	I think – as Mr Medina Ortega rightly pointed out – that the main way in which European legislative initiatives will be simplified is that in the future it will be possible to consolidate 25 different legal acts into one single one.
Ich glaube, darauf kann man gar nicht genug hinweisen, vor allem, weil ja immer wieder gerade den Institutionen der Europäischen Union eine gewisse Regelungswut vorgeworfen wird.	I do not believe that this can be stressed enough, particularly given that the institutions of the European Union are, as we know, constantly being accused of being somewhat legislation-happy.
Die Wirklichkeit sieht anders aus.	The reality is rather different.
Sie wissen wahrscheinlich, dass wir das vor einigen Jahren auch einmal untersucht haben, und da hat sich herausgestellt, dass die Mitgliedstaaten in jedem einzelnen Jahr mehr neue Normen einführen, als die Gemeinschaft eingeführt hat, seit sie existiert.	You are probably aware that we did actually look into this a few years ago and it turned out that the Member States introduce more new pieces of legislation every year than the Community has introduced since its inception.
Das ist ein deutlicher Hinweis darauf, dass Sie mit Ihrer Behauptung Recht haben.	This is a clear indication that you are right to make this assertion.
Aber das entbindet uns trotzdem nicht von der Pflicht, unsere europäischen Gesetze auch entsprechend zu gestalten. Gestalten in der Vorbereitung, aber auch in der Art und Weise, wie sie strukturiert sind, so dass eine entsprechende Transparenz und Klarheit gegeben ist.	Nevertheless, this does not absolve us from our obligation also to organise our European laws properly: organise their preparation, but also how they are structured, so that they meet the appropriate standards of transparency and clarity.
Vor allem wird es aber auch darauf ankommen zu begründen, was man heutzutage häufig den „europäischen Mehrwert“ nennt, denn wenn es keinen solchen Mehrwert gibt, dann muss man hinter derartige Gesetzesinitiativen ein großes Fragezeichen machen.	Above all, however, it will be important to identify what these days we often refer to as ‘European added value’, because any legislative initiatives with no such added value should have a large question mark over them.
Insbesondere im Licht der neuen europäischen Verfassung, in der dann ausdrücklich eine solche Prüfung vorgeschrieben sein wird, ist das ein wichtiger Punkt.	This is an important point, particularly in the light of the new European constitution, which specifically states that legislation should be subject to such a test.
Was die dreiseitigen Verträge betrifft, so glaube ich schon, dass es sinnvoll ist, solche dreiseitigen Verträge zu schließen, und ich teile hier nicht die Meinung des Herrn Abgeordneten Bradbourn, der meint, dass hierdurch nationale Interessen übergangen werden.	As far as tripartite contracts are concerned, I certainly do believe that it is sensible to conclude such tripartite contracts, and I do not agree with Mr Bradbourn, who thinks that they would ride roughshod over national interests.
Es geht erstens um Verträge, in denen eine der drei Parteien der Nationalstaat ist.	For a start, one of the three parties to these contracts will be the Member State.
Wenn dieser Nationalstaat nicht zustimmt, dann kommt ein solcher Vertrag gar nicht zustande.	Without the agreement of the Member State such a contract does not even come into being.
Daher sehe ich die von Ihnen geäußerte Befürchtung überhaupt nicht.	I therefore do not understand your fears at all.
Ich sehe das eher umgekehrt.	I would tend to see this the other way round.
Ich sehe es für wichtig an, dass gerade zum Beispiel bei der Strukturpolitik oder auch, was meine Zuständigkeit in der ländlichen Entwicklungspolitik betrifft, dass wir hier stärker das, was man den nennt, zur Geltung bringen und dass wir das auch Realität werden lassen, weil die Leute vor Ort nun einmal genauer wissen, wo sie der Schuh drückt.	I regard it as important, particularly for example in structural policy or in my own area, rural development policy, for us to make greater use of the bottom-up approach and to allow that to become a reality, because this gives the people on the ground a better idea of who is responsible for their problems.
So sollte man das sehen, und deshalb haben wir als Vorsichtsmaßnahme zusätzlich eingeführt, dass es zunächst eine Probephase gibt und dann eine Evaluierung stattfindet.	That is how you should look at it, and that is why we have also taken the precaution of first having a trial period and then an evaluation.
Das ist sozusagen als zusätzlicher Kaviar vorgesehen.	That is as it were the icing on the cake.
In diesem Sinne möchte ich mich noch einmal herzlich dafür bedanken, dass diese Berichte der Kommission hier so positiv aufgenommen wurden.	Having said this, I should like to thank you once more for giving such a favourable response to these reports.
