Herr Präsident, meine Damen und Herren!	Mr President, ladies and gentlemen.
Der Kollege Swoboda begeht einen Fehler, und ich bitte, das sorgfältig zu beachten.	Mr Swoboda is making a mistake and I would ask you to consider it carefully.
Das Parlament hat gestern zwar etwas leicht Widersprüchliches beschlossen, ich betone etwas leicht Widersprüchliches!	Parliament did indeed make a slightly contradictory decision yesterday, I repeat a slightly contradictory decision.
Wir haben mit einer klaren Mehrheit von 303 zu 253 Stimmen den Vorschlag der Kommission zu dem Transitsystem angenommen.	We adopted the Commission proposal on the transit system by a clear majority of 303 votes to 253.
In dem Vorschlag steht, dass die bisherige Obergrenze abgeschafft werden soll.	The proposal says that the previous upper ceiling is to be abolished.
Dies hat das Parlament mit eindeutiger Mehrheit gebilligt.	Parliament approved this by a clear majority.
Meiner Meinung nach war es ein faux pas einiger Kollegen, dass die Ziffer 4 jetzt hineingekommen ist.	In my view, item 4 has been included because of a faux pas by a number of colleagues.
Es ist aber in Wirklichkeit kein inhaltlicher Widerspruch, weil auch in Ziffer 4 die Kommission aufgefordert wird, bis zum Auslaufen des Ökopunktesystems eine Obergrenze beizubehalten.	However, there is still no material contradiction here because we also call on the Commission in item 4 to maintain an upper ceiling until the ecopoint system expires.
Also, wir haben klar beschlossen, im legislativen Akt den Vorschlag der Kommission anzunehmen.	In other words, we clearly decided in the legislative act to adopt the Commission proposal.
Wenn der Rat dem zustimmt, dann ist das perfekt. Ich hoffe, der Rat wird das tun.	If the Council agrees, and I hope that it does, then all will be well.
Die zweite Forderung in Ziffer 4 ist eine Forderung, über die die Kommission nachdenken soll.	The second call in item 4 is a call for the Commission to reflect.
Was die Kommission in diesem Fall macht, ob sie eine neue Obergrenze oder keine vorschlägt, ist im Belieben der Kommission.	What the Commission does in this case, whether it proposes a new upper ceiling or no upper ceiling, is up to the Commission.
Wir haben nämlich - und das ergibt sich aus der Ziffer 4, wenn Sie den zweiten Halbsatz lesen - eben nicht die alte Obergrenze gefordert, sondern wir haben gesagt, die Kommission möge prüfen, eine neue Obergrenze unter vernünftigen Gesichtspunkten festzulegen.	We did not, as you will see if you read the second clause, call for the old upper ceiling; we said the Commission might like to consider setting a new, reasonable upper ceiling.
Aber dieser faux pas ist mit Mehrheit durchgegangen.	However, this faux pas was carried by a majority.
Das bedeutet aber nur, dass die Kommission aufgefordert wird, darüber nachzudenken und dem Parlament eine Meinung mitzuteilen, wenn sie den Prozess des Nachdenkens abgeschlossen hat.	All that means, however, is that the Commission has been asked to reflect and submit an opinion to Parliament once it has done so.
Die klare Position des Parlaments war, ist und bleibt - und insofern gibt es nichts zu korrigieren, Herr Swoboda -: Wir haben gestern mit großer Mehrheit den Standpunkt der Kommission gebilligt! Das möchte ich noch einmal feststellen!	Parliament's clear position was, is, and remains - and in this respect there is nothing to correct, Mr Swoboda - that we approved the Commission's position yesterday by a large majority and I should like to confirm as much.
