Wir werden diese Mitteilung vorlegen.	We shall be presenting this communication.
Ich halte sie für notwendig, denn wir müssen jetzt mal zusammenfassen, wo wir stehen.	I believe it is necessary to do so, as we must now recapitulate our position.
Wir werden natürlich unsere sonstigen Aktivitäten nicht unterlassen, sondern weiterverfolgen.	Of course we will not stop conducting our other activities; they will be continued.
Ich habe ja schon gesagt, wir haben in dem Programm INFO 2000 zum Aufbau europäischer Datenbanken und Verzeichnisse eine Reihe von Schritten vorgenommen.	I have already said that we have taken a series of steps in the INFO 2000 programme to construct European databases and directories.
Das sind, wenn man so will, die ersten Bausteine für eine Infrastruktur für geographische Informationen.	Those are, if you like, the first building blocks for a geographical information infrastructure.
Wir haben eine Web-Site, an der sich immerhin über 300 Akteure beteiligen.	We have a website at any rate, in which over 300 players are involved.
Wir haben das Konzept GI 2000 auch immer wieder bei Konferenzen vorgestellt; in den neuen Programmen zum Aufbau einer benutzerfreundlichen Informationsgesellschaft werden diese Programme fortgeführt im Rahmen des Fünften Forschungsrahmenprogramms.	We have introduced the concept of GI 2000 time and again at conferences, and these programmes will be continued in the context of the fifth framework programme of research, as part of the new projects aimed at creating a user-friendly information society.
Das heißt also, wir haben eine ganze Reihe von Aktivitäten, die natürlich weiterlaufen.	That therefore means that we have a whole series of activities that will, of course, be going on.
Aber letztlich sind das ja alles Anreize.	But ultimately these are all incentives.
Die Industrie selbst muß die Sache übernehmen und größeres Interesse zeigen als bisher.	Industry must itself take over and show greater interest than it has done hitherto.
Deswegen glaube ich, daß eine solche Mitteilung schon eine Rolle spielen kann.	That is why I believe that a communication of this type certainly does have a role to play.
